X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,recordNumber,year,month,day,stateProvince,county,decimalLongitude,decimalLatitude,imagecode,locality,minimumElevationInMeters,coordinatePrecision,maximumElevationInMeters,geoFlag,identifiedBy,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,infraspecificEpithet,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"72",2020-01-20 14:40:30-03,UPM,MACK,"2708",PreservedSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,A. R. Balbin,NA,Brasil,NA,NA,Entrada do fundamental,NA,NA,NA,"(Lam.) Gagnon, H. C. Lima & G. P. Lewis","85","2015","09","16",SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,"UPM, Campus Higienópolis.",NA,"53584",NA,auto,A. R. Balbin,"2015",S,W,"09","16",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"73",2020-01-20 14:40:30-03,UPM,MACK,"2700",PreservedSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,"A. R. Balbin; R. S. L. Araujo",NA,Brasil,NA,NA,Atrás do prédio 1,NA,NA,NA,"(Lam.) Gagnon, H. C. Lima & G. P. Lewis","75","2015",NA,NA,SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,"UPM, Campus Higienópolis.",NA,"53584",NA,auto,A. R. Balbin,"2015",S,W,"06",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6271,-23.5448,"83",2019-07-24 16:19:01-03,CCE,CATAVENTO,"19",LivingSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,NA,América do Sul,Brasil,NA,NA,<ll>dwc_commonname:</ll> pau-brasil,CATAVENTO0019,NA,NA,"Gagnon, Lima & Lewis",NA,"2018","08","28",São Paulo,São Paulo,-46.6271,-23.5448,CATAVENTO0019_v01 CATAVENTO0019_v02 CATAVENTO0019_v03 CATAVENTO0019_v04 CATAVENTO0019_v05 CATAVENTO0019_v06 CATAVENTO0019_v07 CATAVENTO0019_v08,"Av. Mercúrio, s/n - Pq. Dom Pedro II - Brás","730",NA,"730",NA,"Santilli, C.","2018","-46.6271","-23.5448","08","29",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7200012207031,-23.1000003814697,"116",2020-11-04 11:08:26-03,ESALQ,ESA,"6323",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Malagodi, M.A.S.",NA,Brasil,NA,NA,NA,ESA006323,Magnoliophyta,NA,Lam.,NA,"1990","10","28",São Paulo,Jarinu,-46.7200012207031,-23.1000003814697,ESA006323,NA,NA,"13582",NA,auto,NA,"1990",NA,NA,"10","29",NA,NA,NA,NA,NA,JARINU,"3525201"
-46.6300010681152,-23.5400009155273,"418",2015-09-04 09:03:05-03,MNHN,RECOLNAT_MNHN_P,P02997030,PreservedSpecimen,NA,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Schnell, R.",NA,Brasil,hb,NA,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02997030' target='other'> <mi>dwc_moreinfo</mi></a>,P02997030,NA,NA,Lam.,NA,"1958","10","25",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,P02997030_01,Jardin de l´ ? Botanique de São Paulo.,NA,"53584",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8507",NA,SÃO PAULO,"3550308"
-46.630833,-23.4625,"424",2020-10-01 14:20:26-03,JBB,HEPH,"32370",S,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,"Maruyama, A; Cicco, L",Southern America,Brasil,NA,NA,NA,NA,Dicotyledon,Fabales,"(Lam.) Gagnon, H.C.Lima & G.P.Lewis","552","2016","09","17",São Paulo,Cunha,-46.630833,-23.4625,NA,NA,"715",NA,"715",NA,"Maruyama, A; Cicco, L","2016","-46.630833","-23.4625","09","17",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"612",2019-11-13 11:21:37-03,USP,SPF,"177036",PreservedSpecimen,Plantae,Leguminosae,Caesalpinia,echinata,Caesalpinia echinata,"Oliveira, RS",NA,Brasil,NA,NA,NA,SPF00177036,NA,NA,Lam.,"28","2002","08","12",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,Cidade Universitária Armando de Salles Oliveira,NA,"53584",NA,auto,Anônimo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"613",2019-11-13 11:21:37-03,USP,SPF,"139117",PreservedSpecimen,Plantae,Leguminosae,Caesalpinia,echinata,Caesalpinia echinata,"Dell'Aringa, S",NA,Brasil,NA,NA,NA,SPF00139117,NA,NA,Lam.,s.n.,"1999","09","28",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,Cidade Universitária Armando de Salles Oliveira,NA,"53584",NA,auto,"Ogawa, NR","1999",NA,NA,"11",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6361,-23.5475,"668",2019-10-03 14:21:01-03,IAC,IAC,"16366",S,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,?,NA,Brasil,NA,NA,nome vulgar: pau-brasil,NA,NA,NA,Lam.,"4383","1949",NA,NA,São Paulo,São Paulo,-46.6361,-23.5475,NA,Horto Florestal de São Paulo,NA,NA,NA,NA,B.J. Pickel,"1949","-46.6361","-23.5475","06","30",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.3300018310547,-23.9599990844727,"760",2020-07-21 15:08:17-03,UNISANTA,HUSC,"10683",PreservedSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,"Sampaio, P.S.P.; Galvão, A.; Gonzalez, P.A.",NA,Brasil,NA,NA,"Árvore com 5,5m de altura com flores amarelas e uma pétala vinácea; frutos verdes imaturos.",NA,Magnoliophyta,NA,"(Lam.) Gagnon, H.C.Lima & G.P.Lewis","822","2013","03","12",São Paulo,Santos,-46.3300018310547,-23.9599990844727,NA,Jardim Botânico Municipal de Santos Chico Mendes.,NA,"26836",NA,auto,"Sampaio, P.S.P.","2013",NA,NA,"03",NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
