X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,typeStatus,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,individualCount,class,NM_MUNICIP,CD_GEOCMU
-46.3899993896484,-23.9599990844727,"4",2020-12-21 16:37:56-03,MBM,MBM,"416898",PreservedSpecimen,Plantae,NA,NA,Olacaceae,Chionanthus,subsessilis,Chionanthus subsessilis,(Eichler) P.S. Green,"Roher, D.","Ariati, V.; Roher, D.; Dutra, M.M.; Serejo, S.; Roher, D.; Dutra, M.M.; Serejo, S.","1565","2018","08","01",Southern America,Brazil,São Paulo,São Vicente,Estrada Férrea da Serra do Mar,-46.3899993896484,-23.9599990844727,NA,"Árvore, 6 m, frutos imaturos.; Floresta Ombrófila Densa Submontana.",MBM416898,MBM416898,NA,"25482",auto,"2018","08","08","200","200",NA,NA,NA,NA,SÃO VICENTE,"3551009"
-46.6361,-23.5475,"16",2019-01-25 15:43:42-02,IAC,IAC,"26386",S,Plantae,NA,NA,Oleaceae,Chionanthus,subsessilis,Chionanthus subsessilis,(Eichler) P.S.Green,J.A. Lombardi,s/col.,s/nº,"1973",NA,NA,NA,Brasil,São Paulo,São Paulo,Instituto de Botânica,-46.6361,-23.5475,NA,Coletores: equipe da Botânica,NA,NA,NA,NA,NA,"2016","03","15",NA,NA,"-46.6361","-23.5475",NA,NA,SÃO PAULO,"3550308"
