X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,continentOcean,country,preparationType,occurrenceRemarks,barcode,imagecode,recordNumber,stateProvince,county,locality,decimalLongitude,decimalLatitude,year,month,day,typeStatus,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-46.621883,-23.654505,"2",2021-03-15 16:37:00-03,NY,NYBG,"375958",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,NA,Collector info in notes,South America,Brazil,sheet,Col. anônimo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344697' target='other'> <mi>dwc_moreinfo</mi></a>,NY00375958,NY00375958_01,s.n.,São Paulo,Sao Paulo,Sao Paulo: Parque Estadual,-46.621883,-23.654505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.886229,-23.65179,"7",2021-03-15 16:37:00-03,NY,NYBG,"375955",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,E. A. da Anunciação,O. Handro,South America,Brazil,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344690' target='other'> <mi>dwc_moreinfo</mi></a>,NY00375955,NY00375955_01,"867",São Paulo,Salesópolis,"Salesopolis, Boraceia",-45.886229,-23.65179,"1959","06","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
-46.63,-23.5403,"8",2021-03-15 16:37:00-03,NY,NYBG,"108205",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,H. O. Sleumer,F. C. Hoehne,South America,Brazil,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344688' target='other'> <mi>dwc_moreinfo</mi></a>,NY00108205,NY00108205_01,"33522",São Paulo,Sao Paulo,Sao Paulo.,-46.63,-23.5403,"1935","06","16",isotype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"10",2021-03-15 16:37:00-03,NY,NYBG,"108204",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,H. O. Sleumer,F. C. Hoehne,South America,Brazil,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344689' target='other'> <mi>dwc_moreinfo</mi></a>,NY00108204,NY00108204_01,"33522",São Paulo,Sao Paulo,"Jardim Botanico, S. Paulo.",-46.618358,-23.646109,"1935","06","16",isotype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.916667,-24.383333,"15",2019-10-09 11:24:25-03,UFBA,ALCB,NA,PreservedSpecimen,Plantae,Dicotyledon,NA,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,NA,NA,"Zipparro, VB",Southern America,Brasil,NA,"ca. 9,0 m alt. Presença de muitos frutos imaturos de coloração verde a verde amarelados, quando maduros são vermelhos a vinho.; trilha do Quilombo, prá cima do Ponto 23.",ALCB050226,ALCB050226,"1807",São Paulo,Sete Barras,Parque Intervales- Base Saibadela,-47.916667,-24.383333,"1999","10","17",NA,NA,NA,NA,NA,NA,"-47.916667","-24.383333",NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"28",2020-11-04 11:19:13-03,ESALQ,ESA,"109570",PreservedSpecimen,Plantae,Magnoliophyta,NA,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.",NA,Brasil,NA,NA,ESA109570,ESA109570,"29226.0",São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.633611,-23.420556,"29",2015-07-02 14:43:00-03,JBP,HPL,"13694",S,Plantae,NA,NA,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,G.A.D.C. Franco,"M. Del Bel, R.T. Polisel, R.L.R. dos Santos",NA,Brasil,NA,NA,NA,NA,"10",SP,Mairiporã,"Parque Estadual da Cantareira, Núcleo Águas Claras, subosque de reflorestamento de araucárias. SAD78, Zona 23. SPSF-40071.",-46.633611,-23.420556,"2008","06","04",NA,"2008","07","10",NA,NA,46° 38' 1 W,23° 25' 14 S,NA,NA,"1077","1077",NA,NA,MAIRIPORÃ,"3528502"
-46.6300010681152,-23.5400009155273,"39",2021-03-01 16:40:35-03,UNICAMP,UEC,"203562",S,Plantae,Magnoliopsida,NA,Salicaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,"Torres, RB; Ramos, E","Davis, PH; Shepherd, GJ; Sakane, M; et al.",NA,Brazil,NA,"Tree.; Rocky slopes.",UEC095966,UEC095966,D60720,São Paulo,São Paulo,"Ilha da Casca, between Ilha do Cardoso and mainland. Sea level.",-46.6300010681152,-23.5400009155273,"1976","09","08",NA,"2004","09",NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"48",2020-12-21 16:28:49-03,MBM,MBM,"141022",PreservedSpecimen,Plantae,NA,NA,Flacourtiaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,NA,Sem coletor,Southern America,Brazil,NA,NA,MBM141022,MBM141022,s.n.,São Paulo,São Paulo,Parque Estadual,-46.6300010681152,-23.5400009155273,NA,NA,NA,PARATYPE,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"53",2020-12-21 16:28:49-03,MBM,MBM,"186494",PreservedSpecimen,Plantae,NA,NA,Flacourtiaceae,Xylosma,glaberrima,Xylosma glaberrima,Sleumer,"Pastore, J.A.","Pickel, D.B.",Southern America,Brazil,NA,NA,MBM186494,MBM186494,s.n.,São Paulo,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,"1945","05","29",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
