X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,typeStatus,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,previousCatalogNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.58,-23.31,"9",2021-03-15 16:37:00-03,NY,NYBG,"503488",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,M. H. Nee,K. Mizoguchi,"980","1979","03","11",South America,Brazil,São Paulo,Mairipora,Jardim da Serra. 30 km NW from Sao Paulo City,-46.58,-23.31,"850","850",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529328' target='other'> <mi>dwc_moreinfo</mi></a>,NY00503488,NY00503488_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAIRIPORÃ,"3528502"
-45.964722,-22.898333,"193",2019-08-20 10:11:05-03,UNICAMP,UEC,"53638",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Silva, AF; Martins, FR","1235","1985","09","10",NA,Brazil,São Paulo,São José dos Campos,NA,-45.964722,-22.898333,NA,NA,NA,"flor, Planta de 2 m altura, flores femininas com estiletes vinosos, botões masculinos de verdes a vinosos",UEC135437,UEC135437,NA,NA,NA,"2017","-45.964722","-22.898333","05","04",NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.3899993896484,-23.1800003051758,"204",2019-08-20 10:11:05-03,UNICAMP,UEC,"60973",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Meira Neto, JAA","793","1991","09","25",NA,Brazil,São Paulo,Nazaré Paulista,NA,-46.3899993896484,-23.1800003051758,NA,NA,NA,"flor, Arbusto com 1,5 m, no interior da mata",UEC135419,UEC135419,NA,"18850",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,NAZARÉ PAULISTA,"3532405"
-46.3899993896484,-23.1800003051758,"205",2019-08-20 10:11:05-03,UNICAMP,UEC,"70615",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Tamashiro, JY; Belinello, R; Souza, JP; Fernandes, GD; Ivanauskas, NM; Miyagi, PH","763","1995","04","10",NA,Brazil,São Paulo,Nazaré Paulista,estrada de terra para Piracicaba,-46.3899993896484,-23.1800003051758,NA,NA,NA,"ori, Arbusto dfe 1 m, lfores com estigma castanho",UEC135429,UEC135429,NA,"18850",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,NAZARÉ PAULISTA,"3532405"
-46.6300010681152,-23.5400009155273,"206",2019-08-20 10:11:05-03,UNICAMP,UEC,"4534",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Gehrt, A","32866","1935","09","18",NA,Brazil,São Paulo,São Paulo,"Bretantan, Rio Pequeno",-46.6300010681152,-23.5400009155273,NA,NA,NA,"flor, Arbusto",UEC135410,UEC135410,NA,"53584",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.405833,-23.09,"305",2020-12-11 11:35:11-03,UFMG,BHCB,"170857",PreservedSpecimen,Plantae,Dicotyledon,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,NA,"Kamino, LHY","1214","2008","10","28",Southern America,Brasil,Minas Gerais,Gonçalves,"Rodovia MG, beira de estrada, próximo ao bairro da Serrinha.",-46.405833,-23.09,NA,NA,NA,Floresta Ombrófila.,BHCB030895,NA,NA,NA,NA,"2016","-46.405833","-23.09","12","01",NA,NA,NA,NA,NA,NA,PIRACAIA,"3538600"
-46.3899993896484,-23.1800003051758,"391",2020-06-15 15:30:22-03,UNESP-RC,HRCB,"19535",PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Souza, A.A.","Tamashiro, J.Y.","763","1995","04","10",NA,Brasil,São Paulo,Nazaré Paulista,Estrada de terra para Piracaia,-46.3899993896484,-23.1800003051758,NA,NA,NA,"Arbusto de 1m., flores com estigmas castanho",NA,NA,NA,"18850",auto,"2017",NA,NA,"05","06",NA,NA,NA,NA,NA,NA,NAZARÉ PAULISTA,"3532405"
-46.7400016784668,-23.3600006103516,"484",2019-11-13 11:19:41-03,USP,SPF,"128796",PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Giulietti, AM","1170","1994","08","16",NA,Brasil,São Paulo,Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,NA,Fazenda da Companhia de Melhoramentos. Mata mesófila semidecídua.,SPF00128796,SPF00128796,NA,"9448",auto,"2017",NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,CAIEIRAS,"3509007"
-46.5800018310547,-23.3099994659424,"485",2021-03-15 18:26:48-03,USP,SPF,"17555",PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Mayo, S",s.n.,"1981","02","26",NA,Brasil,São Paulo,Mairiporã,Beira da estr. Fernão Dias (Serra do Mar).,-46.5800018310547,-23.3099994659424,NA,NA,NA,"Arbusto ca. 2 m., estigma rosa-escuro, estames alvos.",SPF00017555,SPF00017555,NA,"15840",auto,"2013",NA,NA,"08","23",NA,NA,NA,NA,NA,NA,MAIRIPORÃ,"3528502"
-46.3899993896484,-23.1800003051758,"486",2021-03-15 18:26:48-03,USP,SPF,"98709",PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Tamashiro, JY","763","1995","04","10",NA,Brasil,São Paulo,Nazaré Paulista,Estrada para Piracaia.,-46.3899993896484,-23.1800003051758,NA,NA,NA,"Arbusto de 1.0 m, flores com estigma castanho.",SPF00098709,SPF00098709,NA,"18850",auto,"2017",NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,NAZARÉ PAULISTA,"3532405"
