X,Y,record_id,modified,institutionCode,collectionCode,basisOfRecord,kingdom,phylum,class,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,decimalLongitude,decimalLatitude,catalogNumber,order,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,year,month,day,stateProvince,county,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,verbatimLongitude,verbatimLatitude,barcode,locality,NM_MUNICIP,CD_GEOCMU
-46.553056,-23.414167,"2",2021-03-04 15:45:44-03,IF,SPSF,PreservedSpecimen,Plantae,Magnoliophyta,Magnoliopsida,Piperaceae,Peperomia,guarujana,Peperomia guarujana,NA,R.Simão Bianchini & E.P.Fortes & R.T.Shirasuna,"1946",América do Sul,Brasil,-46.553056,-23.414167,"52952",Piperales,C.DC.,E.Oliveira,"2015","10","21","2013","05","03",SP,Guarulhos,"677","677","COLETA: Epífita delicada. Inflorescência verde mais clara que a folha.; GEOGRAFIA: Mata derrubada. Divisa de Guarulhos com São Paulo. Lote 4.;",NA,NA,NA,NA,GUARULHOS,"3518800"
-46.78194444,-23.43916667,"6",2014-09-23 11:02:07-03,G,G-DC,S,Plantae,NA,NA,Piperaceae,Peperomia,guarujana,Peperomia guarujana,NA,"Usteri, A.",NA,AMERIQUE DU SUD,Brazil,-46.78194444,-23.43916667,G00326350,NA,C. DC.,"Trelease, W.",NA,NA,NA,"1907","03","17",São Paulo,Jaraguá,NA,NA,Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site,"-46.78194444","-23.43916667",G00326350,NA,SÃO PAULO,"3550308"
-46.552972,-23.414028,"7",2019-11-21 10:14:15-03,IBt,SP,S,Plantae,NA,NA,Piperaceae,Peperomia,guarujana,Peperomia guarujana,NA,"Simão Bianchini, R; Fortes, EP; Shirasuna, RT","1946",NA,Brasil,-46.552972,-23.414028,"487986",NA,C.DC.,"Oliveira, E","2015","10","21","2013","05","03",São Paulo,Guarulhos,"677","677",NA,"-46.552972","-23.414028",NA,"Divisa de Guarulhos com São Paulo, Lote 4.",GUARULHOS,"3518800"
