X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,recordNumber,phylum,order,continentOcean,preparationType,coordinatePrecision,geoFlag,class,relatedCatalogItem,fieldNumber,individualCount,typeStatus,sex,NM_MUNICIP,CD_GEOCMU
-47.50827,-24.10299,"180",2020-11-04 11:11:08-03,ESALQ,ESA,"128792",PreservedSpecimen,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,NA,"Rigon, J.","Delfini, C.","2013","04","01",Brasil,São Paulo,Tapiraí,"UHE Alecrim. Trilha da Chaminé. Floresta Ombrófila Densa, na beira do ribeirão do Veado.",-47.50827,-24.10299,"-47.50827","-24.10299","176","176","Erva, ca. de 10 cm de alt., flores amarelas.",ESA128792,NA,"2013","04","01","942.0",Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-46.7799987792969,-24.1800003051758,"188",2020-11-04 11:11:09-03,ESALQ,ESA,"75965",PreservedSpecimen,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,NA,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2001","04","16",Brasil,São Paulo,Itanhaém,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana no entorno do Vale do Rio Mambu. 24o02'51,7S; 46o49'05,7W. 30-100msm.",-46.7799987792969,-24.1800003051758,NA,NA,NA,NA,"Erva saprófita, ramos e flores amarelos.",ESA075965,NA,NA,NA,NA,"2295.0",Magnoliophyta,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-47.9199981689453,-24.3799991607666,"220",2019-08-20 10:15:39-03,UNICAMP,UEC,"30101",S,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,"Tamashiro, JY; Semir, J","Yamamoto, K; Marcondes-Ferreira, W; Chautems, A","1983","04","01",Brazil,São Paulo,Sete Barras,Reserva Florestal de Sete Barras.,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,"flor, Erva. Sobre tronco caído. Flor amarela. Local úmido. (UNICATA).",UEC134710,UEC134710,NA,NA,NA,"14700",Magnoliopsida,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.941733,-23.824222,"433",2018-09-12 14:48:13-03,UNIOESTE,UNOP,"7116",S,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,"Lombardi, J.A.","Lombardi, J.A.; Saka, M.N.; Dinato, D.O.; Saka, M.N.; Dinato, D.O.","2011","03","09",Brasil,São Paulo,São Lourenço da Serra,"Reserva Particular do Patrimônio Natural Paiol Maria, Trilha Ibirá - Mirim",-46.941733,-23.824222,"-46.941733","-23.824222","762","762","Trilhas no interior de mata secundária. Erva saprófita no folhedo, branca na base, amarela no ápice.",NA,NA,"2011","03",NA,"8033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO LOURENÇO DA SERRA,"3549953"
-46.941667,-23.824167,"513",2020-06-15 15:30:46-03,UNESP-RC,HRCB,"54890",PreservedSpecimen,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,"Lombardi, J.A.",Lombardi,"2011","03","09",Brasil,São Paulo,São Lourenço da Serra,NA,-46.941667,-23.824167,46°56'30W,23°49'27S,"763","763","Erva saprófita no folhedo, branca na base, amarela no ápice.",NA,NA,"2011","03",NA,"8033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO LOURENÇO DA SERRA,"3549953"
-46.4000015258789,-24,"680",2019-11-13 11:20:17-03,USP,SPF,"84356",PreservedSpecimen,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,"Maas, H","Dobzhansky, T","1948","09","22",Brasil,São Paulo,Praia Grande,NA,-46.4000015258789,-24,NA,NA,NA,NA,NA,SPF00084356,NA,"2001",NA,NA,s.n.,NA,NA,NA,NA,"22363",auto,NA,NA,NA,NA,NA,NA,PRAIA GRANDE,"3541000"
-46.6300010681152,-23.5400009155273,"725",2020-07-23 12:08:33-03,CEPLAC,CEPEC,"77694",PreservedSpecimen,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,NA,L. P. de Queiroz,L. P. de Queiroz,"1991","06","30",Brasil,São Paulo,SÃO PAULO,Sem informação.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2807",NA,NA,NA,NA,"53584",auto,NA,30/12/1991,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.810001373291,-23.8299999237061,"777",2020-10-08 08:53:10-03,IBt,SP,"337979",S,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,NA,"Rapini, A","1996","11","01",Brasil,São Paulo,Embu-Guaçu,NA,-46.810001373291,-23.8299999237061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232",NA,NA,NA,NA,"15311",auto,NA,NA,NA,NA,NA,NA,EMBU-GUAÇU,"3515103"
-46.6300010681152,-23.5400009155273,"783",2020-07-02 08:40:07-03,IBt,SP,"285236",S,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,NA,"Godoy, SAP","1995","02","14",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"380",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"784",2020-10-08 08:53:10-03,IBt,SP,"332856",S,Plantae,Gentianaceae,Voyria,aphylla,Voyria aphylla,(Jacq.) Pers.,NA,"Yoshikawa, R","1997","12","04",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
