X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,year,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,scientificNameAuthorship,identifiedBy,month,day,stateProvince,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,eventTime,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-47.1125,-23.523889,"118",2021-03-01 16:28:32-03,UNICAMP,UEC,"80523",S,Plantae,Magnoliopsida,NA,Combretaceae,Terminalia,triflora,Terminalia triflora,NA,"Cardoso-Leite, E; Oliveira, A","132","1993",NA,Brazil,Mata da Câmara,NA,"12m; mata mesófila semidecídua",UEC127519,UEC127519,(Griseb.) Lillo,"Marquete, N","07","26",São Paulo,São Roque,-47.1125,-23.523889,NA,NA,NA,NA,"2001","-47.1125","-23.523889","10",NA,NA,NA,NA,NA,NA,SÃO ROQUE,"3550605"
-47.6886,-23.3503,"572",2019-01-25 15:39:22-02,IAC,IAC,"50674",S,Plantae,NA,NA,Combretaceae,Terminalia,triflora,Terminalia triflora,NA,"M.F. Casali; E. Cardoso-Leite & I.P. Santos","221","2009",NA,Brasil,"Floresta Nacional de Ipanema, Área 1",NA,"Coordenadas do ponto de coleta: Latitude: 2324459 sul, Longitude: 4735538 oeste",NA,NA,(Griseb.) Lillo,M.F. Casali,"02","27",São Paulo,Iperó,-47.6886,-23.3503,NA,NA,NA,NA,"2009","-47.6886","-23.3503","06","27",NA,NA,NA,NA,NA,IPERÓ,"3521002"
