X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,yearIdentified,recordNumber,monthIdentified,dayIdentified,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,typeStatus,coordinatePrecision,geoFlag,class,relatedCatalogItem,individualCount,fieldNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"22",2016-11-01 11:47:00-02,NY,NYBG,"604767",PreservedSpecimen,Plantae,Poaceae,Agenium,villosum,Agenium villosum,NA,G. Guala,A. Usteri,"1908","01","19",Brazil,São Paulo,Sao Paulo,Ipiranga,-46.63,-23.5403,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568444' target='other'> <mi>dwc_moreinfo</mi></a>,NY00604767,NY00604767_01,NA,"9608",NA,NA,South America,sheet,NA,Magnoliophyta,Poales,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.681969,-23.349081,"100",2019-12-12 15:31:49-03,UFABC,HUFABC,"002005",PreservedSpecimen,Plantae,Poaceae,Schizachyrium,tenerum,Schizachyrium tenerum,Nees,NA,Keller V.C.,"2017","08","22",Brasil,São Paulo,Franco da Rocha,"Parque Estadual do Juquery, Setor A",-46.681969,-23.349081,"-46.681969","-23.349081",NA,NA,Erva,HUFABC002005,NA,NA,"73",NA,NA,NA,NA,NA,Angiospermas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.6300010681152,-23.5400009155273,"207",2019-02-15 11:47:52-02,IPA,IPA,"8931",S,Plantae,Poaceae,Heteropogon,villosus,Heteropogon villosus,Nees.,Chase,"Pickel, B.","1941","03","30",Brasil,São Paulo,São Paulo,"Alto do Ipiranga, Em campo alto e seco. Touceira deitada.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,IPA0008931,NA,NA,"5309",NA,NA,Southern America,NA,NA,Plantae,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"210",2019-02-15 11:48:24-02,IPA,IPA,"8842",S,Plantae,Poaceae,Schizachyrium,tenerum,Schizachyrium tenerum,Nees,"Tenório, E.","Pickel, B.","1942","02","24",Brasil,São Paulo,São Paulo,"Bosque, em campo alto, formando touceiras densas.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,IPA0008842,NA,"1977","5806","02","04",Southern America,NA,NA,Plantae,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"212",2019-02-15 11:48:24-02,IPA,IPA,"8841",S,Plantae,Poaceae,Schizachyrium,tenerum,Schizachyrium tenerum,Nees,"Tenório, E.","Pickel, B.","1941","03","30",Brasil,São Paulo,São Paulo,"Alto do Ipiranga, em campo seco e alto.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"Touceiras basta, larga, espraiada, quase como pisada.",IPA0008841,NA,"1977","5308",NA,NA,Southern America,NA,NA,Plantae,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"288",2019-11-19 14:08:49-03,UFRPE,PEUFR,"497",PreservedSpecimen,Plantae,Poaceae,Heteropogon,villosus,Heteropogon villosus,Nees,Chase,B. Pickel,"1941","03","30",Brasil,São Paulo,São Paulo,Alto do Ipiranga,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,Touceira deitada,PEUFR000497,NA,"1941","5309","09",NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"842",2019-11-13 11:28:38-03,USP,SPF,"12466",PreservedSpecimen,Plantae,Poaceae,Andropogon,tener,Andropogon tener,(Nees) Kunth,"Hoehne, W","Hoehne, W","1949","03","21",Brasil,São Paulo,São Paulo,Brooklyn Paulista.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00012466,SPF00012466,NA,"3037",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"844",2019-11-13 11:28:49-03,USP,SPF,"12464",PreservedSpecimen,Plantae,Poaceae,Heteropogon,villosus,Heteropogon villosus,Nees,"Hoehne, W","Hoehne, W","1949","03","18",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00012464,SPF00012464,NA,"3029",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"859",2019-11-13 11:29:03-03,USP,SPF,"84420",PreservedSpecimen,Plantae,Poaceae,Schizachyrium,tenerum,Schizachyrium tenerum,Nees,"Zanin, A","Semir, J","1968","03","06",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00084420,SPF00084420,"1996",s.n.,"12",NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"860",2019-11-13 11:29:03-03,USP,SPF,"84422",PreservedSpecimen,Plantae,Poaceae,Schizachyrium,tenerum,Schizachyrium tenerum,Nees,"Zanin, A","Semir, J","1968","03",NA,Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00084422,SPF00084422,"1996",s.n.,"12",NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"861",2019-11-13 11:29:03-03,USP,SPF,"84421",PreservedSpecimen,Plantae,Poaceae,Schizachyrium,tenerum,Schizachyrium tenerum,Nees,"Zanin, A","Semir, J","1968","03","06",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,SPF00084421,SPF00084421,"1996",s.n.,"12",NA,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
