X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,phylum,order,continentOcean,preparationType,coordinatePrecision,geoFlag,infraspecificEpithet,class,relatedCatalogItem,individualCount,fieldNumber,typeStatus,previousCatalogNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.7799987792969,-24.1800003051758,"105",2020-11-04 11:14:00-03,ESALQ,ESA,"27109",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,C. DC.,"Joaquim Jr., G.O.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Ivanauskas, N.M.; Duarte, A.R.; Eterovic, A.; Marques, O.A.V.","11080.0","1996","04","11",Brasil,São Paulo,Itanhaém,Ilha da Queimada Grande,-46.7799987792969,-24.1800003051758,NA,NA,NA,NA,"Arbusto, ca. 2 m alt. Vegetivo. Mata, nos pontos de maior altitude.",ESA027109,ESA027109,Magnoliophyta,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.7799987792969,-24.1800003051758,"122",2020-11-04 11:14:00-03,ESALQ,ESA,"39579",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,C. DC.,"Duarte, A.R.",NA,NA,NA,"Farah, F.T. ; Gorenstein, M.R.","27.0","1997","07","26",Brasil,São Paulo,Itanhaém,NA,-46.7799987792969,-24.1800003051758,NA,NA,NA,NA,NA,ESA039579,ESA039579,Magnoliophyta,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-47.550233,-23.3923,"201",2021-03-01 16:35:36-03,UNICAMP,UEC,"169479",S,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,A.DC.,"Garcia, LC",NA,NA,NA,"Garcia, LC","376","2008","05","14",Brazil,São Paulo,Campinas,"Souzas, Condomínio Colinas do Atibaia, Mata de Ribeirão Cachoeira.",-47.550233,-23.3923,"-47.550233","-23.3923","711","711","Árvore nativa de 7 m, frutos maduros.; Mata Atlântica. Floresta Estacional Semidecídua.",UEC063040,UEC063040,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOROCABA,"3552205"
-47.498606,-23.269411,"204",2021-03-01 16:35:36-03,UNICAMP,UEC,"161217",S,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,A.DC.,"Pires, TP","2019","02","22","Silva, BG; Duarte, LSC; Lima, GM; Pires, TP","489","2018","11","28",Brazil,São Paulo,Iperó,"Floresta Nacional de Ipanema - FLONA - Trilha Afon, Local: Interior da mata, copa sombreada. Solo: Arenoso, em meio à serrapilheira.",-47.498606,-23.269411,"-47.498606","-23.269411",NA,NA,"Hábito: Arbóreo. Altura: 1,7m. Látex: Ausente. Cor: Botão floral branco. Odor: Ausente. Outros: O tronco da árvore estava deitado sobre o córrego.",UEC069193,UEC069193 UEC069193_v01 UEC069193_v02 UEC069193_v03 UEC069193_v04,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PORTO FELIZ,"3540606"
-47.6886,-23.3503,"628",2020-01-27 18:25:09-03,IAC,IAC,"50678",S,Plantae,Meliaceae-1.Melioideae,Trichilia,casaretti,Trichilia casaretti,C.DC.,M.F. Casali,NA,NA,NA,M.F. Casali & E.A. Costa Jr.,"154","2008","10","31",Brasil,São Paulo,Iperó,"Floresta Nacional de Ipanema, Área 2",-47.6886,-23.3503,"-47.6886","-23.3503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPERÓ,"3521002"
-47.6800003051758,-23.3500003814697,"754",2019-10-03 10:04:03-03,UFSCar,SORO,"4074",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,C. DC.,NA,NA,NA,NA,"Casali, M.F.; Costa Jr.,E,A.","154","2008","10","31",Brasil,São Paulo,Iperó,Floresta Nacional de Ipanema. Coleta realizada na área 2.,-47.6800003051758,-23.3500003814697,NA,NA,NA,NA,Flores verdes. Frutos imaturos verdes. Árvore com aproximadamente 11m de altura.,NA,NA,NA,NA,NA,NA,"17831",auto,NA,NA,NA,NA,NA,NA,NA,NA,IPERÓ,"3521002"
-47.6800003051758,-23.3500003814697,"755",2019-10-03 10:04:03-03,UFSCar,SORO,"4076",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,C. DC.,NA,NA,NA,NA,"Casali, M.F.; Gonçalves, P.K.","100","2008","09","12",Brasil,São Paulo,Iperó,Floresta Nacional de Ipanema. Coleta realizada na área 1.,-47.6800003051758,-23.3500003814697,NA,NA,NA,NA,Flores cremes. Presença de Latex. Árvore com aproximadamente 6 m de altura.,NA,NA,NA,NA,NA,NA,"17831",auto,NA,NA,NA,NA,NA,NA,NA,NA,IPERÓ,"3521002"
-46.795833,-24.183056,"779",2021-03-04 15:46:24-03,IF,SPSF,"40377",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,C.DC.,NA,NA,NA,NA,D.F.Bertani,QT-16,"2007","03","02",Brasil,SP,Itanhaém,Ilha da Queimada Grande,-46.795833,-24.183056,NA,NA,NA,NA,"COLETA: 4m de altura; GEOGRAFIA: Interior da mata&nf;Sobre solo rochoso;",NA,NA,Magnoliophyta,Sapindales,América do Sul,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.7799987792969,-24.1800003051758,"814",2021-03-04 15:46:24-03,IF,SPSF,"24277",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,NA,NA,NA,NA,NA,I.Cordeiro,"1574","1995","08","16",Brasil,SP,Itanhaém,Estação Ecológica Juréia-Itatins,-46.7799987792969,-24.1800003051758,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata ombrofila&nf;;",NA,NA,Magnoliophyta,Sapindales,América do Sul,NA,"26998",auto,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-47.1699981689453,-24.2800006866455,"815",2021-03-04 15:46:24-03,IF,SPSF,"18230",PreservedSpecimen,Plantae,Meliaceae,Trichilia,casaretti,Trichilia casaretti,NA,NA,NA,NA,NA,S.Romaniuc Neto,"1406","1994","05","04",Brasil,SP,Itariri,P.E.Serra do Mar,-47.1699981689453,-24.2800006866455,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,Magnoliophyta,Sapindales,América do Sul,NA,"15115",auto,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,ITARIRI,"3523305"
