X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,identifiedBy,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-45.883333,-23.25,"174",2021-03-04 15:42:04-03,IF,SPSF,"47563",PreservedSpecimen,Plantae,Magnoliophyta,Orchidales,Orchidaceae,Coppensia,longicorna,Coppensia longicorna,F.Barros & V.T.Rodrigues,T.E.Barreto,"102","2013","03","25",América do Sul,Brasil,SP,Campos do Jordão,Fazenda Prana,-45.883333,-23.25,NA,"COLETA: Epífita.; GEOGRAFIA: FOD Altomontana.;",NA,NA,NA,NA,NA,NA,NA,Liliopsida,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-45.8400001525879,-23.5300006866455,"244",2019-11-21 10:13:20-03,IBt,SP,"56599",S,Plantae,NA,NA,Orchidaceae,Gomesa,longicornu,Gomesa longicornu,(Mutel) M.W.Chase & N.H.Williams,"Handro, O","915","1960","02","10",NA,Brasil,São Paulo,Salesópolis,Boracéa,-45.8400001525879,-23.5300006866455,NA,NA,NA,NA,NA,NA,"Meneguzzo, TEC","18032",auto,NA,"2017",NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
