X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,county,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,typeStatus,eventTime,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-46.724373,-23.565521,"1",2021-03-15 16:37:00-03,NY,NYBG,"687506",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Orobanchaceae,Agalinis,ramulifera,Agalinis ramulifera,Barringer,V. C. Souza,F. C. Hoehne,s.n.,"1918","02","19",South America,Brazil,São Paulo,"Capital, Butantan.",-46.724373,-23.565521,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=876716' target='other'> <mi>dwc_moreinfo</mi></a>,NY00687506,NY00687506_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"26",2019-11-13 11:27:45-03,USP,SPF,"153003",PreservedSpecimen,Plantae,NA,NA,Orobanchaceae,Agalinis,ramulifera,Agalinis ramulifera,Barringer,"Souza, VC","Hoehne, FC","1495","1918","02","19",NA,Brasil,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,SPF00153003,SPF00153003,São Paulo,"53584",auto,"1989","11",NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
