X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,yearIdentified,monthIdentified,barcode,imagecode,continentOcean,coordinatePrecision,geoFlag,preparationType,individualCount,dayIdentified,order,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.0299987792969,-23.5699996948242,"4",2020-12-21 16:37:12-03,MBM,MBM,"135127",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrcia,fusiformis,Myrcia fusiformis,(M.L.Kawas.) A.R.Lourenço & E.Lucas,"Aguiar, O.T.","Franco, G.A.D.C.; et al.; et al.","1101","1990","01","16",Brazil,São Paulo,Biritiba-Mirim,Estação Ecológica de Boracéia,-46.0299987792969,-23.5699996948242,NA,NA,NA,NA,NA,NA,NA,MBM135127,MBM135127,Southern America,"19656",auto,NA,NA,NA,NA,NA,BIRITIBA MIRIM,"3506607"
-46,-23.58333,"5",2010-02-13 22:45:00-02,MO,MOBOT,"3469373",PreservedSpecimen,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L. Kawas.,M. L. Kawaski,A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4674,"1987","2","4",Brazil,São Paulo,NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Transect 9.",-46,-23.58333,NA,NA,"870.00000000",NA,NA,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,NA,NA,BIRITIBA MIRIM,"3506607"
-46,-23.58333,"6",2010-02-13 22:45:00-02,MO,MOBOT,"3469378",PreservedSpecimen,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L. Kawas.,M. L. Kawasaki,A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4657,"1987","2","4",Brazil,São Paulo,NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 8.",-46,-23.58333,NA,NA,"860.00000000",NA,NA,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,NA,NA,BIRITIBA MIRIM,"3506607"
-46.0299987792969,-23.5699996948242,"9",2020-09-02 16:33:44-03,Cenargen,CEN,"19303",PreservedSpecimen,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,A. R. Lourenço,G. A. D. C. Franco,"1101","1990","01","16",Brasil,SP,BIRITIBA-MIRIM,Estação Ecológica de Boracéia.,-46.0299987792969,-23.5699996948242,NA,NA,NA,NA,"Caule tortuoso, semelhante a um cipó.Doação do Herbário D. Bento Pickel - Instituto Florestal. São Paulo. SPSF (13386).","2013","12",CEN00019303,CEN00019303,NA,"19656",auto,Exsicatas,"1",NA,NA,NA,BIRITIBA MIRIM,"3506607"
-46.283056,-23.769722,"14",2019-02-27 14:02:36-03,UFSJ,HUFSJ,"6624",S,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,NA,"Faria, JEQ; Lima, MEL","3035","2012","11","21",Brasil,São Paulo,NA,"Paranapiacaba, parcela H3 do Marcos Enoque, árvore 1885, Parque Natural Municipal Nascentes de Paranapiacaba",-46.283056,-23.769722,"-46.283056","-23.769722",NA,NA,"árvore ca. 7 m de altura, caule rugoso castanho, botões florais verdes. (coletado material em sílica gel)",NA,NA,HUFSJ006624,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46,-23.583333,"15",2020-11-12 17:01:48-03,UEL,FUEL,"39757",PreservedSpecimen,Plantae,Tracheophyta,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,"Sobral, M","Custódio Filho, A; Gentry, AH","4657","1987","02","04",Brasil,São Paulo,Boracéia,"Between Moji das Cruzes and Biriba Mirim, crest of Serra do Mar.",-46,-23.583333,"-46","-23.583333",NA,NA,NA,"2009","07",FUEL007505,NA,NA,NA,NA,NA,NA,"31",Myrtales,NA,BIRITIBA MIRIM,"3506607"
-46.283056,-23.769722,"16",2019-11-01 15:05:07-03,UnB,UB,"199098",PreservedSpecimen,Plantae,Dicotyledoneae,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L. Kawas.,"Faria, JEQ","Faria, JEQ; Lima, MEL","3035","2012","11","21",Brasil,São Paulo,Santo André,"Paranapiacaba, parcela H3 do Marcos Enoque, árvore 1885, Parque Natural Municipal Nascentes de Paranapiacaba",-46.283056,-23.769722,"-46.283056","-23.769722","954","954","árvore ca. 7 m de altura, caule rugoso castanho, botões florais verdes. (coletado material em sílica gel); Floresta ombrófila densa","2012","11",NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.4599990844727,-23.6599998474121,"19",2019-11-21 10:11:05-03,IBt,SP,"426005",S,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,"Martins, SE; Capistrano, TR","Shirasuna, RT; Gonçalez, VM; Silva, GO","705","2007","11","28",Brasil,São Paulo,Mauá,"Lote 1 Rodoanel Mário Covas, Trecho Sul",-46.4599990844727,-23.6599998474121,NA,NA,NA,NA,NA,"2009","05",NA,NA,NA,"8925",auto,NA,NA,"29",NA,NA,MAUÁ,"3529401"
-46.4599990844727,-23.6599998474121,"20",2019-11-21 10:11:05-03,IBt,SP,"413154",S,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,"Martins, SE; Capistrano, TR","Shirasuna, RT; Morse, F; Rodrigues, RS","2054","2009","01","26",Brasil,São Paulo,Mauá,"Lote 1 Rodoanel Mário Covas, Trecho Sul",-46.4599990844727,-23.6599998474121,NA,NA,NA,NA,NA,"2009","05",NA,NA,NA,"8925",auto,NA,NA,"29",NA,NA,MAUÁ,"3529401"
-45.8400001525879,-23.5300006866455,"21",2019-11-21 10:11:05-03,IBt,SP,"314163",S,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,"Kawasaki, ML","Wilms, W","424","1993","12","20",Brasil,São Paulo,Salesópolis,"Estação Biológica de Boracéia, Mata",-45.8400001525879,-23.5300006866455,NA,NA,"800","900",Árvore 2-3 m alt. Flores brancas,"1996",NA,SP001310,SP001310,NA,"18032",auto,NA,NA,NA,NA,Holotype,SALESÓPOLIS,"3545001"
-45.8400001525879,-23.5300006866455,"22",2019-11-21 10:11:05-03,IBt,SP,"314162",S,Plantae,NA,Myrtaceae,Calyptranthes,fusiformis,Calyptranthes fusiformis,M.L.Kawas.,"Kawasaki, ML","Simão Bianchini, R; et al.","536","1994","09","07",Brasil,São Paulo,Salesópolis,"Estação Biológica de Boracéia, Próximo à represa do rio Claro",-45.8400001525879,-23.5300006866455,NA,NA,NA,NA,NA,"1996",NA,SP056269,SP056269,NA,"18032",auto,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
