X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,continentOcean,preparationType,previousCatalogNumber,occurrenceRemarks,phylum,order,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,typeStatus,sex,NM_MUNICIP,CD_GEOCMU
-46.7799987792969,-24.1800003051758,"88",2020-11-04 10:59:42-03,ESALQ,ESA,"39575",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Duarte, A.R.","Farah, F.T. ; Gorenstein, M.R.","1997","07","26",Brasil,São Paulo,Itanhaém,NA,-46.7799987792969,-24.1800003051758,NA,NA,NA,NA,ESA039575,NA,"23.0",NA,NA,NA,NA,Magnoliophyta,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.9900016784668,-24.3199996948242,"98",2020-11-04 10:59:42-03,ESALQ,ESA,"12822",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Souza, V.C.","Souza, V.C. ; Abbud, V.","1988","11","06",Brasil,São Paulo,Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,ESA012822,NA,"330.0",NA,NA,NA,NA,Magnoliophyta,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47.9199981689453,-24.3799991607666,"100",2020-11-04 10:59:42-03,ESALQ,ESA,"51956",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,NA,"Lima, R.A.F.",NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,NA,"400","400",ESA051956,NA,"364.0",NA,NA,NA,no sub-bosque,Magnoliophyta,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.5499992370605,-23.1100006103516,"197",2020-12-20 21:15:28-03,UFV,VIC,"12621",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A. DC.,"Gomes, S.M.","Bernacci, L.C.; et al.","1987","08","15",Brasil,São Paulo,Atibaia,Fazenda Grota Funda,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,VIC012621,VIC012621,s.n.,NA,NA,NA,"Árvore com 7,0 metros de altura, caule cinza claro liso, flores creme-amareladas perfumados.",NA,NA,"21675",auto,"2001","07","05",NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.5499992370605,-23.1100006103516,"198",2020-12-20 21:15:28-03,UFV,VIC,"11549",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A. DC.,"Gomes, S.M.","Tamashiro, J.Y.; Joly, C.A.","1986","10","03",Brasil,São Paulo,Atibaia,Reserva Municipal de Atibaia - Pedra Grande,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,VIC011549,VIC011549,s.n.,NA,NA,NA,"Arvoreto de 5,0 metros de altura. Botões creme-esverdeados. Frutos maduros.",NA,NA,"21675",auto,"2001","07","05",NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.6300010681152,-23.5400009155273,"230",2019-01-17 11:25:35-02,PUCRS,MPUC,"12523",S,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A. DC.,A. Furlan,O. Cesar,NA,NA,NA,Brasil,SP,São Paulo,"Clube SESC, Interlagos",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,South America,NA,NA,Habitat: fragmento de Mata Atlântica,NA,Gentianales,"53584",auto,"1998","01","01",Magnoliopsida,NA,"1","53",NA,NA,SÃO PAULO,"3550308"
-46,-23.58333,"383",2008-05-27 22:02:00-03,MO,MOBOT,"422046",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A. DC.,S. Graff '93,A. Custodio Filho|Alwyn H. Gentry,"1987","2","4",Brazil,São Paulo,NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 8",-46,-23.58333,NA,NA,"860.00000000",NA,NA,NA,Custodio Filho 4652,South America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",87-9,NA,NA,BIRITIBA MIRIM,"3506607"
-46.6300010681152,-23.5400009155273,"427",2020-06-15 15:28:24-03,UNESP-RC,HRCB,"39090",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Furlan, A.","Furlan, A.","1998","10","20",Brasil,São Paulo,São Paulo,Clube SESC Interlagos. Região metropolitana de São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,"53",NA,NA,NA,NA,NA,NA,"53584",auto,"1998","11",NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8842,-23.1864,"648",2020-02-20 14:36:42-03,IAC,IAC,"29345",S,Plantae,Apocynaceae-1.Rauvolfioideae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,L.C. Bernacci & R.B. Torres,"S.L. Jung-Mendaçolli; E.G. Cardoso & A.M.C. Silva","1994","09","28",Brasil,São Paulo,Jundiaí,"IAC, Estação Experimental",-46.8842,-23.1864,"-46.8842","-23.1864",NA,NA,NA,NA,"658",NA,NA,NA,NA,NA,NA,NA,NA,"1997","08","04",NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.6361,-23.5475,"652",2020-01-27 18:24:14-03,IAC,IAC,"7534",S,Plantae,Apocynaceae-1.Rauvolfioideae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,M. Koscinski,M. Koscinski,"1934","07","15",Brasil,São Paulo,São Paulo,Horto Florestal,-46.6361,-23.5475,"-46.6361","-23.5475",NA,NA,NA,NA,s/nº,NA,NA,NA,NA,NA,NA,NA,NA,"1934","07","15",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
