X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,typeStatus,recordedBy,recordNumber,stateProvince,locality,phylum,order,scientificNameAuthorship,identifiedBy,year,month,day,county,decimalLongitude,decimalLatitude,imagecode,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,infraspecificEpithet,sex,NM_MUNICIP,CD_GEOCMU
-46.287717,-23.769525,"10",2021-03-15 16:37:00-03,NY,NYBG,"719858",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520783' target='other'> <mi>dwc_moreinfo</mi></a>,NY00719858,NA,L. C. Santos,"13",São Paulo,"Subprefeitura de Paranapiacaba e Parque Andreense, Pq. Nascentes de Paranpiacaba, trilha da Comunidade",Magnoliophyta,Ericales,Mart.,NA,"2008","03","06",Santo André,-46.287717,-23.769525,NY00719858_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.7799987792969,-24.1800003051758,"53",2020-01-20 14:40:51-03,UPM,MACK,"957",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,Graça,s/n,SP,Morro do Itaipara.,NA,NA,Mart.,NA,"2005","12","28",Itanhaém,-46.7799987792969,-24.1800003051758,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.9900016784668,-24.3199996948242,"54",2020-01-20 14:40:51-03,UPM,MACK,"706",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,"C. Carrasco; et al.","4",SP,Área de restinga.,NA,NA,Mart.,NA,"2010","07","08",Peruíbe,-46.9900016784668,-24.3199996948242,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.560001373291,-23.6900005340576,"55",2020-01-20 14:40:51-03,UPM,MACK,"707",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,"R. T. Shirasuna; Mônica","901",SP,"Projeto Rodoanel, trecho sul, lote 2.",NA,NA,Mart.,T. R. Capistrano et al.,"2008","02","01",São Bernardo do Campo,-46.560001373291,-23.6900005340576,NA,NA,NA,"31119",auto,"2008","03",NA,NA,"17",NA,NA,NA,NA,NA,NA,SÃO BERNARDO DO CAMPO,"3548708"
-46.6300010681152,-23.5400009155273,"56",2020-01-20 14:40:51-03,UPM,MACK,"708",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,R. J. F. Garcia,"3234",SP,"Fazenda Castanheiras, distrito Grajaú, APA Bororé, mata secundária",NA,NA,Mart.,R. J. F. Garcia,"2007","11","26",São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7799987792969,-24.1800003051758,"75",2020-11-04 11:19:37-03,ESALQ,ESA,"75365",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA075365,NA,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2315.0",São Paulo,NA,Magnoliophyta,NA,Mart.,NA,"2001","04","17",Itanhaém,-46.7799987792969,-24.1800003051758,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.3300018310547,-23.9599990844727,"78",2020-11-04 11:19:37-03,ESALQ,ESA,"126523",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA126523,NA,"Garcia, R.J.F. ; Schionato, R.","2360.0",São Paulo,NA,Magnoliophyta,NA,NA,"Garcia, R.J.F.","1905","06","29",Santos,-46.3300018310547,-23.9599990844727,NA,NA,NA,"26836",auto,"1905","06",NA,NA,"29",NA,NA,NA,NA,NA,NA,SANTOS,"3548500"
-46.6300010681152,-23.5400009155273,"79",2020-11-04 11:19:37-03,ESALQ,ESA,"126521",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA126521,NA,"Ferreira, G.M.P.","235.0",São Paulo,NA,Magnoliophyta,NA,NA,"Garcia, R.J.F.","1905","06","24",São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,"53584",auto,"1905","06",NA,NA,"24",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.9199981689453,-24.3799991607666,"82",2020-11-04 11:19:37-03,ESALQ,ESA,"99565",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA099565,NA,"Ivanauskas, N.M.","5002.0",São Paulo,NA,Magnoliophyta,NA,NA,"Ivanauskas, N.M.","2004","01","14",Sete Barras,-47.9199981689453,-24.3799991607666,ESA099565,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"83",2020-11-04 11:19:37-03,ESALQ,ESA,"80755",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA080755,NA,"Farias, R.; Rolim, S.G.; Uliana, V.L.C.R.; Righi, C.A.; Scaramuzza, C.A.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","708.0",São Paulo,NA,Magnoliophyta,NA,Mart.,"Ivanauskas, N.M.","2002","04","23",Sete Barras,-47.9199981689453,-24.3799991607666,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
