X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,preparationType,occurrenceRemarks,barcode,identifiedBy,county,imagecode,maximumElevationInMeters,infraspecificEpithet,typeStatus,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,dayIdentified,class,verbatimLongitude,verbatimLatitude,relatedCatalogItem,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-47.9199981689453,-24.3799991607666,"62",2020-11-04 11:21:14-03,ESALQ,ESA,"114184",PreservedSpecimen,Plantae,Pteridophyta,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,NA,"Breier, T.B.","684.0","2002","09","27",NA,Brasil,São Paulo,NA,-47.9199981689453,-24.3799991607666,NA,NA,NA,ESA114184,"Gonzatti, F.",Sete Barras,NA,NA,NA,NA,"2017","12","34059",auto,"14",NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.6300010681152,-23.5400009155273,"72",2020-12-21 16:37:35-03,IAP,PACA-AGP,"104947",PreservedSpecimen,Plantae,Pteridophyta,Polypodiales,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Brade, A.C.","6618","1913","08",NA,NA,Brasil,SP,Urwald epiphyt.,-46.6300010681152,-23.5400009155273,NA,NA,HASU 9261.,PACA104947,A. C. Brade,São Paulo,NA,NA,NA,NA,NA,NA,"53584",auto,NA,Filicopsida,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.916667,-24.166667,"73",2019-11-21 14:52:47-03,UFJF,CESJ,"67893",PreservedSpecimen,Plantae,Polypodiopsida,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"T.B. Breier; V.A.O. Dittrich","684","2002","09","27",América do Sul,Brasil,São Paulo,"Parque Estadual Carlos Botelho, Núcleo Sete Barras.",-47.916667,-24.166667,NA,NA,Epífita a 1-2 m.,CESJ067893,F. Gonzatti,Sete Barras,NA,NA,NA,NA,"2017","02",NA,NA,NA,NA,"-47.916667","-24.166667",NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.312972,-23.775639,"102",2020-12-21 16:29:30-03,MBM,MBM,"429667",PreservedSpecimen,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spr.,"Canestraro, B.K.; Lozano, E.D.; Lozano, E.D.","1215","2018","06","01",Southern America,Brazil,São Paulo,"Reserva Biológica Alto da Serra de Paranapiacaba, trilha 9",-46.312972,-23.775639,"780",NA,"Epífita em Cyathea, interior de floresta, beira da trilha, ciófita.; Floresta Ombrófila Densa.",MBM429667,"Canestraro, B.K.",Santo André,NA,"780",NA,NA,"2018",NA,NA,NA,NA,NA,"-46.312972","-23.775639",NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-45.209889,-23.432556,"269",2019-11-07 11:17:19-03,UFMG,BHCB-SL,"62100",PreservedSpecimen,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Salino, A; Dittrich, VAO; Morais, PO; Meinberg, AC","7431","2001","08","10",América,Brasil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo de Santa Virgínia, Base de Vargem Grande. Trilha para a Cachoeira da Boneca, Ribeirão Grande.",-45.209889,-23.432556,"800",NA,NA,NA,"Salino, A",São Luiz do Paraitinga,NA,"800",NA,NA,"2001","10",NA,NA,NA,NA,"-45.209889","-23.432556",NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-47.916667,-24.2,"288",2019-11-07 11:17:19-03,UFMG,BHCB-SL,"75691",PreservedSpecimen,Plantae,NA,NA,Hymenophyllaceae,Hymenophyllum,elegans,Hymenophyllum elegans,Spreng.,"Dittrich, VAO; Breier, TB","1210","2002","09","27",América,Brasil,São Paulo,"Parque Estadual Carlos Botelho, Núcleo de Sete Barras. Floresta Ombrófila Densa.",-47.916667,-24.2,"120",NA,"Holoepífito preferencial a aproximadamente 1,2m de altura na orla da Floresta Ombrófila Densa, próxima a rio.",NA,"Dittrich, VAO",Sete Barras,NA,"120",NA,NA,"2002","10",NA,NA,NA,NA,"-47.916667","-24.2",NA,NA,NA,NA,SETE BARRAS,"3551801"
