X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,year,month,day,continentOcean,country,stateProvince,locality,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,recordNumber,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,phylum,order,scientificNameAuthorship,typeStatus,imagecode,infraspecificEpithet,identifiedBy,county,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,eventTime,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-47.63,-24.32,"114",2021-03-15 16:37:00-03,NY,NYBG,"375405",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,glomerata,Pouteria glomerata glomerata,M. Kuhlmann,"1954","11","25",South America,Brazil,São Paulo,"Juquia, Fazenda Poço Grande",sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42360' target='other'> <mi>dwc_moreinfo</mi></a>,NY00375405,"3120",-47.63,-24.32,NA,NA,Magnoliophyta,Ericales,(Miq.) Radlk.,NA,NY00375405_01,glomerata,T. D. Pennington,Juquiá,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-47.63,-24.32,"171",2021-03-15 16:37:00-03,NY,NYBG,"375405",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,glomerata,Pouteria glomerata glomerata,M. Kuhlmann,"1954","11","25",South America,Brazil,São Paulo,"Juquia, Fazenda Poço Grande",sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=42360' target='other'> <mi>dwc_moreinfo</mi></a>,NY00375405,"3120",-47.63,-24.32,NA,NA,Magnoliophyta,Ericales,(Miq.) Radlk.,NA,NY00375405_01,glomerata,T. D. Pennington,Juquiá,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-46.9333333,-24.25,"531",2010-04-15 16:05:00-03,MO,MOBOT,"409431",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,glomerata,Pouteria glomerata,"Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco","1987","9","4",South America,Brazil,São Paulo,"Carlos Botelho State Park, Riberão Branco, Km 55, ca. 23 km S of Park Headquarters. Transect 10",NA,NA,NA,NA,Gentry 59018,-46.9333333,-24.25,NA,NA,NA,NA,(Miq.) Radlk.,NA,NA,NA,A. Alves-Araújo,NA,"560.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,87-208,"3",NA,PERUÍBE,"3537602"
-47.6300010681152,-24.3199996948242,"832",2019-11-13 11:31:48-03,USP,SPF,"71669",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,glomerata,Pouteria glomerata glomerata,"Kuhlmann, M",NA,NA,NA,NA,Brasil,São Paulo,NA,NA,NA,NA,SPF00071669,"3120",-47.6300010681152,-24.3199996948242,NA,NA,NA,NA,(Miq.) Radlk.,NA,NA,glomerata,"Pennington, TD",Juquiá,NA,NA,"32505",auto,"1990",NA,NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-47.6300010681152,-24.3199996948242,"834",2019-11-13 11:31:48-03,USP,SPF,"71669",PreservedSpecimen,Plantae,Sapotaceae,Pouteria,glomerata,Pouteria glomerata glomerata,"Kuhlmann, M",NA,NA,NA,NA,Brasil,São Paulo,NA,NA,NA,NA,SPF00071669,"3120",-47.6300010681152,-24.3199996948242,NA,NA,NA,NA,(Miq.) Radlk.,NA,NA,glomerata,"Pennington, TD",Juquiá,NA,NA,"32505",auto,"1990",NA,NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
