X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,imagecode,geoFlag,dayIdentified,locality,typeStatus,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,continentOcean,individualCount,fieldNumber,NM_MUNICIP,CD_GEOCMU
-47.420833,-23.757778,"7",2019-08-16 08:38:46-03,UTFPR,HCF,"15932",S,Plantae,Bignoniaceae,Lundia,damazioi,Lundia damazioi,C.DC.,M. Kaehler,"2010",NA,P.H. Labiak,"5181","2009","01","20",Brasil,SP,Piedade,-47.420833,-23.757778,NA,liana lenhosa. Mata Secundária. Flores brancas com falce amarelada. Cálice castanho-esbranquiçado. Floresta Atlântica.,NA,NA,NA,NA,"Estrada de Piedade para Juquiá, Km 124",NA,47°25'15 W,23°45'28 S,"960","960",NA,NA,NA,PIEDADE,"3537800"
-47.420833,-23.757778,"8",2020-12-21 16:18:25-03,MBM,MBM,"393030",PreservedSpecimen,Plantae,Bignoniaceae,Lundia,damazioi,Lundia damazioi,C. DC.,"Kaehler, M.","2010",NA,"Labiak, P.H.; Schwartsburd, P.B.; Schwartsburd, P.B.","5181","2009","01","20",Brazil,São Paulo,Piedade,-47.420833,-23.757778,NA,"Liana lenhosa. Flores brancas com falce amarelada. Cálice castanho-esbranquiçado.; Floresta Atlântica, mata secundária.",MBM393030,MBM393030,NA,NA,"Estrada de Piedade para Juquiá, Km 124 da SP-079. Próximo à entrada para a Pousada Vale dos Eucaliptos",NA,"-47.420833","-23.757778","960","960",Southern America,NA,NA,PIEDADE,"3537800"
