X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,recordNumber,year,month,stateProvince,county,locality,decimalLongitude,decimalLatitude,imagecode,day,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,infraspecificEpithet,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"32",2019-02-15 11:48:58-02,IPA,IPA,"9354",S,Plantae,Proteaceae,Adenostephanus,incana,Adenostephanus incana,NA,"Pickel, B.",Southern America,Brasil,NA,NA,Cultivada.,IPA0009354,Plantae,NA,Klotzsch,NA,s.n.,"1942","11",São Paulo,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,"28",NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"33",2019-02-15 11:48:58-02,IPA,IPA,"9224",S,Plantae,Proteaceae,Adenostephanus,incana,Adenostephanus incana,NA,"Koscinski, M.",Southern America,Brasil,NA,NA,NA,IPA0009224,Plantae,NA,Klotzsch,NA,s.n.,"1938","12",São Paulo,São Paulo,Serra da Cantareira,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"39",2019-11-19 14:08:59-03,UFRPE,PEUFR,"977",PreservedSpecimen,Plantae,Proteaceae,Adenostephanus,incana,Adenostephanus incana,NA,B. Pickel,NA,Brasil,NA,NA,NA,PEUFR000977,NA,NA,Klotzsch,NA,NA,"1942","11",São Paulo,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,"28",NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.9900016784668,-24.3199996948242,"104",2019-11-13 16:04:14-03,UNISANTA,HUSC,"10419",PreservedSpecimen,Plantae,Proteaceae,Euplassa,incana,Euplassa incana,NA,"Scolari, G.O.; Nakasato, M.V.",NA,Brasil,NA,NA,"Árvore, 7m alt.; Trecho de floresta alta de restinga",NA,NA,NA,(Klotzsch) I.M.Johnst.,"Martins, S.E.","129","2007","04",São Paulo,Peruíbe,Bairro do Guaraú,-46.9900016784668,-24.3199996948242,NA,"22",NA,NA,"2007","08","30","21922",auto,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.6300010681152,-23.5400009155273,"114",2021-02-08 12:45:02-03,UFRGS,ICN,"004485",S,Plantae,Proteaceae,Euplassa,incana,Euplassa incana,NA,Serviço Florestal,América do Sul,Brasil,NA,NA,NA,NA,Dicotyledon,NA,(Klotzsch) I.M.Johnst,"Cortéz, F",s.n.,"1944",NA,SP,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,"1991","12","12","53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
