X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,county,decimalLongitude,decimalLatitude,coordinatePrecision,minimumElevationInMeters,geoFlag,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,fieldNumber,individualCount,typeStatus,infraspecificEpithet,NM_MUNICIP,CD_GEOCMU
-46.4197,-23.89,"8",2021-03-15 16:37:00-03,NY,NYBG,"484147",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Acanthaceae,Aphelandra,squarrosa,Aphelandra squarrosa,Nees,D. C. Wasshausen,M. Kuhlmann,"4076","1957","05","15",South America,Brazil,São Paulo,Cubatao,sheet,Instituto de Botanica Sao Paulo - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692219' target='other'> <mi>dwc_moreinfo</mi></a>,NY00484147,NY00484147_01,Cubatao,-46.4197,-23.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4000015258789,-24,"112",2019-11-21 09:57:45-03,IBt,SP,"14720",S,Plantae,NA,NA,Acanthaceae,Aphelandra,squarrosa,Aphelandra squarrosa,Nees,NA,"Loefgren, A",CGG5972,"1894","05","22",NA,Brasil,São Paulo,Piassaguera. Mata virgem.,NA,NA,SP022277,SP022277,Praia Grande,-46.4000015258789,-24,"22363",NA,auto,NA,"1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,PRAIA GRANDE,"3541000"
