X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,preparationType,occurrenceRemarks,barcode,imagecode,geoFlag,scientificNameAuthorship,identifiedBy,verbatimLongitude,verbatimLatitude,yearIdentified,class,minimumElevationInMeters,maximumElevationInMeters,monthIdentified,dayIdentified,typeStatus,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-47.9199981689453,-24.3799991607666,"9",2020-11-04 11:09:34-03,ESALQ,ESA,"109545",PreservedSpecimen,Plantae,Magnoliophyta,NA,Fabaceae,Inga,lenticellata,Inga lenticellata,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30099.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,"34059",NA,NA,ESA109545,ESA109545,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"10",2020-11-04 11:09:34-03,ESALQ,ESA,"109686",PreservedSpecimen,Plantae,Magnoliophyta,NA,Fabaceae,Inga,lenticellata,Inga lenticellata,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29282.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,"34059",NA,NA,ESA109686,ESA109686,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"11",2020-11-04 11:09:34-03,ESALQ,ESA,"51973",PreservedSpecimen,Plantae,Magnoliophyta,NA,Fabaceae,Inga,lenticellata,Inga lenticellata,"Lima, R.A.F.","391.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho,-47.9199981689453,-24.3799991607666,"34059",NA,plaqueta parcelas permanentes: 9865,ESA051973,ESA051973,auto,Benth.,NA,NA,NA,NA,NA,"400","400",NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.9099998474121,-23.6000003814697,"23",2019-08-20 10:13:45-03,UNICAMP,UEC,"23357",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lenticellata,Inga lenticellata,"Hoehne, FC",s.n.,"1932","05","24",NA,Brazil,São Paulo,Cotia,NA,-46.9099998474121,-23.6000003814697,"23869",NA,"Árvore, flores alvas.",NA,NA,auto,Benth.,"Garcia, FCP",NA,NA,"1999",NA,NA,NA,"08",NA,NA,NA,NA,COTIA,"3513009"
-46.9099998474121,-23.6000003814697,"30",2020-12-21 16:26:41-03,MBM,MBM,"69120",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Inga,lenticellata,Inga lenticellata,"Hoehne, F.C.",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,Cotia,Cotia,-46.9099998474121,-23.6000003814697,"23869",NA,NA,MBM069120,MBM069120,auto,Benth.,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-46.9099998474121,-23.6000003814697,"48",2017-11-24 14:10:52-02,UFLA,ESAL,"1093",S,Plantae,NA,NA,Fabaceae,Inga,lenticellata,Inga lenticellata,"Hoehne, FC","29.672",NA,NA,NA,NA,Brasil,São Paulo,Cotia,NA,-46.9099998474121,-23.6000003814697,"23869",NA,"árvore; ; alva;",NA,NA,auto,Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-46.9099998474121,-23.6000003814697,"53",2019-11-13 11:22:25-03,USP,SPF,"147725",PreservedSpecimen,Plantae,NA,NA,Leguminosae,Inga,lenticellata,Inga lenticellata,"Hoehne, FC",s.n.,"1932","05","24",NA,Brasil,São Paulo,Cotia,NA,-46.9099998474121,-23.6000003814697,"23869",NA,NA,SPF00147725,NA,auto,Benth.,"Pennington, TD",NA,NA,"1996",NA,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-46.9099998474121,-23.6000003814697,"54",2019-11-13 11:22:25-03,USP,SPF,"17772",PreservedSpecimen,Plantae,NA,NA,Leguminosae,Inga,lenticellata,Inga lenticellata,"Hoehne, FC","246","1932","05","24",NA,Brasil,São Paulo,Cotia,NA,-46.9099998474121,-23.6000003814697,"23869",NA,NA,SPF00017772,NA,auto,Benth.,"Fernandes, JM",NA,NA,"2010",NA,NA,NA,"11",NA,NA,NA,NA,COTIA,"3513009"
-47.9199981689453,-24.3799991607666,"65",2021-03-04 15:43:15-03,IF,SPSF,"10705",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Inga,lenticellata,Inga lenticellata,A.C.Dias,"85","1986","07","29",América do Sul,Brasil,SP,Sete Barras,Parque Estadual Carlos Botelho,-47.9199981689453,-24.3799991607666,"34059",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"67",2021-03-04 15:43:15-03,IF,SPSF,"15541",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Inga,lenticellata,Inga lenticellata,P.L.R.Moraes,"209","1990","07","27",América do Sul,Brasil,SP,Sete Barras,Parque Estadual Carlos Botelho,-47.9199981689453,-24.3799991607666,"34059",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,auto,Benth.,J.A.Pastore,NA,NA,"2010",Magnoliopsida,NA,NA,"01","26",NA,NA,NA,SETE BARRAS,"3551801"
