X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,year,month,day,phylum,order,scientificNameAuthorship,stateProvince,locality,minimumElevationInMeters,maximumElevationInMeters,imagecode,identifiedBy,county,decimalLongitude,decimalLatitude,infraspecificEpithet,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-47.45,-24.07,"330",2020-11-04 11:13:46-03,ESALQ,ESA,"128677",PreservedSpecimen,Plantae,Melastomataceae,Rhynchanthera,hispida,Rhynchanthera hispida,NA,"Polisel, R.T.","1164.0",NA,Brasil,NA,NA,Erva de 40 cm. Flores vistosas de coloração vinácea.,ESA128677,"2013","03","27",Magnoliophyta,NA,NA,São Paulo,"Reserva Particular da Votorantim (CBA). Trilha de Dezembro, entre a UHE Alecrim e Porto Raso. Floresta Ombrófila Densa às margens do Rio de Dezembro.","389","389",NA,NA,Tapiraí,-47.45,-24.07,NA,NA,NA,"-47.45","-24.07",NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-46.734506,-23.979293,"813",2021-02-11 17:20:17-03,UFPR,UPCB,"88197",PreservedSpecimen,Plantae,Melastomataceae,Rhynchanthera,grandiflora,Rhynchanthera grandiflora,NA,"Meyer, F.S. et al.","1102",NA,Brasil,NA,NA,"Subarbusto ca. 80 cm alt., coletado em loca bastante úmido, na beira da estrada em Floresta Ombrófila Densa Montana em regeneração..",UPCB0032060,"2012","02","14",NA,NA,(Aubl.) DC.,São Paulo,Parque Estadual da Serra do Mar - Núcleo Curucutu,NA,NA,UPCB0032060,"Versiane, A.F.A.",São Paulo,-46.734506,-23.979293,NA,NA,NA,"-46.734506","-23.979293","2016","05","10",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
