X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,scientificNameAuthorship,identifiedBy,year,month,day,stateProvince,county,coordinatePrecision,geoFlag,infraspecificEpithet,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,sex,class,relatedCatalogItem,individualCount,fieldNumber,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-46.621883,-23.654505,"19",2021-03-15 16:37:00-03,NY,NYBG,"441982",PreservedSpecimen,Plantae,Magnoliophyta,Sapindales,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,W. Hoehne,NA,South America,Brazil,"Sao Paulo, Parque do Estado",-46.621883,-23.654505,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317001' target='other'> <mi>dwc_moreinfo</mi></a>,NY00441982,NY00441982_01,L.,W. Hoehne,"1944","11","10",São Paulo,Sao Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5497,-23.1103,"53",2021-03-15 16:37:00-03,NY,NYBG,"389978",PreservedSpecimen,Plantae,Magnoliophyta,Sapindales,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,M. Kuhlmann,NA,South America,Brazil,Rodovia próximo à divisa com o município de Jundiaí,-46.5497,-23.1103,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=316975' target='other'> <mi>dwc_moreinfo</mi></a>,NY00389978,NY00389978_01,L.,T. D. Pennington,"1964","12","08",São Paulo,Atibaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.3899993896484,-23.1800003051758,"326",2020-11-04 11:13:59-03,ESALQ,ESA,"20149",PreservedSpecimen,Plantae,Magnoliophyta,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J. de P.; Miyagi, P. H.; Belinello, R.; Fernandes, G.D.","753.0",NA,Brasil,NA,-46.3899993896484,-23.1800003051758,NA,NA,NA,NA,ESA020149,ESA020149,L.,"Pastore, J.A.","1995","04","10",São Paulo,Nazaré Paulista,"18850",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAZARÉ PAULISTA,"3532405"
-45.183333,-23.4,"388",2021-03-01 16:35:31-03,UNICAMP,UEC,"200647",S,Plantae,Magnoliopsida,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Pereira, LS; Belinello, R; Gomes, JAMA",N995,NA,Brazil,Parque Estadual da Serra do Mar,-45.183333,-23.4,"990","1045",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 6 metros de altura. Frequência da espécie na parcela: n=1; Mata Atlântica",UEC158008,UEC158008,L.,"Tamashiro, JY; Pereira, LS","2007","12",NA,São Paulo,São Luiz do Paraitinga,NA,NA,NA,"2008",NA,NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.945278,-23.330333,"389",2021-03-01 16:35:31-03,UNICAMP,UEC,"160394",S,Plantae,Magnoliopsida,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","625",NA,Brazil,Parque Estadual da Serra do Mar,-45.945278,-23.330333,"999","999",NA,"Material vegetativo. Cerca de 9 m de altura e 1 indivíduo distribuído em 1 ha.; Floresta Ombrófila Densa Montana.",UEC039462,UEC039462,L.,"Marchiori, NM","2011","01","05",São Paulo,São Luiz do Paraitinga,NA,NA,NA,"2011","05",NA,"-45.945278","-23.330333",NA,NA,NA,NA,NA,NA,JACAREÍ,"3524402"
-45.945278,-23.330333,"390",2021-03-01 16:35:31-03,UNICAMP,UEC,"160334",S,Plantae,Magnoliopsida,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","625",NA,Brazil,Parque Estadual da Serra do Mar,-45.945278,-23.330333,"999","999",NA,"Material vegetativo. Cerca de 9 m de altura e 1 indivíduo distribuído em 1 ha.; Floresta Ombrófila Densa Montana.",UEC039533,UEC039533,L.,"Marchiori, NM","2011","01","05",São Paulo,São Luiz do Paraitinga,NA,NA,NA,"2011","05",NA,"-45.945278","-23.330333",NA,NA,NA,NA,NA,NA,JACAREÍ,"3524402"
-46.6300010681152,-23.5400009155273,"483",2020-12-21 16:35:21-03,MBM,MBM,"254110",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Durigan, G.",s.n.,Southern America,Brazil,Estação Experimental,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM254110,MBM254110,L.,"Pastore, J.A.",NA,NA,NA,São Paulo,São Paulo,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.935778,-23.230444,"896",2020-06-15 15:31:04-03,UNESP-RC,HRCB,"50654",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,Lombardi,"7516",NA,Brasil,NA,-46.935778,-23.230444,NA,NA,NA,"Árvore ca. 10 m, fétida quando cortada, folíolos herbáceos, flores brancas",NA,NA,L.,NA,"2008","11","03",São Paulo,Jundiaí,NA,NA,NA,NA,NA,NA,46º56'08.8W,"23º13'49,6S",NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.5499992370605,-23.1100006103516,"1131",2019-11-13 11:26:06-03,USP,SPF,"82982",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Kuhlmann, M",s.n.,NA,Brasil,NA,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,SPF00082982,NA,L.,"Pirani, JR",NA,NA,NA,São Paulo,Atibaia,"21675",auto,NA,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.3899993896484,-23.1800003051758,"1133",2019-11-13 11:26:06-03,USP,SPF,"98978",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Cedrela,odorata,Cedrela odorata,NA,"Tamashiro, JY","753",NA,Brasil,NA,-46.3899993896484,-23.1800003051758,NA,NA,NA,NA,SPF00098978,NA,L.,Anônimo,"1995","04","10",São Paulo,Nazaré Paulista,"18850",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAZARÉ PAULISTA,"3532405"
