X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,continentOcean,locality,preparationType,previousCatalogNumber,occurrenceRemarks,phylum,order,recordNumber,coordinatePrecision,geoFlag,class,relatedCatalogItem,infraspecificEpithet,relationshipType,individualCount,fieldNumber,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.618358,-23.646109,"22",2021-03-15 16:37:00-03,NY,NYBG,"424105",PreservedSpecimen,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,R. R. Mill,NA,NA,NA,F. C. Hoehne,"1932","05","13",Brazil,São Paulo,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,NY00424105,NY00424105_01,South America,Jardim Botânico,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402568' target='other'> <mi>dwc_moreinfo</mi></a>,Pinophyta,Araucariales,"29555",NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"119",2019-02-15 11:33:19-02,IPA,IPA,"8803",S,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,NA,NA,NA,NA,"Pickel, B.","1940","10","30",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,IPA0008803,NA,Southern America,Horto Florestal,NA,NA,Cultivada.,Plantae,NA,"5714","53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"120",2019-02-15 11:33:19-02,IPA,IPA,"8805",S,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,NA,NA,NA,NA,"Koscinski, M.","1940","04","02",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,IPA0008805,NA,Southern America,Horto Florestal,NA,NA,Botões floridos. Os botões globosos femininos e os oblongos masculinos.,Plantae,NA,s.n.,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"121",2019-02-15 11:33:19-02,IPA,IPA,"8804",S,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,"Pickel, B.",NA,NA,NA,"Koscinski, M.",NA,NA,NA,Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,IPA0008804,NA,Southern America,"Horto Florestal, na mata.",NA,NA,Flores masculinas.,Plantae,NA,"1940","53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8800010681152,-23.1800003051758,"478",2020-06-15 15:28:38-03,UNESP-RC,HRCB,"49661",PreservedSpecimen,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,"Lombardi, J.A.","2008","03",NA,Lombardi,"2008","03","25",Brasil,São Paulo,Jundiaí,-46.8800010681152,-23.1800003051758,NA,NA,NA,NA,NA,NA,NA,Reserva Biológica Municipal da Serra do Japi,NA,NA,"Árvore ca.20m, cones femininos verdes.",NA,NA,"7379","17840",auto,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.6300010681152,-23.5400009155273,"486",2019-05-23 11:07:39-03,UFLA,ESAL,"967",S,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,F. C. Hoehne,NA,NA,NA,"Hoehne, FC",NA,NA,NA,Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,Jardim Botânico,NA,NA,"; ; ;",NA,NA,"29555","53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7725,-23.663056,"552",2019-11-13 11:15:44-03,USP,SPF,"121017",PreservedSpecimen,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,"Garcia, RJF","1995",NA,NA,"Garcia, RJF","1992","06","25",Brasil,São Paulo,São Paulo,-46.7725,-23.663056,"-46.7725","-23.663056",NA,NA,SPF00121017,NA,NA,trilha da Araucária.,NA,NA,NA,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.741389,-23.563056,"555",2021-03-15 18:25:06-03,USP,SPF,"225718",PreservedSpecimen,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,"Motta, LB","2016","05","30","Furlan, CM","2016","05","25",Brasil,São Paulo,São Paulo,-46.741389,-23.563056,"-46.741389","-23.563056","726","726",SPF00225718,NA,NA,"Cidade Universitária Armando de Salles Oliveira, Raia Olímpica.",NA,NA,"Árvore 10 m alt., em estado reprodutivo com estróbilos masculinos. Voucher de estudo fitoquímico.; Cultivada em arborização urbana.",NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.9099998474121,-23.6000003814697,"558",2021-03-15 18:25:06-03,USP,SPF,"206296",PreservedSpecimen,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,"Ceccantini, GCT",NA,NA,NA,"Ceccantini, GCT; Cardim, RH; Araújo, A","2008","03","14",Brasil,São Paulo,Cotia,-46.9099998474121,-23.6000003814697,NA,NA,NA,NA,SPF00206296,NA,NA,"Caucaia, Condomínio Los Álamos.",NA,NA,"Árvore masculina, tombada por tempestade, cultivada.",NA,NA,"3404","23869",auto,NA,NA,NA,NA,NA,NA,NA,COTIA,"3513009"
-46.6300010681152,-23.5400009155273,"559",2019-11-13 11:15:44-03,USP,SPF,"19565",PreservedSpecimen,Plantae,Araucariaceae,Araucaria,angustifolia,Araucaria angustifolia,(Bertol.) Kuntze,"Hoehne, FC","1932",NA,NA,"Hoehne, FC","1932","05","13",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,SPF00019565,NA,NA,Parque do Estado.,NA,NA,NA,NA,NA,s.n.,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
