X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,occurrenceRemarks,phylum,order,continentOcean,preparationType,infraspecificEpithet,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,individualCount,fieldNumber,typeStatus,previousCatalogNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.621883,-23.654505,"63",2021-03-15 16:37:00-03,NY,NYBG,"01093247",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,floribunda,Mollinedia floribunda,Tul.,S. A. C. Chiea,NA,NA,NA,S. A. C. Chiea,"11","1979","05","16",Brazil,São Paulo,Sao Paulo,"Reserva Biológica, Parque Estadual das Fontes do Ipiranga.",-46.621883,-23.654505,NA,NA,NA,NA,NY01093247,NY01093247_01,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230896' target='other'> <mi>dwc_moreinfo</mi></a>,Magnoliophyta,Laurales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"79",2021-03-15 16:37:00-03,NY,NYBG,"01093296",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana gracilis,(Tul.) Perkins,M. Kuhlmann,NA,NA,NA,M. Kuhlmann,s.n.,"1937","08","17",Brazil,São Paulo,Sao Paulo,"Viveiro da Prefeitura, 3 Rios.",-46.63,-23.5403,NA,NA,NA,NA,NY01093296,NY01093296_01,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232452' target='other'> <mi>dwc_moreinfo</mi></a>,Magnoliophyta,Laurales,South America,sheet,gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.5403,"85",2021-03-15 16:37:00-03,NY,NYBG,"454299",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,J. Mattos,NA,NA,NA,A. Gehrt,s.n.,"1939","12","17",Brazil,São Paulo,Sao Paulo,Pirajussara,-46.63,-23.5403,NA,NA,NA,NA,NY00454299,NY00454299_01,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460220' target='other'> <mi>dwc_moreinfo</mi></a>,Magnoliophyta,Laurales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.344314,-23.758253,"92",2016-09-30 18:53:00-03,NY,NYBG,"719838",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,NA,NA,NA,NA,G. Pelissari,"119","2008","06","19",Brazil,São Paulo,Santo André,"Subprefeitura de Paranapiacaba e Parque Andreense, Rua Araçaúva",-46.344314,-23.758253,NA,NA,NA,NA,NY00719838,NY00719838_01,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520711' target='other'> <mi>dwc_moreinfo</mi></a>,Magnoliophyta,Laurales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.9900016784668,-24.3199996948242,"126",2020-01-20 14:40:39-03,UPM,MACK,"883",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,NA,NA,NA,NA,"Camila; Eduardo; Rodrigo",s/n,"2010","07","20",Brasil,SP,Peruíbe,Restinga alta.,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"171",2020-11-04 11:14:07-03,ESALQ,ESA,"11331",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,cyathantha,Mollinedia cyathantha,Perk.,"Peixoto, A.L.",NA,NA,NA,"Souza, V.C. ; Eterovic, A.","521.0","1989","04","01",Brasil,São Paulo,Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,ESA011331,ESA011331,NA,Magnoliophyta,NA,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.5299987792969,-23.4599990844727,"176",2020-11-04 11:14:07-03,ESALQ,ESA,"5686",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk,"Peeixoto, A.L.","1998","01","01","Gandolfi, S. et al.","8730.0","1984","11","22",Brasil,São Paulo,Guarulhos,NA,-46.5299987792969,-23.4599990844727,NA,NA,NA,NA,ESA005686,ESA005686,NA,Magnoliophyta,NA,NA,NA,NA,"26398",auto,NA,NA,NA,NA,NA,NA,NA,NA,GUARULHOS,"3518800"
-47.9199981689453,-24.3799991607666,"178",2020-11-04 11:14:07-03,ESALQ,ESA,"109671",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,NA,NA,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30106.0",NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,ESA109671,ESA109671,NA,Magnoliophyta,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"179",2020-11-04 11:14:07-03,ESALQ,ESA,"82485",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Duarte, A.R.",NA,NA,NA,"Mazine, F.F. Duarte, A.R. ; Gianotti, M.","463.0","2002","10","30",Brasil,São Paulo,Sete Barras,Parque Estadual de Carlos Botelho - Floresta Ombrófila Densa (parcela do Biota),-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,ESA082485,NA,Árvore ca. 8m.,Magnoliophyta,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-45.37,-23.41,"180",2020-11-04 11:14:07-03,ESALQ,ESA,"69089",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Stella, A.",NA,NA,NA,"Oliveira, A.A.; Souza, S.C.P.M.; Siqueira, L.P.; M.C.Sorreano, Scalon, V.R.; Atanasio, C.; V.Bucheaneri, Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3600.0","2000","04","18",Brasil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar. Estrada Intermediária, Km 30. Floresta Ombrofila Densa de Planalto, com perturbação. Interior de floresta",-45.37,-23.41,"-45.37","-23.41","600","600",ESA069089,ESA069089,"Árvore, 3m alt. DAP 5cm. Frutos verdes.",Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
