X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,occurrenceRemarks,barcode,imagecode,year,month,day,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,fieldNumber,typeStatus,individualCount,relatedCatalogItem,sex,NM_MUNICIP,CD_GEOCMU
-46.4097,-23.71,"18",2021-03-15 16:37:00-03,NY,NYBG,"448625",PreservedSpecimen,Plantae,Magnoliophyta,Boraginales,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,A.DC.,N. Laroda,A. Gehrt,"7979",South America,Brazil,São Paulo,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=459861' target='other'> <mi>dwc_moreinfo</mi></a>,NY00448625,NY00448625_01,"1922","09","27",Ribeirao Pires,NA,-46.4097,-23.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RIBEIRÃO PIRES,"3543303"
-46,-23.58333,"209",2008-05-27 22:02:00-03,MO,MOBOT,"437433",PreservedSpecimen,Plantae,NA,NA,Cordiaceae,Cordia,trichoclada,Cordia trichoclada,DC.,J. S. Miller (MO),A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4550,South America,Brazil,São Paulo,NA,NA,NA,NA,"1987","2","3",NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 2",-46,-23.58333,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,87-2,NA,"1",NA,NA,BIRITIBA MIRIM,"3506607"
-46,-23.58333,"210",2008-05-27 22:02:00-03,MO,MOBOT,"437440",PreservedSpecimen,Plantae,NA,NA,Cordiaceae,Cordia,trichoclada,Cordia trichoclada,DC.,J. S. Miller (MO),A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4633,South America,Brazil,São Paulo,NA,NA,NA,NA,"1987","2","4",NA,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 7",-46,-23.58333,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,87-8,NA,"1",NA,NA,BIRITIBA MIRIM,"3506607"
-46.316667,-23.783333,"285",2019-10-07 09:12:24-03,UEFS,HUEFS,"89250",PreservedSpecimen,Plantae,Angiospermae,Boraginales,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,NA,"Custódio-Filho, A.","1115",NA,Brasil,São Paulo,NA,NA,HUEFS0089250,HUEFS0089250,"1982","12","07",Paranapiacaba,Estação Biológica.,-46.316667,-23.783333,"750","900",NA,NA,NA,46W19',23S47',NA,NA,Asteranae,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.7799987792969,-24.1800003051758,"350",2021-03-04 15:43:42-03,IF,SPSF,"34633",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,NA,R.Cielo-Filho,R.Cielo-Filho & N.M.Ivanauskas & D.de Souza,"402",América do Sul,Brasil,SP,NA,"COLETA: XLS: SPSFNovo; Árvore de 4m. Fruto imaturo verde.; GEOGRAFIA: Trilha do Rio Camburi&nf;UTM: X=323131 Y=7344746;",NA,NA,"2005","03","15",Itanhaém,"Parque Estadual da Serra do Mar, Núcleo Curucutu",-46.7799987792969,-24.1800003051758,"799","799","2005","04","12",NA,NA,"26998",auto,Magnoliopsida,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.5299987792969,-23.6599998474121,"351",2021-03-04 15:43:42-03,IF,SPSF,"32431",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,NA,NA,F.A.R.D.P.Arzolla & F.E.S.P.Vilela,"319",América do Sul,Brasil,SP,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"2003","10","06",Santo André,margem da represa Bilings,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,"27258",auto,Magnoliopsida,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.316667,-23.783333,"361",2019-11-21 10:02:21-03,IBt,SP,"188647",S,Plantae,NA,NA,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,"Sugiyama, M","Custodio Filho, A; Carra, M","1115",NA,Brasil,São Paulo,NA,"Arbusto 4m alt., fruto",NA,NA,"1982","12","07",Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.316667,-23.783333,"750","900","1982","10","20","-46.316667","-23.783333",NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.4199981689453,-23.8899993896484,"364",2020-04-15 17:19:33-03,IBt,SP,"249147",S,Plantae,NA,NA,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,NA,"Guerra, TP",s.n.,NA,Brasil,São Paulo,NA,NA,NA,NA,"1985","09","25",Cubatão,Serra do Mogi,-46.4199981689453,-23.8899993896484,NA,NA,NA,NA,NA,NA,NA,"15123",auto,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.5299987792969,-23.6599998474121,"366",2019-11-21 10:02:21-03,IBt,SP,"178688",S,Plantae,NA,NA,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,"Sugiyama, M","Rosa, NA; Murça Pires, J","3931",NA,Brasil,São Paulo,NA,"Árvore de 4m alt., 30cm de circ., fruto imaturo verde",NA,NA,"1980","11","26",Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,"1985","10","30",NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"367",2019-11-21 10:02:21-03,IBt,SP,"205190",S,Plantae,NA,NA,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,"Kirizawa, M","Kirizawa, M; Lopes, EA","1558",NA,Brasil,São Paulo,NA,"Picada dois, vindo da nove, arvoreta de +-3,0m de alt.",NA,NA,"1985","11","05",Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,"1986","05","13",NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"368",2019-11-21 10:02:21-03,IBt,SP,"7979",S,Plantae,NA,NA,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,NA,"Gehrt, A",s.n.,NA,Brasil,São Paulo,NA,NA,NA,NA,"1922","09","27",Santo André,E.B. do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.560001373291,-23.6900005340576,"369",2020-06-04 11:02:54-03,IBt,SP,"271237",S,Plantae,NA,NA,Boraginaceae,Cordia,trichoclada,Cordia trichoclada,DC.,NA,"Godoi, JV","649",NA,Brasil,São Paulo,NA,NA,NA,NA,"1990","10","24",São Bernardo do Campo,Parque Caminhos do Mar,-46.560001373291,-23.6900005340576,NA,NA,NA,NA,NA,NA,NA,"31119",auto,NA,NA,NA,NA,NA,NA,SÃO BERNARDO DO CAMPO,"3548708"
