X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,occurrenceRemarks,geoFlag,phylum,order,continentOcean,preparationType,class,relatedCatalogItem,individualCount,fieldNumber,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"20",2016-09-29 09:52:00-03,NY,NYBG,"590641",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,NA,B. A. Krukoff,W. A. Ducke,"2330","1953","12","22",Brazil,São Paulo,São Paulo,Serra da Cantareira,-46.63,-23.5403,NA,NA,NA,NA,NY00590641,NY00590641_01,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258713' target='other'> <mi>dwc_moreinfo</mi></a>,NA,Magnoliophyta,Gentianales,South America,sheet,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"67",2020-11-04 11:12:18-03,ESALQ,ESA,"3689",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,Duke,"Coelho, J.P.",NA,"1947","12","23",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,ESA003689,ESA003689,NA,NA,NA,"53584",NA,auto,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"210",2019-11-13 11:23:45-03,USP,SPF,"49595",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,Anônimo,"Coelho, JP",s.n.,"1947","12","23",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,SPF00049595,NA,NA,NA,NA,"53584",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"211",2019-11-13 11:23:45-03,USP,SPF,"83458",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,"Hoehne, FC","Hoehne, FC",s.n.,"1931","10","15",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,SPF00083458,NA,NA,NA,NA,"53584",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.001944,-24.3425,"248",2021-03-04 15:43:35-03,IF,SPSF,"45873",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,((Mart.)) (Vell.),C Moura,B.G.C.Lins & C.Moura,"406","2012","08","15",Brasil,SP,Itanhaém,Estação Ecológica de Juréia-Itatins,-47.001944,-24.3425,NA,NA,NA,NA,NA,NA,"2012","08","17",NA,"COLETA: Planta rupicola.&nf;Fruto drupa globosa, imaturos verdes e maduros alaranjados.; GEOGRAFIA: Afloramento rochoso, Beira da Estrada do Guaraú.&nf;Floresta Ombrófila densa, Submontana.;",NA,Magnoliophyta,Gentianales,América do Sul,NA,Magnoliopsida,NA,NA,NA,PERUÍBE,"3537602"
-47.9199981689453,-24.3799991607666,"249",2021-03-04 15:43:35-03,IF,SPSF,"15488",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,NA,NA,M. Kirizawa & M.Sugiyama,"2702","1992","09","22",Brasil,SP,Sete Barras,Parque Estadual Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34059","COLETA: XLS: SPSFAntigo;",auto,Magnoliophyta,Gentianales,América do Sul,NA,Magnoliopsida,NA,NA,NA,SETE BARRAS,"3551801"
-46.6300010681152,-23.5400009155273,"250",2021-03-04 15:43:35-03,IF,SPSF,"03166",PreservedSpecimen,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,NA,NA,J.P.Coelho,NA,"1947","12","23",Brasil,SP,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","COLETA: XLS: SPSFAntigo;",auto,Magnoliophyta,Gentianales,América do Sul,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
-46.1883010864258,-23.5228004455566,"272",2020-10-15 10:09:13-03,IBt,SP,"340678",S,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,NA,"Nicolau, SA","1410","1997","02","10",Brasil,São Paulo,Mogi das Cruzes,NA,-46.1883010864258,-23.5228004455566,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28666",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.9900016784668,-24.3199996948242,"273",2019-11-21 10:07:42-03,IBt,SP,272578a,Carpo,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,"Zappi, DC","Melo, MMRF; et al.","1103","1994","06","24",Brasil,São Paulo,Peruíbe,"Estação Ecológica Juréia-Itatins, Guarauzinho, trilha dos Caçadores, mata pluvial tropical de encosta",-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,"2002","07",NA,"21922","Liana, frutos imaturos verdes, casca da raiz usada para malária e dor de cabeça",auto,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.9900016784668,-24.3199996948242,"274",2019-11-21 10:07:42-03,IBt,SP,"272578",S,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,"Zappi, DC","Melo, MMRF; et al.","1103","1994","06","24",Brasil,São Paulo,Peruíbe,"Estação Ecológica Juréia-Itatins, Guarauzinho, trilha dos Caçadores, mata pluvial tropical de encosta",-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,"2002","07",NA,"21922","Liana, frutos imaturos verdes, casca da raiz usada para malária e dor de cabeça",auto,NA,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-45.8800010681152,-23.3899993896484,"275",2019-11-21 10:07:42-03,IBt,SP,"13169",S,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,"Krukoff, BA","Loefgren, A",CGG5795,"1901","10","17",Brasil,São Paulo,Santa Branca,NA,-45.8800010681152,-23.3899993896484,NA,NA,NA,NA,SP006653,SP006653,"1978",NA,NA,"14390",Scandens in silva segunda.,auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTA BRANCA,"3546009"
-46.5299987792969,-23.6599998474121,"276",2021-01-21 15:29:18-03,IBt,SP,"488724",S,Plantae,Loganiaceae,Strychnos,trinervis,Strychnos trinervis,(Vell.) Mart.,NA,"Simão Bianchini, R","1845","2011","02","17",Brasil,São Paulo,Santo André,NA,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
