X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,identifiedBy,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,yearIdentified,monthIdentified,dayIdentified,recordNumber,locality,typeStatus,continentOcean,preparationType,previousCatalogNumber,phylum,order,coordinatePrecision,geoFlag,class,relationshipType,relatedCatalogItem,individualCount,fieldNumber,sex,infraspecificEpithet,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"30",2021-03-15 16:37:00-03,NY,NYBG,"498540",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch ex Endl.,F. C. Hoehne,"1920","11","19",Brazil,São Paulo,Sao Paulo,-46.63,-23.5403,NA,NA,NY00498540,NY00498540_01,F. C. Hoehne,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742478' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,"4628",Ypiranga,NA,South America,sheet,NA,Pinophyta,Podocarpales,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.25,-23.75,"53",2021-02-08 11:09:54-03,UNESP-IBB,BOTU,"17295",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch ex Endl.,"Carmello, S.M.","1987","11","06",Brasil,São Paulo,Campos do Jordão,-46.25,-23.75,46°15'w,23°45's,BOTU017295,NA,"Paschoal, M.E.S.",NA,NA,"árvore de 5-6m; feminina","2014","11","05","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.25,-23.75,"54",2021-02-08 11:09:54-03,UNESP-IBB,BOTU,"17294",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch ex Endl.,"Carmello, S.M.","1987","11","06",Brasil,São Paulo,Campos do Jordão,-46.25,-23.75,46°15'w,23°45's,BOTU017294,NA,"Paschoal, M.E.S.",NA,NA,"árvore de 5-6m; masculina","2014","11","05","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.6300010681152,-23.5400009155273,"563",2019-12-17 13:53:24-03,UFLA,ESAL,"980",S,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch ex Endl.,Moyses Kuhlman,NA,NA,NA,Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,Comp. M. Kuhlman,NA,NA,"; ; ;",NA,NA,NA,"31.628",NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5299987792969,-23.6599998474121,"590",2013-05-21 10:23:34-03,CPQBA,CPMA,"1992",S,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,(Klotzsh ex Eichler),"Benício, Marcos, Ílio","2006","02","16",Brasil,São Paulo,SANTO ANDRÉ,-46.5299987792969,-23.6599998474121,46º 18' 16,23º 46' 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paranapiacaba,NA,NA,Projeto Biota,NA,NA,NA,"27258",auto,NA,NA,NA,NA,CPQBA 1347,NA,NA,SANTO ANDRÉ,"3547809"
-46.6300010681152,-23.5400009155273,"710",2021-03-15 18:29:29-03,USP,SPF,"15590",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch ex Endl.,"Hoehne, W","1955","09","24",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,SPF00015590,NA,"Hoehne, W",NA,NA,Árvore cultivada no Horto.,"1995","11","07","4117",NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"910",2019-10-16 14:10:53-03,UEL,FUEL,"43742",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch,"Cunha, MA","1952","04","02",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,FUEL003517,NA,Pickel,NA,NA,NA,NA,NA,NA,s.n.,"Parque Estadual, Palacio de Verão",NA,NA,NA,NA,Tracheophyta,Araucariales,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"934",2021-03-04 15:41:53-03,IF,SPSF,"04252",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,NA,M.A. Cunha,"1952","04","02",Brasil,SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,Horto Florestal,NA,América do Sul,NA,NA,Coniferophyta,Pinales,"53584",auto,Pinopsida,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"935",2021-03-04 15:41:53-03,IF,SPSF,"12357",PreservedSpecimen,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,NA,M.A. Cunha,"1952","04","02",Brasil,SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,Horto Florestal,NA,América do Sul,NA,NA,Coniferophyta,Pinales,"53584",auto,Pinopsida,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"1085",2021-02-18 08:31:30-03,IBt,SP,"4628",S,Plantae,Podocarpaceae,Podocarpus,lambertii,Podocarpus lambertii,Klotzsch ex Endl.,"Luederwaldt, H","1920","11","19",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
