X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,typeStatus,class,relatedCatalogItem,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"30",2021-03-30 12:47:22-03,EAO,IAN,"37167",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Andrade, N de","72",NA,NA,NA,Southern America,Brasil,NA,NA,NA,IAN037167,Dicotiledônea,NA,Engl.,"Schneider, JV",São Paulo,São Paulo,Alto da Serra.,-46.6300010681152,-23.5400009155273,NA,NA,IAN037167 IAN037167_e,"2000",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"31",2021-03-30 12:47:22-03,EAO,IAN,"50658",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Handro, O",s.n.,"1938","10","24",Southern America,Brasil,NA,NA,Árvore com flores amareladas e aromáticas.,IAN050658,Dicotiledônea,NA,Engl.,"Rocha, AES",São Paulo,São Paulo,Alto da Serra.,-46.6300010681152,-23.5400009155273,NA,NA,NA,"2017","11","24",NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.55755,-24.16651,"50",2020-11-04 11:17:56-03,ESALQ,ESA,"128675",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Flores, T.B.","1836.0","2013","03","28",NA,Brasil,NA,NA,NA,ESA128675,Magnoliophyta,NA,NA,NA,São Paulo,Tapirai,"Trilha da casa da pedra, UHE do Juquiá, Serraria, Floresta Ombrófila Densa.",-47.55755,-24.16651,NA,NA,ESA128675_1 ESA128675_2,NA,NA,NA,"-47.55755","-24.16651",NA,NA,NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-47.9199981689453,-24.3799991607666,"52",2020-11-04 11:17:56-03,ESALQ,ESA,"109864",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30243.0",NA,NA,NA,NA,Brasil,NA,NA,NA,ESA109864,Magnoliophyta,NA,NA,NA,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,ESA109864,NA,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"53",2020-11-04 11:17:56-03,ESALQ,ESA,"109619",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29241.0",NA,NA,NA,NA,Brasil,NA,NA,NA,ESA109619,Magnoliophyta,NA,NA,NA,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,ESA109619,NA,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-45.945278,-23.330333,"60",2021-03-01 16:38:42-03,UNICAMP,UEC,"160418",S,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","474","2011","01","25",NA,Brazil,NA,NA,"Material vegetativo. Cerca de 11 m de altura e 1 indivíduo distribuído em 1 ha.; Floresta Ombrófila Densa Montana.",UEC009944,Magnoliopsida,NA,Engl.,"Marchiori, NM",São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.945278,-23.330333,"999","999",UEC009944,"2011","05",NA,"-45.945278","-23.330333",NA,NA,NA,NA,NA,NA,NA,JACAREÍ,"3524402"
-45.183333,-23.4,"61",2021-03-01 16:38:42-03,UNICAMP,UEC,"200144",S,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Padgurschi, MCG; Belinello, R",M589,"2009",NA,NA,NA,Brazil,NA,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 8.5 metros de altura. Frequência da espécie na parcela: n=6,UEC177652,Magnoliopsida,NA,Engl.,NA,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"990","1045",UEC177652,NA,NA,NA,"-45.183333","-23.4",NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.5299987792969,-23.6599998474121,"63",2019-08-20 10:23:42-03,UNICAMP,UEC,"87303",S,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"Kirizawa, M; Lopes, EA","3303","1996","10","15",NA,Brazil,NA,NA,NA,UEC021391,Magnoliopsida,NA,Engl.,"Kirizawa, M",São Paulo,Santo André,NA,-46.5299987792969,-23.6599998474121,NA,NA,UEC021391,"1996","10","21",NA,NA,"27258",auto,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.5299987792969,-23.6599998474121,"132",2020-09-12 05:00:02-03,US,US,"2891913",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,"J. R. de Mattos, A. F. Mattos & C. Moura","12770",NA,NA,NA,South America - Neotropics,Brazil,NA,NA,NA,US01880088,NA,Theales,Engl.,NA,São Paulo,Santo André,"(via férrea São Paulo-Santos), Estação Biológica",-46.5299987792969,-23.6599998474121,NA,NA,US01880088_01 US01880088_02,NA,NA,NA,NA,NA,"27258",auto,NA,Dicotyledonae,NA,NA,"1",SANTO ANDRÉ,"3547809"
-47.9199981689453,-24.3799991607666,"193",2021-03-04 15:44:47-03,IF,SPSF,"33640",PreservedSpecimen,Plantae,Quiinaceae,Quiina,glaziovii,Quiina glaziovii,R.F.Lorza & D.Souza,NA,"2004","10","28",América do Sul,Brasil,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: gleba 6&nf;;",NA,Magnoliophyta,Malpighiales,NA,NA,SP,Sete Barras,bairro Rio Preto,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,NA,NA,NA,NA,"34059",auto,NA,Magnoliopsida,NA,NA,NA,SETE BARRAS,"3551801"
-46.5299987792969,-23.6599998474121,"203",2020-08-13 18:02:46-03,IBt,SP,"300328",S,Plantae,Ochnaceae,Quiina,glaziovii,Quiina glaziovii,"Kirizawa, M","3303","1996","10","15",NA,Brasil,NA,NA,NA,NA,NA,NA,Engl.,NA,São Paulo,Santo André,NA,-46.5299987792969,-23.6599998474121,NA,NA,NA,NA,NA,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
