X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,monthIdentified,coordinatePrecision,geoFlag,fieldNumber,class,relatedCatalogItem,dayIdentified,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.511111,-22.8375,"3",2021-03-01 16:42:49-03,UNICAMP,UEC,"155761",S,Plantae,Magnoliopsida,NA,Vitaceae,Cissus,serroniana,Cissus serroniana,(Glaz.) Lombardi,"Lombardi, JA","Santos, LB; Almeida, OJG","472","2009","11","17",NA,Brazil,São Paulo,Botucatu,"Parque Ecológico da Pavuna, Da sede até a trilha a direita até cachoeira e volta por trilha em barranco rochoso.",-46.511111,-22.8375,NA,"Trepadeira, folíolos cartáceos, concentradas na porção distal do ramo, inflorescência na porção proximal, botões e cálice avermelhados, disco amarelo, estigma creme.; Mata Atlântica, floresta estacional semidecídua.",UEC052972,UEC052972,"2010","-46.511111","-22.8375","750","750","11",NA,NA,NA,NA,NA,NA,NA,BRAGANÇA PAULISTA,"3507605"
-46.935778,-23.230444,"29",2020-07-15 14:43:50-03,UNESP-RC,HRCB,"49392",PreservedSpecimen,Plantae,NA,NA,Vitaceae,Cissus,serroniana,Cissus serroniana,(Glaz.) Lombardi,NA,Lombardi,"7295","2008","02","20",NA,Brasil,São Paulo,Jundiaí,NA,-46.935778,-23.230444,NA,"Liana carnosa, sub-bosque, folíolos herbáceos, estéril",NA,NA,NA,46º56'08.8W,"23º13'49,6S","850","850",NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.622972,-23.643833,"37",2014-04-04 18:28:53-03,PNFM,IRAI,"6873",S,Plantae,Magnoliophyta,NA,Vitaceae,Cissus,serroniana,Cissus serroniana,(Glaz.) Lombardi,"Villagra, B.L.P.","Villagra, B.L.P.","145","2006","12","12",NA,Brasil,São Paulo,São Paulo,"Parque Estadual das Fontes do Ipiranga, rampa de acesso ao Instituto de Botânica",-46.622972,-23.643833,NA,"Planta trepadeira preênsil, flores com cálice vermelho, interior da corola amarela, estames amarelos",IRAI00006873,NA,NA,"-46.622972","-23.643833","790","790",NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
