X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,day,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,class,relatedCatalogItem,fieldNumber,individualCount,dayIdentified,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"7",2021-03-15 16:37:00-03,NY,NYBG,"556781",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,A. Gehrt,s.n.,"1939","12",South America,Brazil,São Paulo,Sao Paulo,"Pirajussara, Capital",-46.63,-23.5403,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498871' target='other'> <mi>dwc_moreinfo</mi></a>,NY00556781,NY00556781_01,T. G. Yuncker,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"9",2021-03-15 16:37:00-03,NY,NYBG,"556777",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,O. Handro,"2178","1971","11",South America,Brazil,São Paulo,Sao Paulo,"Agua Funda, nativa no Jardim Botanico",-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498862' target='other'> <mi>dwc_moreinfo</mi></a>,NY00556777,NY00556777_01,O. Handro,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.698324,-23.591462,"23",2021-03-15 16:37:00-03,NY,NYBG,"556780",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,W. Hoehne,s.n.,"1940","11",South America,Brazil,São Paulo,Sao Paulo,"Cidade Jardim, Capital",-46.698324,-23.591462,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=498870' target='other'> <mi>dwc_moreinfo</mi></a>,NY00556780,NY00556780_01,T. G. Yuncker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"43",2020-11-04 12:18:12-03,ESALQ,ESA,"104828",PreservedSpecimen,Plantae,Magnoliophyta,NA,Piperaceae,Piper,lanceolatum,Piper lanceolatum,NA,"Souza, F.M.","163.0","2007","08",NA,Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,ESA104828,ESA104828,"Colletta, G.D.","06",NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.31605,-24.02021,"44",2020-11-04 12:18:12-03,ESALQ,ESA,"128596",PreservedSpecimen,Plantae,Magnoliophyta,NA,Piperaceae,Piper,lanceolatum,Piper lanceolatum,NA,"Delfini, C.","810.0","2013","03",NA,Brasil,São Paulo,Tapiraí,"Reserva Particular da Votorantim (CBA). UHE da Barra, trilha da caixa d'água para vila de moradores. Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).",-47.31605,-24.02021,NA,"Arbusto, ca. 1,5m alt., espigas verdes.",ESA128596,ESA128596,"Colletta, G.D.","26","480","480","-47.31605","-24.02021","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-47.316111,-24.020278,"55",2020-12-21 16:39:44-03,MBM,MBM,"391143",PreservedSpecimen,Plantae,NA,NA,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,"Delfini, C.; Rigon, J.; Diaz, D.C.; Oliveira, D.B.; Rodrigues, R.R.; Souza, V.C.; Rigon, J.; Diaz, D.C.; Oliveira, D.B.; Rodrigues, R.R.; Souza, V.C.","810","2013","03",Southern America,Brazil,São Paulo,Tapiraí,"Reserva Natural de Votorantim (CBA), UHE Barra Trilha da Vila dos Moradores em direção à caixa d-água (aprox. 2Km)",-47.316111,-24.020278,NA,"Arbusto, ca. 1,5m alt., espigas verdes.; Floresta Ombrófila Densa com perturbação antrópica (presença de exóticas como nêspera, Citrus, araucária).",MBM391143,MBM391143,"Colleta, G.D.","26","480","480","-47.316111","-24.020278","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,MIRACATU,"3529906"
-46.6300010681152,-23.5400009155273,"186",2020-09-12 05:00:02-03,US,US,"2646922",PreservedSpecimen,Plantae,NA,Piperales,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,O. Handro,"2178","1971","11",South America - Neotropics,Brazil,São Paulo,São Paulo,"Agua Funda, nativa no Jardim Botânico",-46.6300010681152,-23.5400009155273,NA,NA,US01330725,US01330725_01,NA,"4",NA,NA,NA,NA,NA,NA,"53584",auto,Dicotyledonae,NA,NA,"1",NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"187",2020-09-12 05:00:02-03,US,US,"2857627",PreservedSpecimen,Plantae,NA,Piperales,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,A. Gehrt,s.n.,"1939","12",South America - Neotropics,Brazil,São Paulo,São Paulo,Pirajussára.,-46.6300010681152,-23.5400009155273,NA,NA,US01330726,US01330726_01,NA,"17",NA,NA,NA,NA,NA,NA,"53584",auto,Dicotyledonae,NA,NA,"1",NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"192",2019-11-13 11:28:26-03,USP,SPF,"15621",PreservedSpecimen,Plantae,NA,NA,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,"Hoehne, W",s.n.,"1941","12",NA,Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,SPF00015621,SPF00015621,"Callejas, R","02",NA,NA,NA,NA,"1984","01","53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"193",2019-11-13 11:28:26-03,USP,SPF,"61571",PreservedSpecimen,Plantae,NA,NA,Piperaceae,Piper,lanceolatum,Piper lanceolatum,Ruiz & Pav.,"Handro, O","2178","1971","11",NA,Brasil,São Paulo,São Paulo,"Água Funda, nativa no Jardim Botânico.",-46.6300010681152,-23.5400009155273,NA,NA,SPF00061571,SPF00061571,"Handro, O","04",NA,NA,NA,NA,"1971","11","53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
