X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,dayIdentified,coordinatePrecision,geoFlag,typeStatus,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"7",2021-03-01 16:33:32-03,UNICAMP,UEC,"65684",S,Plantae,Magnoliopsida,NA,Malvaceae,Abutilon,latipetalum,Abutilon latipetalum,G.L.Esteves & Krapov.,"Sazima, M","31790","1994","08","04",NA,Brazil,São Paulo,São Paulo,Estrada de rodagemTaubaté.,-46.6300010681152,-23.5400009155273,NA,Flores branca a púrpura. Arbórea.,UEC118710,UEC118710,"Takeuchi, C","2013","09",NA,NA,NA,NA,NA,"53584",auto,NA,SÃO PAULO,"3550308"
-46.206833,-23.498472,"11",2014-04-04 18:27:45-03,PNFM,IRAI,"8147",Carpo,Plantae,Magnoliophyta,NA,Malvaceae,Abutilon,latipetalum,Abutilon latipetalum,G.L.Esteves & Krapov.,"Villagra, B.L.P.","415","2012","09","10",NA,Brasil,São Paulo,Mogi das Cruzes,"Empresa EMBU, Pedreira",-46.206833,-23.498472,NA,"Árvore, 15 m, frutos castanhos, flor rosa. Carpoteca",IRAI00008147,NA,"Villagra, B.L.P.","2012","01","-46.206833","-23.498472","888","888","01",NA,NA,NA,MOGI DAS CRUZES,"3530607"
