X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,county,minimumElevationInMeters,maximumElevationInMeters,identifiedBy,coordinatePrecision,geoFlag,typeStatus,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,NM_MUNICIP,CD_GEOCMU
-46.618358,-23.646109,"1",2021-03-15 16:37:00-03,NY,NYBG,"02728935",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,F. C. Hoehne,"28305","1931","09","30",South America,Brazil,São Paulo,"Jardim Botanico, Sao Paulo",-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020887' target='other'> <mi>dwc_moreinfo</mi></a>,NY02728935,NY02728935_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"5",2021-03-15 16:37:00-03,NY,NYBG,"02728936",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,F. C. Hoehne,"28305","1931","09","30",South America,Brazil,São Paulo,"Jardim Botanico, Sao Paulo",-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020889' target='other'> <mi>dwc_moreinfo</mi></a>,NY02728936,NY02728936_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.3,-23.75,"10",2021-03-15 16:37:00-03,NY,NYBG,"02728938",PreservedSpecimen,Plantae,Magnoliophyta,Gentianales,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,N. A. Rosa,"3974","1980","11","27",South America,Brazil,São Paulo,Reserva Biológica do alto da serra Paranapiacaba,-46.3,-23.75,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3020892' target='other'> <mi>dwc_moreinfo</mi></a>,NY02728938,NY02728938_01,San André,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.7200012207031,-23.3199996948242,"29",2020-01-20 14:40:50-03,UPM,MACK,"2994",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,G. A. Vergara,"5","2015","10","04",NA,Brasil,SP,Parque Estadual do Juquery,-46.7200012207031,-23.3199996948242,NA,NA,NA,NA,Franco da Rocha,NA,NA,J. A. C. Curado,"12135",auto,NA,NA,NA,"2017",NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.6300010681152,-23.5400009155273,"30",2020-01-20 14:40:50-03,UPM,MACK,"662",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,J. P. Coelho,s/n,"1946","10","02",NA,Brasil,SP,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,São Paulo,NA,NA,Pickel,"53584",auto,NA,NA,NA,"1955","03",NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.9199981689453,-24.3799991607666,"36",2020-11-04 11:18:34-03,ESALQ,ESA,"109915",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29388.0",NA,NA,NA,NA,Brasil,São Paulo,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,ESA109915,ESA109915,Sete Barras,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.50978,-24.10233,"38",2020-11-04 11:18:34-03,ESALQ,ESA,"128630",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,NA,"Bettinardi, M.L.","20.0","2013","04","01",NA,Brasil,São Paulo,"Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Alecrim trilha da Chaminé",-47.50978,-24.10233,NA,Frutos amarelos e verdes,ESA128630,NA,Tapiraí,"254","254",F. G. Florido,NA,NA,NA,"-47.50978","-24.10233","2013","04","28",NA,NA,NA,JUQUIÁ,"3526100"
-47.9199981689453,-24.3799991607666,"41",2020-11-04 11:18:34-03,ESALQ,ESA,"97339",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Rocca, M.A.","116.0","2004","10","25",NA,Brasil,São Paulo,NA,-47.9199981689453,-24.3799991607666,NA,NA,ESA097339,ESA097339,Sete Barras,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"42",2020-11-04 11:18:34-03,ESALQ,ESA,"109633",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29248.0",NA,NA,NA,NA,Brasil,São Paulo,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,ESA109633,ESA109633,Sete Barras,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"43",2020-11-04 11:18:34-03,ESALQ,ESA,"109869",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30264.0",NA,NA,NA,NA,Brasil,São Paulo,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,ESA109869,ESA109869,Sete Barras,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.733333,-23.983333,"51",2021-03-01 16:39:48-03,UNICAMP,UEC,"121678",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Meireles, LD; Gonçalves, APS; Soares Júnior, FJ; Meneghetti, GIP; et al.","99","2001","04","11",NA,Brazil,São Paulo,"Parque Estadual da Sera do Mar, Núcleo Curucutu. Trilha do campo.",-46.733333,-23.983333,NA,"Árvore, 10 m alt. Frutos verdes. Interior de mata.; Floresta ribeirinha altomontana com campo adjacente.",UEC038121,UEC038121,São Paulo,"800","800","Macias, L",NA,NA,NA,"-46.733333","-23.983333","2004","03",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.733333,-23.983333,"52",2021-03-01 16:39:48-03,UNICAMP,UEC,"125699",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Meireles, LD; Gonçalves, APS; Soares Júnior, FJ; Meneghetti, GIP; et al.","99","2001","04","11",NA,Brazil,São Paulo,"Parque Estadual da Sera do Mar, Núcleo Curucutu. Trilha do campo.",-46.733333,-23.983333,NA,"Árvore, 10 m alt. Frutos verdes. Interior de mata.; Floresta ribeirinha altomontana com campo adjacente.",UEC087565,UEC087565,São Paulo,"800","800","Macias, L",NA,NA,NA,"-46.733333","-23.983333","2004","03",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.691667,-23.851667,"53",2021-03-01 16:39:48-03,UNICAMP,UEC,"134425",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Garcia, RJF; et al.","873","1996","05","15",NA,Brazil,São Paulo,"palheiros, mata ao redor da represa billings",-46.691667,-23.851667,NA,"árvore 10m, frutos verdes",UEC110681,UEC110681,São Paulo,NA,NA,NA,NA,NA,NA,"-46.691667","-23.851667",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.954444,-22.910833,"54",2021-03-01 16:39:48-03,UNICAMP,UEC,"154881",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Soares Júnior, FJ","206","2002","06","19",NA,Brazil,São Paulo,"Serra dos Poncianos, Fazenda e Reserva Mandala.",-45.954444,-22.910833,NA,"Planta com frutos.; Formação florestal de encosta.",UEC069146,UEC069146,São José dos Campos,"1200","1200","Tamashiro, JY",NA,NA,NA,"-45.954444","-22.910833","2002","06",NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
-46.949167,-23.232222,"55",2021-03-01 16:39:48-03,UNICAMP,UEC,"198722",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Pires, TP; Silva, BG","94","2017","08","08",NA,Brazil,São Paulo,Serra do Japi,-46.949167,-23.232222,NA,"Indivíduo localizado na borda da trilha, solo com serapilheira, área árcialmente sombreada. Frutos verdes. Hábito arbóreo com aproximadamente 4m de altura.; Floresta Estacional Semidecidual",UEC154353,UEC154353 UEC154353_v01 UEC154353_v02 UEC154353_v03,Jundiaí,"1132","1132","Silva, BG",NA,NA,NA,"-46.949167","-23.232222","2017","09","22",NA,NA,NA,JUNDIAÍ,"3525904"
-47.5749,-23.419064,"59",2019-08-20 10:24:49-03,UNICAMP,UEC,"199780",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Silva, BG; Pires, TP","418","2018","02","15",NA,Brazil,São Paulo,"Serra do Japi, início da trilha do Marco Geodésico",-47.5749,-23.419064,NA,NA,UEC155133,UEC155133 UEC155133_v01 UEC155133_v02 UEC155133_v03 UEC155133_v04 UEC155133_v05 UEC155133_v06,Jundiaí,"1136","1136","Silva, BG",NA,NA,NA,"-47.5749","-23.419064","2018","03","28",NA,NA,NA,IPERÓ,"3521002"
-46.5800018310547,-23.3099994659424,"67",2021-03-01 16:39:48-03,UNICAMP,UEC,"130208",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Arzolla, FARDP","249","2001","03","31",NA,Brazil,São Paulo,"Parque Estadual da Cantareira, Região de Águas Claras.",-46.5800018310547,-23.3099994659424,NA,Árvore 8 m altura.,UEC047703,UEC047703,Mairiporã,NA,NA,"Macias, L","15840",auto,NA,NA,NA,"2004","03",NA,NA,NA,NA,MAIRIPORÃ,"3528502"
-46.5800018310547,-23.3099994659424,"68",2021-03-01 16:39:48-03,UNICAMP,UEC,"130072",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Arzolla, FARDP","249","2001","03","31",NA,Brazil,São Paulo,"Parque Estadual da Cantareira, Região de Águas Claras.",-46.5800018310547,-23.3099994659424,NA,Árvore 8 m altura.,UEC038117,UEC038117,Mairiporã,NA,NA,"Macias, L","15840",auto,NA,NA,NA,"2004","03",NA,NA,NA,NA,MAIRIPORÃ,"3528502"
-46.6300010681152,-23.5400009155273,"69",2021-03-01 16:39:48-03,UNICAMP,UEC,"162024",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Arzolla, FARDP; Paula, GCR; Leite, MO; Santos, JR","1156","2005","08","19",NA,Brazil,São Paulo,"Parque Estadual da Cantareira, Morro do Pavão.",-46.6300010681152,-23.5400009155273,NA,"Árvore, 8 metros, frutos de coloração laranja.; Floresta Ombrófila Densa Montana.",UEC009084,UEC009084,São Paulo,NA,NA,"Arzolla, FARDP","53584",auto,NA,NA,NA,"2007","12",NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.9199981689453,-24.3799991607666,"70",2021-03-01 16:39:48-03,UNICAMP,UEC,"163413",S,Plantae,Magnoliopsida,NA,Rubiaceae,Posoqueria,acutifolia,Posoqueria acutifolia,Mart.,"Galetti, M; et al.","958","1994","11","24",NA,Brazil,São Paulo,"Fazenda Intervales. Base Saibadela, trilha amarela.",-47.9199981689453,-24.3799991607666,NA,"Árvore, 7 m de altura, flores tubulares brancas com odor.",UEC038123,UEC038123,Sete Barras,NA,NA,"Macias, L","34059",auto,NA,NA,NA,"2004","03",NA,NA,NA,NA,SETE BARRAS,"3551801"
