X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,class,typeStatus,fieldNumber,individualCount,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"9",2021-03-15 16:37:00-03,NY,NYBG,"805287",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Lessingianthus,zuccarinianus,Lessingianthus zuccarinianus,(Mart. ex DC.) H.Rob.,S. Panizza,s.n.,"1973","04","04",South America,Brazil,São Paulo,Sao Paulo,Via Anhanguera km 257,-46.63,-23.5403,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799905' target='other'> <mi>dwc_moreinfo</mi></a>,NY00805287,NY00805287_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7200012207031,-23.3199996948242,"20",2020-01-20 14:40:18-03,UPM,MACK,"3069",PreservedSpecimen,Plantae,NA,NA,Asteraceae,Lessingianthus,zuccarinianus,Lessingianthus zuccarinianus,(Mart. ex DC.) H.Rob.,L. O. Andrade,"28","2016","10","08",NA,Brasil,SP,Franco da Rocha,Parque Estadual do Juquery,-46.7200012207031,-23.3199996948242,NA,NA,NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,"12135",auto,NA,NA,NA,NA,NA,FRANCO DA ROCHA,"3516408"
-46.6300010681152,-23.5400009155273,"46",2020-02-10 17:51:15-03,UNICAMP,UEC,"88784",S,Plantae,Magnoliopsida,NA,Asteraceae,Vernonia,zuccariniana,Vernonia zuccariniana,Mart. ex A.DC.,"Panizza, S",s.n.,"1973","04","04",NA,Brazil,São Paulo,São Paulo,"Via Anhanguera; Km 257.",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,UEC136565,UEC136565,"Garcia, RJF","1984",NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
