X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,decimalLongitude,decimalLatitude,imagecode,class,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,fieldNumber,individualCount,infraspecificEpithet,typeStatus,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-46.4000015258789,-24,"99",2019-11-21 10:15:46-03,IBt,SP,"9960",S,Plantae,NA,NA,Poaceae,Ichnanthus,lancifolius,Ichnanthus lancifolius,Mez,"Chase, A","Loefgren, A",CGG4069,"1898",NA,NA,NA,Brasil,São Paulo,Praia Grande,Boqueirão.,NA,NA,NA,NA,SP010046,-46.4000015258789,-24,SP010046,NA,NA,NA,NA,NA,NA,"22363",auto,NA,NA,NA,NA,NA,PRAIA GRANDE,"3541000"
-46.3300018310547,-23.9599990844727,"100",2019-11-21 10:15:46-03,IBt,SP,"118510",S,Plantae,NA,NA,Poaceae,Ichnanthus,lancifolius,Ichnanthus lancifolius,Mez,"Silva, TS","Sendulsky, T","1021","1969","07","22",NA,Brasil,São Paulo,Santos,Rodovia Pedro Taques.,NA,NA,NA,NA,SP033708,-46.3300018310547,-23.9599990844727,SP033708,NA,NA,NA,"1982","07",NA,"26836",auto,NA,NA,NA,NA,NA,SANTOS,"3548500"
