X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,typeStatus,locality,phylum,order,scientificNameAuthorship,stateProvince,minimumElevationInMeters,decimalLongitude,decimalLatitude,identifiedBy,county,maximumElevationInMeters,imagecode,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,fieldNumber,individualCount,infraspecificEpithet,sex,NM_MUNICIP,CD_GEOCMU
-46.44,-23.59,"265",2020-11-04 11:12:12-03,ESALQ,ESA,"76039",PreservedSpecimen,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Souza, J.P.","3568.0","2001","04","14",NA,Brasil,NA,NA,"Erva, flores amarelas. Foto.",ESA076039,NA,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Arredores da sede. Local alagado.",Magnoliophyta,NA,L.,São Paulo,"800",-46.44,-23.59,"Gonella, P.M.",São Paulo,"800",ESA076039,"2011","03","31",NA,NA,"-46.44","-23.59",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.922222,-24.230861,"401",2021-03-01 16:32:54-03,UNICAMP,UEC,"121778",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Meireles, LD; Gonçalves, APS; Soares Júnior, FJ; Meneghetti, GIP; Rodrigues, RR; Souza","238","2001","04","17",NA,Brazil,NA,NA,"Erva, flores amarelas. Borda&nf;; Floresta de restinga paludosa com predomínio de guanandi em alguns trechos.",UEC030891,NA,"Loteamento Maramba II, 6 km de Itanhaém",Magnoliopsida,NA,L.,São Paulo,NA,-46.922222,-24.230861,"Gonella, PM",Itanhaém,NA,NA,"2009","07","31",NA,NA,"-46.922222","-24.230861",NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-46.505,-24.016389,"558",2020-10-01 14:21:50-03,JBB,HEPH,"33978",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Maruyama, A; Cicco, L","810","2017","02","05",Southern America,Brasil,NA,NA,NA,NA,NA,"Vegetação da Planície Costeira, sentido Serra da Leoa, Km 99 da Rodovia 101",Dicotyledon,Lamiales,L.,São Paulo,NA,-46.505,-24.016389,"Maruyama, A",Praia Grande,NA,NA,"2017","02","05",NA,NA,"-46.505","-24.016389",NA,NA,NA,NA,NA,NA,PRAIA GRANDE,"3541000"
-46.16821,-23.45797,"1091",2019-11-13 11:23:37-03,USP,SPF,"152338",PreservedSpecimen,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Rivadavia, F","1175","1999","10","09",NA,Brasil,NA,NA,NA,SPF00152338,NA,NA,NA,NA,L.,São Paulo,"750",-46.16821,-23.45797,"Rivadavia, F",Ribeirão Pires,"750",SPF00152338,"1999",NA,NA,NA,NA,"-46.16821","-23.45797",NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.6300010681152,-23.5400009155273,"1306",2019-11-13 11:23:40-03,USP,SPF,"103719",PreservedSpecimen,Plantae,Lentibulariaceae,Utricularia,triloba,Utricularia triloba,"Rivadavia, F","345","1995","03","23",NA,Brasil,NA,NA,NA,SPF00103719,NA,Parelheiros,NA,NA,Benj.,São Paulo,NA,-46.6300010681152,-23.5400009155273,"Corrêa, MA",São Paulo,NA,SPF00103719,"1998","01",NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.1883,-23.5228,"1450",2013-02-07 10:18:45-02,UMC,HUMC,"4883",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Santana, C.A.O.","56",NA,NA,NA,Southern America,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,São Paulo,NA,-46.1883,-23.5228,NA,Mogi das Cruzes,NA,NA,NA,NA,NA,"28666",auto,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.1883,-23.5228,"1454",2013-02-07 10:18:45-02,UMC,HUMC,"3602",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,F.L.F. Widmer,"09","2005","03","05",Southern America,Brazil,NA,NA,"Caule herbáceo bem fino de coloração marrom, folhas verdes, pétalas amarelas, estames e gineceu branco, aproximadamente 10cm de altura.",NA,NA,"Mata Ciliar, C. Souza, prox. ao Café Sol Solo [umido, próximo ao rio. Ambiente aberto.",NA,NA,NA,São Paulo,NA,-46.1883,-23.5228,NA,Mogi das Cruzes,NA,NA,NA,NA,NA,"28666",auto,NA,NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.505,-24.016389,"1524",2021-03-04 15:46:38-03,IF,SPSF,"51968",PreservedSpecimen,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,A. Maruyama e L. Cicco,"810","2017","02","05",América do Sul,Brasil,NA,NA,"COLETA: Erva, 10 cm, flores amarelas; GEOGRAFIA: Planície costeira, restinga arbustiva inundável, sentido Serra Leoa;",NA,NA,Km 99 da Rodovia 101,Magnoliophyta,Scrophulariales,(L.),SC,"12",-46.505,-24.016389,A. Maruyama,Praia Gande,"12",NA,"2017","02","05",NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,PRAIA GRANDE,"3541000"
-46.6300010681152,-23.5400009155273,"1525",2021-03-04 15:46:38-03,IF,SPSF,"31798",PreservedSpecimen,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,R.J.F. Garcia & G.M.P.Ferreira,"1498","1998","06","04",América do Sul,Brasil,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"P.E.Serra do Mar, Núcleo Curucutu",Magnoliophyta,Scrophulariales,NA,SP,NA,-46.6300010681152,-23.5400009155273,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.866667,-23.633333,"1553",2020-03-05 09:44:42-03,IBt,SP,"195857",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Custodio Filho, A","2154","1983","12","29",NA,Brasil,NA,NA,NA,NA,NA,Estação Biológica de Boracéia,NA,NA,L.,São Paulo,"890",-45.866667,-23.633333,"Corrêa, MA",Biritiba-Mirim,"950",NA,"1994","11","30",NA,NA,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
-45.866667,-23.633333,"1557",2020-03-05 09:44:42-03,IBt,SP,"203959",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Custodio Filho, A","2439","1984","05","11",NA,Brasil,NA,NA,NA,NA,NA,Estação Biológica de Boracéia,NA,NA,L.,São Paulo,"890",-45.866667,-23.633333,"Corrêa, MA",Biritiba-Mirim,"950",NA,"1995","10","17",NA,NA,"-45.866667","-23.633333",NA,NA,NA,NA,NA,NA,SALESÓPOLIS,"3545001"
-46.743333,-23.991111,"1561",2020-03-05 09:44:42-03,IBt,SP,"295923",S,Plantae,Lentibulariaceae,Utricularia,subulata,Utricularia subulata,"Garcia, RJF; et al.","787","1996","03","27",NA,Brasil,NA,NA,NA,NA,NA,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do campo",NA,NA,L.,São Paulo,NA,-46.743333,-23.991111,"Corrêa, MA",São Paulo,NA,NA,"1997","06","18",NA,NA,"-46.743333","-23.991111",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
