X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,typeStatus,relatedCatalogItem,previousCatalogNumber,NM_MUNICIP,CD_GEOCMU
-47.9199981689453,-24.3799991607666,"6",2021-03-15 16:37:00-03,NY,NYBG,"02425723",PreservedSpecimen,Plantae,Lycopodiophyta,Selaginellales,Selaginellaceae,Selaginella,valida,Selaginella valida,Alston,NA,S. Aragaki,"69","1993","05","12",South America,Brazil,São Paulo,Sete Barras,"Fazenda Intervales, Base Saibadela, trilha para Base do Quilombo",-47.9199981689453,-24.3799991607666,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711573' target='other'> <mi>dwc_moreinfo</mi></a>,NY02425723,NY02425723_01,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.6199989318848,-24.0799999237061,"10",2021-04-05 09:58:48-03,UNESP-IBILCE,SJRP-PTERIDOPHYTA,"20164",S,Plantae,Tracheophyta,Selaginellales,Selaginellaceae,Selaginella,valida,Selaginella valida,Alston,"Athayde, F.P.F.","Athayde, F.P.F.","231","1997","08","02",América do Sul,Brasil,São Paulo,Mongaguá,cachoeira da região,-46.6199989318848,-24.0799999237061,NA,NA,NA,"GEOGRAFIA: planta muito comum, no solo, interior da mata e próximo à corredeira;",NA,NA,"12311",auto,NA,NA,NA,Lycopodiopsida,NA,NA,NA,NA,NA,NA,NA,MONGAGUÁ,"3531100"
-46.6199989318848,-24.0799999237061,"11",2021-04-08 20:48:28-03,UNESP-IBILCE,SJRP-PTERIDOPHYTA,"14200",S,Plantae,Tracheophyta,Selaginellales,Selaginellaceae,Selaginella,valida,Selaginella valida,Alston,"Hirai, R.Y.","Athayde, F.P.F.","103","1997","02","10",América do Sul,Brasil,São Paulo,Mongaguá,na encosta do morro,-46.6199989318848,-24.0799999237061,NA,NA,NA,"GEOGRAFIA: terrestre, junto ao caule de uma grande árvore;",NA,NA,"12311",auto,NA,NA,NA,Lycopodiopsida,NA,NA,NA,NA,NA,NA,NA,MONGAGUÁ,"3531100"
-47.9199981689453,-24.3799991607666,"13",2020-11-04 11:19:45-03,ESALQ,ESA,"61866",PreservedSpecimen,Plantae,Magnoliophyta,NA,Selaginellaceae,Selaginella,valida,Selaginella valida,NA,"Hiroi, R.Y","Kozera, C. et al.","779.0","1999","01","12",NA,Brasil,São Paulo,Sete Barras,NA,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,ESA061866,NA,"34059",auto,"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"18",2020-06-29 09:32:31-03,UFRRJ,RBR,"12091",S,Plantae,NA,NA,Selaginellaceae,Selaginella,valida,Selaginella valida,Alston,A. Salino,"V.A.O. Dittrich; C. Allmen","823","2000","12","14",NA,Brasil,São Paulo,Sete Barras,"Parque Estadual Intervales, Base de Sabaidela.",-47.9199981689453,-24.3799991607666,"70","70",NA,NA,RBR00012091,NA,"34059",auto,"2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"25",2020-12-21 16:45:10-03,MBM,MBM,"320639",PreservedSpecimen,Plantae,NA,NA,Selaginellaceae,Selaginella,valida,Selaginella valida,Alston,"Prado, J.","Mello-Silva, R.; Campos, M.T.V.A.; Pardini, R.; Boulhosa, R.L.P.; Campos, M.T.V.A.; Pardini, R.; Boulhosa, R.L.P.","573","1992","08","06",Southern America,Brazil,São Paulo,Sete Barras,"Fazenda Intervales, Saibadela. Trilha nº2 ou Trilha do Araçá",-47.9199981689453,-24.3799991607666,NA,NA,NA,"Frondes verdes, brilhantes.; No solo da floresta.",MBM320639,MBM320639,"34059",auto,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"26",2020-12-21 16:45:10-03,MBM,MBM,"266317",PreservedSpecimen,Plantae,NA,NA,Selaginellaceae,Selaginella,valida,Selaginella valida,Alston,"Salino, A.; Dittrich, V.A. de","Salino, A.; et al.; et al.","823","2000","12","14",Southern America,Brazil,São Paulo,Sete Barras,Parque Estadual Intervales,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,MBM266317,MBM266317,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.3300018310547,-23.9599990844727,"27",2017-04-18 13:31:59-03,MNHN,RECOLNAT_MNHN_P,P01282278,PreservedSpecimen,NA,NA,NA,Pteridophyta,Selaginella,valida,Selaginella valida,Alston,NA,"Mosén, H.",NA,"1875","5","1",NA,Brasil,São Paulo,Santos,Brésil. Santos,-46.3300018310547,-23.9599990844727,NA,NA,hb,Reçu en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01282278' target='other'> <mi>dwc_moreinfo</mi></a>,P01282278,P01282278_01,"26836",auto,NA,NA,NA,NA,NA,NA,"2872",NA,NA,NA,NA,SANTOS,"3548500"
-46.3300018310547,-23.9599990844727,"28",2015-09-03 16:29:25-03,MNHN,RECOLNAT_MNHN_P,P01282276,PreservedSpecimen,NA,NA,NA,Pteridophyta,Selaginella,valida,Selaginella valida,Alston,NA,Mosén,NA,"1875","5","5",NA,Brasil,São Paulo,Santos,Prov. Sao Paulo : Santos,-46.3300018310547,-23.9599990844727,NA,NA,hb,"Prélèvement de feuille et spores pour Valdespino I., Panama, 11/2017, demande n° 102490 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01282276' target='other'> <mi>dwc_moreinfo</mi></a>",P01282276,P01282276_01,"26836",auto,NA,NA,NA,NA,NA,NA,"3812",NA,NA,NA,NA,SANTOS,"3548500"
-46.3300018310547,-23.9599990844727,"29",2015-09-03 16:29:25-03,MNHN,RECOLNAT_MNHN_P,P01282277,PreservedSpecimen,NA,NA,NA,Pteridophyta,Selaginella,valida,Selaginella valida,Alston,NA,Mosén,NA,"1875","5","5",NA,Brasil,São Paulo,Santos,Prov. S. Paulo,-46.3300018310547,-23.9599990844727,NA,NA,hb,Reçu le 7 aout 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01282277' target='other'> <mi>dwc_moreinfo</mi></a>,P01282277,P01282277_01,"26836",auto,NA,NA,NA,NA,NA,NA,"3812",NA,NA,NA,NA,SANTOS,"3548500"
