X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,class,dayIdentified,fieldNumber,typeStatus,individualCount,relatedCatalogItem,sex,NM_MUNICIP,CD_GEOCMU
-45.183333,-23.4,"65",2021-03-01 16:37:05-03,UNICAMP,UEC,"200462",S,Plantae,Magnoliopsida,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A.Schmidt) Lundell,"Tamashiro, JY","Pereira, LS; Belinello, R; Gomes, JAMA",N314,"2007","12",NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 3.5 metros de altura. Frequência da espécie na parcela: n=14; Mata Atlântica",UEC158121,UEC158121,NA,NA,"-45.183333","-23.4","990","1045","2008",NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.945278,-23.330333,"66",2021-03-01 16:37:05-03,UNICAMP,UEC,"160415",S,Plantae,Magnoliopsida,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(J.A.Schmidt) Lundell,"Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","221","2011","01","26",NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.945278,-23.330333,NA,"Material vegetativo. Cerca de 4 m de altura e 7 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.",UEC009945,UEC009945,NA,NA,"-45.945278","-23.330333","999","999","2011","05",NA,NA,NA,NA,NA,NA,NA,JACAREÍ,"3524402"
-46.4199981689453,-23.8899993896484,"212",2019-11-13 11:27:26-03,USP,SPF,"81476",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,"Furlan, A","Hoehne, FC","23855","1899","08","23",NA,Brasil,São Paulo,Cubatão,NA,-46.4199981689453,-23.8899993896484,NA,NA,SPF00081476,NA,"15123",auto,NA,NA,NA,NA,"1996",NA,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.4000015258789,-24,"213",2019-11-13 11:27:26-03,USP,SPF,"81475",PreservedSpecimen,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,"Furlan, A","Loefgren, A","4208","1898","11","10",NA,Brasil,São Paulo,Praia Grande,NA,-46.4000015258789,-24,NA,NA,SPF00081475,NA,"22363",auto,NA,NA,NA,NA,"1995",NA,NA,NA,NA,paratype,NA,NA,NA,PRAIA GRANDE,"3541000"
-46.9900016784668,-24.3199996948242,"247",2020-11-04 17:30:06-03,UEM,HUEM,"1876",S,Plantae,NA,NA,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,Rossetto & Farney,"Rodrigues, RR; Figueredo, N","15670","1982","09","11",NA,Brasil,São Paulo,Peruíbe,"Estação Ecológica de Juréia, Reserva",-46.9900016784668,-24.3199996948242,NA,"Árvore de 4 m de altura; flores pequenas; sépalas verdes",HUEM000009293,HUEM000009293,"21922",auto,NA,NA,NA,NA,"2018","04",NA,"12",NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-46.1883010864258,-23.5228004455566,"265",2020-11-12 16:58:46-03,UEL,FUEL,"23744",PreservedSpecimen,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,"Rossetto, EFS","Custódio Filho, A; et al.","450","1996","08","08",NA,Brasil,São Paulo,Mogi das Cruzes,Estação Ecológica de Itapety,-46.1883010864258,-23.5228004455566,NA,NA,FUEL002389,NA,"28666",auto,NA,NA,NA,NA,"2017","06",NA,NA,NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
-46.3899993896484,-23.9599990844727,"266",2020-11-12 16:58:46-03,UEL,FUEL,"32010",PreservedSpecimen,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,"Rossetto, EFS","Pastore, JA; et al.","1058","2001","07","06",NA,Brasil,São Paulo,São Vicente,"Parque Estadual Xixová-Japuí, Estrada de acesso à região de Paranapuã, em barranco",-46.3899993896484,-23.9599990844727,NA,NA,FUEL002390,NA,"25482",auto,NA,NA,NA,NA,"2016","05",NA,NA,NA,NA,NA,NA,NA,SÃO VICENTE,"3551009"
-47.9199981689453,-24.3799991607666,"267",2020-11-12 16:58:46-03,UEL,FUEL,"16544",PreservedSpecimen,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,"Rossetto, EFS","Galleti, M; et al.","503","1994","08","07",NA,Brasil,São Paulo,Sete Barras,"Parque Intervales, Base Saibadela, Trilha Azul",-47.9199981689453,-24.3799991607666,NA,NA,FUEL017506,NA,"34059",auto,NA,NA,NA,NA,"2018","10",NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"268",2020-11-12 16:58:46-03,UEL,FUEL,"16543",PreservedSpecimen,Plantae,Tracheophyta,Caryophyllales,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) Lundell,"Rossetto, EFS","Zipparro, VB","1776","1999","08","18",NA,Brasil,São Paulo,Sete Barras,"Parques Intervales, Base Saibadela, Trilha Azul",-47.9199981689453,-24.3799991607666,NA,NA,FUEL017505,NA,"34059",auto,NA,NA,NA,NA,"2018","10",NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.1883010864258,-23.5228004455566,"297",2021-03-04 15:42:47-03,IF,SPSF,"22005",PreservedSpecimen,Plantae,Magnoliophyta,Caryophyllales,Nyctaginaceae,Guapira,nitida,Guapira nitida,(Mart. ex J.A.Schmidt) (Lundell),E.F.S.Rossetto,A.Custodio Filho & G.Franco,450/97,"1996","08","08",América do Sul,Brasil,SP,Mogi das Cruzes,E.Ecol.Itapety,-46.1883010864258,-23.5228004455566,NA,"COLETA: Arvoreta. Flores avermelhadas.;",NA,NA,"28666",auto,NA,NA,NA,NA,"2019","01",Magnoliopsida,"10",NA,NA,NA,NA,NA,MOGI DAS CRUZES,"3530607"
