X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,day,county,minimumElevationInMeters,maximumElevationInMeters,infraspecificEpithet,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.8800010681152,-23.1800003051758,"312",2020-11-04 11:12:19-03,ESALQ,ESA,"107479",PreservedSpecimen,Plantae,Magnoliophyta,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,NA,NA,"Lombardi, J.A.","6695.0","2007","06",NA,Brasil,São Paulo,NA,-46.8800010681152,-23.1800003051758,NA,NA,ESA107479,NA,"Hieda, S.M.","11",Jundiaí,NA,NA,NA,"17840",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-47.669444,-24.205555,"315",2020-11-04 11:12:19-03,ESALQ,ESA,"124100",PreservedSpecimen,Plantae,Magnoliophyta,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,NA,NA,"Kuntz, J. ; Caramez, R.B.","1035.0","2013","04",NA,Brasil,São Paulo,Reserva Particular da Votorantim (CBA). UHE Serraria. Trilha da Igreginha. Floresta Ombrófila Densa.,-47.669444,-24.205555,NA,"Trepadeira com flores esverdeadas, filetes alvos com anteras marrons. Botões verdes.",ESA124100,ESA124100,"Oliveira-Neto, M.A.","02",Tapiraí,"48","48",NA,NA,NA,"-47.669444","-24.205555","2013","05","04",NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-47.669444,-24.205555,"331",2020-11-04 11:12:19-03,ESALQ,ESA,"125418",PreservedSpecimen,Plantae,Magnoliophyta,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,NA,NA,"Kuntz, J.","1035.0","2013","04",NA,Brasil,São Paulo,Reserva Particular da Votorantim (CBA). UHE Serraria. Trilha da Igreginha. Floresta Ombrófila Densa.,-47.669444,-24.205555,NA,"Trepadeira com flores esverdeadas, filetes alvos com anteras marrons. Botões verdes.",ESA125418,NA,"Oliveira-Neto, M.A.","02",Juquiá,NA,NA,NA,NA,NA,"-47.669444","-24.205555","2013","05","04",NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-46.939444,-23.825556,"365",2021-03-01 16:33:03-03,UNICAMP,UEC,"168335",S,Plantae,Magnoliopsida,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,(Mart.) Mart.,NA,"Lombardi, JA; Saka, MN; Cavalca, LB","7892","2010","10",NA,Brazil,São Paulo,"Reserva Particular do Patrimônio Natural Paiol Maria, Trilha das Águas.&nf;Trilhas no interior de mata atlântica secundária.",-46.939444,-23.825556,NA,"Arbusto hemiparasita em árvore caída, folhas papiráceas, botões verdes.",UEC035672,UEC035672,"Saka, MN","19",São Lourenço da Serra,"707","743",NA,NA,NA,"-46.939444","-23.825556","2012","01",NA,NA,NA,NA,NA,NA,SÃO LOURENÇO DA SERRA,"3549953"
-47.15,-23.516667,"366",2021-03-01 16:33:03-03,UNICAMP,UEC,"186697",S,Plantae,Magnoliopsida,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,(Mart.) Mart.,NA,"Groppo, M","1183","2005","10",NA,Brazil,São Paulo,"Brasil, São Paulo, São Roque. Restaurante Casarão, beira da Rodovia Castelo Branco.",-47.15,-23.516667,NA,"Hemiparasita em <em>Psidium guajava</em> (Myrtaceae). Flores esverdeadas, folhas coriáceas. Em beira de lago artificial, ao sol, ca. 1,7m do solo.",UEC117232,UEC117232,"Groppo, M","08",São Roque,NA,NA,NA,NA,NA,"-47.15","-23.516667","2012","08",NA,NA,NA,NA,NA,NA,SÃO ROQUE,"3550605"
-47.669444,-24.205556,"452",2020-12-21 16:31:59-03,MBM,MBM,"391175",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,Mart.,NA,"Kuntz, J.; Caramez, R.B.; Mello, F.N.A.; Liboni, A.P.; Oliveira-Neto, M.A.; Caramez, R.B.; Mello, F.N.A.; Liboni, A.P.; Oliveira-Neto, M.A.","1035","2013","04",Southern America,Brazil,São Paulo,"Reserva Particular da Votorantim (CBA), UHE Serraria; Trilha da Igrejinha",-47.669444,-24.205556,NA,"Trepadeira com flores esverdeadas, filetes alvos com anteras marrons; botões verdes.; Floresta Ombrófila Densa, bem conservada.",MBM391175,MBM391175,"Oliveira-Neto, M.A.","02",Tapiraí,"48","48",NA,NA,NA,"-47.669444","-24.205556","2013","05","04",NA,NA,NA,NA,NA,JUQUIÁ,"3526100"
-46.8800010681152,-23.1800003051758,"854",2020-06-15 15:31:00-03,UNESP-RC,HRCB,"47663",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,(Mart.) Mart.,NA,Lombardi,"6695","2007","04",NA,Brasil,São Paulo,NA,-46.8800010681152,-23.1800003051758,NA,"borda da trilha. Arbusto hemiparasita escandente, folhas carnosas, flores esverdeadas",NA,NA,NA,"11",Jundiaí,"985","985",NA,"17840",auto,46º56'08.8W,"23º13'49,6S",NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.741389,-23.563056,"1058",2021-03-15 18:28:05-03,USP,SPF,"225665",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,Mart.,NA,"Furlan, CM","97","2016","06",NA,Brasil,São Paulo,"Cidade Universitária Armando de Salles Oliveira, Praça do relógio.",-46.741389,-23.563056,NA,"Parasita aérea encontrada sobre Anacardiaceae, folhas opostas. Voucher de estudo fitoquímico.; Cultivada em arborização urbana.",SPF00225665,NA,"Teixeira-Costa, L","17",São Paulo,"729","729",NA,NA,NA,"-46.741389","-23.563056","2016","06","18",NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.7400016784668,-23.3600006103516,"1139",2021-03-15 18:28:05-03,USP,SPF,"13383",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,Mart.,NA,"Hoehne, W",s.n.,"1945","01",NA,Brasil,São Paulo,NA,-46.7400016784668,-23.3600006103516,NA,"Forma feminina.&nf;Parasita.",SPF00013383,NA,"Sugiyama, M","18",Caieiras,NA,NA,NA,"9448",auto,NA,NA,"1998","01","22",NA,NA,NA,NA,NA,CAIEIRAS,"3509007"
-46.6300010681152,-23.5400009155273,"1144",2021-03-15 18:28:05-03,USP,SPF,"17620",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,flexicaulis,Struthanthus flexicaulis,Mart.,NA,"Morretes, BL",s.n.,NA,NA,NA,Brasil,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,Flor Masc.,SPF00017620,NA,"Rizzini, CT",NA,São Paulo,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
