X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,infraspecificEpithet,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,typeStatus,relatedCatalogItem,NM_MUNICIP,CD_GEOCMU
-47.9199981689453,-24.3799991607666,"23",2020-11-04 11:14:21-03,ESALQ,ESA,"52000",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,O. Berg.,NA,"Lima, R.A.F.","431.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente (sub-parcela D0) - Parque Estadual de Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,"1,2cm de DAP e 2,5 m de altura",ESA052000,ESA052000,NA,"400","400","34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"24",2020-11-04 11:14:21-03,ESALQ,ESA,"83727",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,NA,"Souza, V.C.","Souza, V.C.; Duarte, A.R.; Sampaio, D.; Nogueira, A.; Castanho, C.T.; Rando, J.G.","29005.0","2003","02","18",NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Floresta Ombrófila Densa. Área do Projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,"Arvoreta, ca. 4 m alt.; botões castanhos.",ESA083727,NA,NA,"300","300","34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-45.36,-23.45,"27",2020-11-04 11:14:21-03,ESALQ,ESA,"68353",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,NA,"Mazine, F.F.","Oliveira, A.A.; Gandolfi, S.; Batista, F.R.Q.; Micheletto, F.; Liesenfeld, M.V.A.; San Martin-Gajardo, I.; Peroni, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3624.0","2000","04","20",NA,Brasil,São Paulo,São Sebastião,Parque Estadual da Serra do Mar. Trilha das cachoeiras do Ribeirão Itu. Floresta Ombrófila Densa de Encosta com sinais perturbação. Interior de floresta (próximo à borda do ribeirão),-45.36,-23.45,NA,"Árvore 7m, flores brancas.",ESA068353,ESA068353,NA,"190","190",NA,NA,NA,NA,NA,NA,"-45.36","-23.45",NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.4199981689453,-23.8899993896484,"29",2020-11-04 10:56:23-03,ESALQ,ESA,"136229",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,O. Berg,S. Honda,R.J.F. Garcia,"2434.0","2005","02","16",NA,Brasil,São Paulo,Cubatão,NA,-46.4199981689453,-23.8899993896484,NA,NA,ESA136229,NA,NA,NA,NA,"15123",auto,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.3899993896484,-23.9599990844727,"37",2020-11-04 11:14:21-03,ESALQ,ESA,"97434",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,O. Berg.,"Aguiar, O.T.","Pastore, J.A. ; Moura, C.","1250.0","2003","09","05",NA,Brasil,São Paulo,São Vicente,NA,-46.3899993896484,-23.9599990844727,NA,NA,ESA097434,ESA097434,NA,NA,NA,"25482",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO VICENTE,"3551009"
-47.9199981689453,-24.3799991607666,"38",2020-11-04 11:14:21-03,ESALQ,ESA,"62115",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,O.Berg,NA,"Batista, E.R. et al.","133.0","1999","01","12",NA,Brasil,São Paulo,Sete Barras,NA,-47.9199981689453,-24.3799991607666,NA,NA,ESA062115,ESA062115,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"39",2020-11-04 11:14:21-03,ESALQ,ESA,"109425",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,NA,NA,"Duarte, A.R.","502.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,NA,-47.9199981689453,-24.3799991607666,NA,NA,ESA109425,ESA109425,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"41",2020-11-04 11:14:21-03,ESALQ,ESA,"52111",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,O. Berg.,NA,"Lima, R.A.F.","572.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,NA,ESA052111,ESA052111,NA,"400","400","34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"42",2020-11-04 11:14:21-03,ESALQ,ESA,"109907",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29380.0",NA,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,ESA109907,ESA109907,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.7799987792969,-24.1800003051758,"43",2020-11-04 11:14:21-03,ESALQ,ESA,"75123",PreservedSpecimen,Plantae,Magnoliophyta,NA,Myrtaceae,Calyptranthes,lanceolata,Calyptranthes lanceolata,O.Berg,"Mazine, F.F. & Souza, V.C.","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","218.0","2001","04","17",NA,Brasil,São Paulo,Itanhaém,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana e Montana no entorno do Vale dos Rios Mambu e dos Macacos. 24o02'28,4S; 46o49'27,9W. 30-180msm.",-46.7799987792969,-24.1800003051758,NA,"Árvore, ca. 10m alt. Flores creme.",ESA075123,ESA075123,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
