X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,county,minimumElevationInMeters,maximumElevationInMeters,typeStatus,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-46.6300010681152,-23.5400009155273,"103",2019-07-26 11:40:11-03,IPA,IPA,"9485",S,Plantae,Plantae,NA,Leguminosae-Caes.,Melanoxylon,brauna,Melanoxylon brauna,Schott,NA,"Koscinski, M.","9485","1936","03",NA,Southern America,Brasil,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,Frutos em agosto,IPA0009485,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"158",2019-08-20 10:14:13-03,UNICAMP,UEC,"92314",S,Plantae,Magnoliopsida,NA,Fabaceae,Melanoxylon,brauna,Melanoxylon brauna,Schott,"Hoehne, FC","Koscinski, M","293",NA,NA,NA,NA,Brazil,São Paulo,Horto Florestal,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"244",2020-12-21 16:27:06-03,MBM,MBM,"138747",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Melanoxylon,brauna,Melanoxylon brauna,Schoot,NA,"Lopes, B.","8196",NA,NA,NA,Southern America,Brazil,São Paulo,Arboreto da Vila Amália,-46.6300010681152,-23.5400009155273,NA,NA,MBM138747,MBM138747,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"245",2020-12-21 16:27:06-03,MBM,MBM,"152687",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Melanoxylon,brauna,Melanoxylon brauna,Schoot,"Pickel, D.B.","Cunha, M.A.",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,Arboreto da Vila Amália,-46.6300010681152,-23.5400009155273,NA,NA,MBM152687,MBM152687,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"253",2020-12-21 16:27:06-03,MBM,MBM,"150937",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Melanoxylon,brauna,Melanoxylon brauna,Schoot,"Pickel, D.B.","Cunha, M.A.",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,Vila Amália,-46.6300010681152,-23.5400009155273,NA,NA,MBM150937,MBM150937,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"332",2021-03-03 13:56:18-03,UFF,NIT,NITw1023,PreservedSpecimen,Plantae,NA,NA,Leguminosae,Melanoxylon,brauna,Melanoxylon brauna,Schott,NA,NA,NA,NA,NA,NA,NA,Brasil ,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,Serv. Flor. De S. Paulo n 11,NITw00001928,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6361,-23.5475,"478",2019-01-25 15:41:00-02,IAC,IAC,"7514",S,Plantae,NA,NA,Fabaceae,Melanoxylon,brauna,Melanoxylon brauna,Schott,F.C. Hoehne,M. Koscinski,"27","1935","03","15",NA,Brasil,São Paulo,Horto Florestal,-46.6361,-23.5475,NA,"Nome popular:braúna-preta, árvore-da-chuva, baraúna, garaúna, grauna, guiraúna, murauna, canela-amarela,no Pará. (recebido do Snr.Bento Pickel em 27/07/1944)",NA,NA,São Paulo,NA,NA,NA,"-46.6361","-23.5475",NA,NA,"1935","03","15",NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"530",2019-05-06 11:57:49-03,UFU,HUFU,"4314",S,Plantae,NA,NA,Fabaceae,Melanoxylon,brauna,Melanoxylon brauna,Schott,"Pickel, D.B.","Cunha, M.A.",s.n.,"1955","03","10",NA,Brasil,São Paulo,"Arboreto da Vila Amália, Instituto Florestal.",-46.6300010681152,-23.5400009155273,NA,NA,HUFU00009541,HUFU00009541,São Paulo,NA,NA,NA,NA,NA,"53584",auto,"1955",NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"531",2021-03-04 15:43:01-03,IF,SPSF,"08196",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Caesalpinaceae,Melanoxylon,brauna,Melanoxylon brauna,NA,NA,B.Lopes,NA,"1983","09","06",América do Sul,Brasil,SP,Arboreto de Vila Amalia,-46.6300010681152,-23.5400009155273,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"532",2021-03-04 15:43:01-03,IF,SPSF,"07743",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Caesalpinaceae,Melanoxylon,brauna,Melanoxylon brauna,NA,NA,M.A. Cunha,NA,"1951","04","02",América do Sul,Brasil,SP,Arboreto de Vila Amalia,-46.6300010681152,-23.5400009155273,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,São Paulo,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,Magnoliopsida,NA,NA,NA,SÃO PAULO,"3550308"
