X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,minimumElevationInMeters,maximumElevationInMeters,imagecode,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,coordinatePrecision,geoFlag,class,relatedCatalogItem,typeStatus,relationshipType,eventTime,fieldNumber,individualCount,NM_MUNICIP,CD_GEOCMU
-46.618358,-23.646109,"32",2021-03-15 16:37:00-03,NY,NYBG,"616404",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,Miq.,M. L. Kawasaki,NA,NA,NA,O. Handro,s.n.,"1946","02","27",Brazil,São Paulo,Sao Paulo,"Sao Paulo, Parque Estadual das Fontes do Ipiranga, Jardim Botânico",-46.618358,-23.646109,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18239' target='other'> <mi>dwc_moreinfo</mi></a>,NY00616404,NA,NA,NY00616404_01,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.9900016784668,-24.3199996948242,"103",2020-01-20 14:40:43-03,UPM,MACK,"923",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,Miq.,NA,NA,NA,NA,"Camila; Eduardo; Rodrigo",s/n,"2010","07","26",Brasil,SP,Peruíbe,Restinga alta.,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47.9199981689453,-24.3799991607666,"157",2020-11-04 11:14:50-03,ESALQ,ESA,"102155",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,grandiflora,Myrcia grandiflora,NA,"Aguiar, O.T.",NA,NA,NA,"Ivanauskas, N.M.","5018.0","2004","01","14",Brasil,São Paulo,Sete Barras,NA,-47.9199981689453,-24.3799991607666,NA,NA,NA,ESA102155,NA,NA,ESA102155,NA,NA,NA,Magnoliophyta,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-46.7799987792969,-24.1800003051758,"162",2020-11-04 11:14:56-03,ESALQ,ESA,"75103",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,Miq.,"Souza, V.C.",NA,NA,NA,"Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","198.0","2001","04","17",Brasil,São Paulo,Itanhaém,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana e Montana no entorno do Vale dos Rios Mambu e dos Macacos. 24o02'28,4S; 46o49'27,9W. 30-180msm.",-46.7799987792969,-24.1800003051758,NA,NA,"Árvore, ca. 6m alt. Frutos imaturos verdes.",ESA075103,NA,NA,ESA075103,NA,NA,NA,Magnoliophyta,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,ITANHAÉM,"3522109"
-47.060001373291,-23.9300003051758,"180",2020-11-04 11:14:56-03,ESALQ,ESA,"123795",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,NA,"Colletta, G.D.","2013","05","14","Colletta, G.D.","746.0","2012","11","09",Brasil,São Paulo,Juquitiba,"Beira da estrada, trilha ao lado do Posto.",-47.060001373291,-23.9300003051758,NA,NA,Árvore,ESA123795,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,"24559",auto,NA,NA,NA,NA,NA,NA,NA,JUQUITIBA,"3526209"
-46.9900016784668,-24.3199996948242,"181",2020-11-04 11:14:56-03,ESALQ,ESA,"118298",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,NA,"Moura, C.","2011","02","08","Moura, C.; Francisco, J.N.C. ; Ribeiro, R.S.","350.0","2011","02","01",Brasil,São Paulo,Peruíbe,Estação Ecológica Juréia-Itatins,-46.9900016784668,-24.3199996948242,"-47,005,556","-24,353,889","Cerrado típico com invasão de capim e Pinus.&nf;Arbusto 60cm altura; botões florais.;",ESA118298,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,PERUÍBE,"3537602"
-47.9199981689453,-24.3799991607666,"184",2020-11-04 11:14:56-03,ESALQ,ESA,"99560",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,NA,"Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M.","5011.0","2004","01","15",Brasil,São Paulo,Sete Barras,NA,-47.9199981689453,-24.3799991607666,NA,NA,NA,ESA099560,NA,NA,ESA099560,NA,NA,NA,Magnoliophyta,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"185",2020-11-04 11:14:56-03,ESALQ,ESA,"109395",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,NA,NA,NA,NA,NA,"Duarte, A.R.","541.0",NA,NA,NA,Brasil,São Paulo,Sete Barras,NA,-47.9199981689453,-24.3799991607666,NA,NA,NA,ESA109395,NA,NA,ESA109395,NA,NA,NA,Magnoliophyta,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-47.9199981689453,-24.3799991607666,"211",2020-11-04 11:14:56-03,ESALQ,ESA,"109783",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,NA,NA,NA,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30198.0",NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,NA,ESA109783,NA,NA,ESA109783,NA,NA,NA,Magnoliophyta,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,SETE BARRAS,"3551801"
-45.8800010681152,-23.1700000762939,"243",2020-12-20 21:18:39-03,UFV,VIC,"11097",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,pubipetala,Myrcia pubipetala,Miq.,NA,NA,NA,NA,"Silva, A.F. da; Capellari, J.r.","1454","1986","07","16",Brasil,São Paulo,São José dos Campos,Flora da Reserva Florestal da Boa Vista,-45.8800010681152,-23.1700000762939,NA,NA,"Árvore de 20 m, frutos imaturos verdes de pilosidade cinérea, casca rosada, lenho marfim, pouco aromática, seiva aquosa escassa, súber liso, com ritidoma.",VIC011097,NA,NA,VIC011097,NA,NA,NA,NA,NA,NA,"39297",auto,NA,NA,NA,NA,NA,NA,NA,SÃO JOSÉ DOS CAMPOS,"3549904"
