X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,country,stateProvince,individualCount,occurrenceRemarks,year,month,day,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,infraspecificEpithet,recordNumber,continentOcean,preparationType,barcode,imagecode,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,class,typeStatus,fieldNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.560001373291,-23.6900005340576,"204",2021-03-04 15:41:57-03,IF,SPSF,"27972",PreservedSpecimen,Plantae,Magnoliophyta,Bromeliales,Bromeliaceae,Billbergia,pyramidalis,Billbergia pyramidalis,(Sims) Lindl.,J.V.Coffani Nunes,"2007","05",J.B.Baitello,Brasil,SP,NA,"COLETA: XLS: SPSFAntigo&nf;Mata baixa.; GEOGRAFIA: Inicio da rodovia dos Imigrantes, km. 41, posta Sul.;","2001","05","03",São Bernardo do Campo,P.E.Serra do Mar,-46.560001373291,-23.6900005340576,"31119",auto,NA,"995",América do Sul,NA,NA,NA,"17",NA,NA,NA,NA,Liliopsida,NA,NA,NA,SÃO BERNARDO DO CAMPO,"3548708"
-45.866667,-23.633333,"218",2019-11-21 10:02:33-03,IBt,SP,"194686",S,Plantae,NA,NA,Bromeliaceae,Billbergia,pyramidalis,Billbergia pyramidalis,(Sims) Lindl.,NA,NA,NA,"Custodio Filho, A",Brasil,São Paulo,NA,NA,"1983","05","10",Biritiba-Mirim,Estação Biológica de Boracéia,-45.866667,-23.633333,NA,NA,NA,"1321",NA,NA,SP051185,SP051185,NA,"890","950","-45.866667","-23.633333",NA,NA,NA,NA,SALESÓPOLIS,"3545001"
