X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,locality,typeStatus,continentOcean,preparationType,previousCatalogNumber,phylum,order,coordinatePrecision,geoFlag,infraspecificEpithet,class,relatedCatalogItem,relationshipType,fieldNumber,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.42978,-23.8272,"27",2021-03-15 16:37:00-03,NY,NYBG,"02642163",PreservedSpecimen,Plantae,Annonaceae,Annona,neosericea,Annona neosericea,H.Rainer,NA,NA,NA,NA,E. G. A. Martins,"197","2011","10","08",Brazil,São Paulo,Cubatão,-46.42978,-23.8272,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962826' target='other'> <mi>dwc_moreinfo</mi></a>,NY02642163,NY02642163_01,"Parque Ecológico do Perequê. Trilha da Cachoeira, 300 m após travessia do rio Perequê, lado esquerdo no interior da mata.",NA,South America,sheet,NA,Magnoliophyta,Magnoliales,NA,NA,NA,NA,NA,NA,NA,NA,NA,CUBATÃO,"3513504"
-46.3,-23.77,"97",2021-03-15 16:37:00-03,NY,NYBG,"395842",PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,P. J. M. Maas,NA,NA,NA,O. Handro,"1201","1967","09","28",Brazil,São Paulo,Bertioga,-46.3,-23.77,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256822' target='other'> <mi>dwc_moreinfo</mi></a>,NY00395842,NY00395842_01,"Paranapiacaba: (via ferrea Sao Paulo-Santos), Estaçao Biológica",NA,South America,sheet,NA,Magnoliophyta,Magnoliales,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTO ANDRÉ,"3547809"
-46.621883,-23.654505,"103",2021-03-15 16:37:00-03,NY,NYBG,"395841",PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,W. Mantovani,NA,NA,NA,L. Gorgatti,"3","1977","08","24",Brazil,São Paulo,Sao Paulo,-46.621883,-23.654505,NA,NA,NA,NA,Madeira 216 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256821' target='other'> <mi>dwc_moreinfo</mi></a>,NY00395841,NY00395841_01,Parque do Estado,NA,South America,sheet,NA,Magnoliophyta,Magnoliales,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.618358,-23.646109,"104",2021-03-15 16:37:00-03,NY,NYBG,"395844",PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,"P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,F. C. Hoehne,"28598","1931","12","21",Brazil,São Paulo,Sao Paulo,-46.618358,-23.646109,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=256835' target='other'> <mi>dwc_moreinfo</mi></a>,NY00395844,NY00395844_01,"Jardim Botanico, S. Paulo",NA,South America,sheet,NA,Magnoliophyta,Magnoliales,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-45.247067,-23.425767,"111",2021-02-08 11:07:02-03,UNESP-IBB,BOTU,"24454",PreservedSpecimen,Plantae,Annonaceae,Rollinia,dolabripetala,Rollinia dolabripetala,(Raddi) R.E. Fr.,"Mello-Silva, R.","2005","11",NA,"Pilla, M.A.C.",macp18,"2005","10","10",Brasil,São Paulo,Natividade da Serra,-45.247067,-23.425767,45°14.824'w,23°25.546's,NA,NA,Mata Atlântica. <ll>dwc_commonname:</ll> Fruto do Conde,BOTU024454,BOTU024454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-45.25,-23.416667,"114",2021-02-08 11:07:02-03,UNESP-IBB,BOTU,"25139",PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,R.E.Fr.,"Bernacci, L.C.",NA,NA,NA,"Pilla, M.A.C.",macp111.2,"2005","03","19",Brasil,São Paulo,Natividade da Serra,-45.25,-23.416667,45°15'w,23°25's,NA,NA,Mata Atlântica. Vegetação secundária. <ll>dwc_commonname:</ll> tuncum,BOTU025139,BOTU025139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.633333,-23.55,"268",2020-02-08 09:43:02-03,NBC,NL-BOTANY,U.1081653,PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,Maas PJM,NA,NA,NA,Hoehne W,NA,"1944","11","10",Brazil,São Paulo,NA,-46.633333,-23.55,"-46.633333","-23.55",NA,NA,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081653 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1081653,NL-U1081653,NA,NA,Southern America,NA,NA,NA,Magnoliales,NA,NA,NA,Magnoliopsidae,U 0143773,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.633333,-23.55,"272",2020-02-08 09:43:02-03,NBC,NL-BOTANY,U.1081657,PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,Maas PJM,NA,NA,NA,Hoehne W,NA,"1944","04","04",Brazil,São Paulo,NA,-46.633333,-23.55,"-46.633333","-23.55",NA,NA,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081657 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1081657,NL-U1081657,NA,NA,Southern America,NA,NA,NA,Magnoliales,NA,NA,NA,Magnoliopsidae,U 0143771,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.633333,-23.55,"273",2020-02-08 09:43:02-03,NBC,NL-BOTANY,U.1081658,PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,Maas PJM,NA,NA,NA,Hoehne W,NA,"1944","04","04",Brazil,São Paulo,NA,-46.633333,-23.55,"-46.633333","-23.55",NA,NA,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1081658,NL-U1081658,NA,NA,Southern America,NA,NA,NA,Magnoliales,NA,NA,NA,Magnoliopsidae,U 0143772,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.633333,-23.55,"277",2020-02-08 09:43:02-03,NBC,NL-BOTANY,U.1081662,PreservedSpecimen,Plantae,Annonaceae,Rollinia,sericea,Rollinia sericea,(R.E.Fr.) R.E.Fr.,Barroso GM,NA,NA,NA,Rossi L,NA,"1979","11","01",Brazil,São Paulo,NA,-46.633333,-23.55,"-46.633333","-23.55",NA,NA,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1081662,NL-U1081662,NA,NA,Southern America,NA,NA,NA,Magnoliales,NA,NA,NA,Magnoliopsidae,U 0143768,NA,NA,NA,NA,SÃO PAULO,"3550308"
