X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,recordNumber,month,day,typeStatus,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,NM_MUNICIP,CD_GEOCMU
-46.63,-23.5403,"5",2021-03-15 16:37:00-03,NY,NYBG,"428435",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Chrysobalanaceae,Licania,indurata,Licania indurata,Pilg.,NA,E. Schwebel,NA,South America,Brazil,São Paulo,Sao Paulo,Alto da Serra,-46.63,-23.5403,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388297' target='other'> <mi>dwc_moreinfo</mi></a>,NY00428435,NY00428435_01,II81,NA,NA,isotype,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.5299987792969,-23.6599998474121,"7",2021-03-12 16:33:20-03,USP,SPF,"72196",PreservedSpecimen,Plantae,NA,NA,Chrysobalanaceae,Licania,indurata,Licania indurata,Pilg.,NA,"Schwebel, E",NA,NA,Brasil,São Paulo,Santo André,Alto da Serra,-46.5299987792969,-23.6599998474121,NA,NA,SPF00072196,SPF00072196,"81",NA,NA,isotype,"27258",auto,NA,NA,NA,SANTO ANDRÉ,"3547809"
