X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,recordNumber,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,locality,phylum,order,scientificNameAuthorship,continentOcean,preparationType,infraspecificEpithet,coordinatePrecision,geoFlag,typeStatus,class,relatedCatalogItem,individualCount,fieldNumber,sex,NM_MUNICIP,CD_GEOCMU
-46.618358,-23.646109,"15",2021-03-15 16:37:00-03,NY,NYBG,"684730",PreservedSpecimen,Plantae,Fabaceae,Apuleia,leiocarpa,Apuleia leiocarpa,F. C. Hoehne,NA,NA,NA,F. C. Hoehne,"1945","09","13",Brazil,São Paulo,Sao Paulo,-46.618358,-23.646109,NA,NA,NY00684730,NY00684730_01,s.n.,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880456' target='other'> <mi>dwc_moreinfo</mi></a>,Jardim Botanico,Magnoliophyta,Fabales,(Vogel) J.F.Macbr.,South America,sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.6300010681152,-23.5400009155273,"344",2020-11-04 11:08:24-03,ESALQ,ESA,"35187",PreservedSpecimen,Plantae,Fabaceae,Apuleia,leiocarpa,Apuleia leiocarpa,"Hoehne, F.C.",NA,NA,NA,"Hoehne, F.C.","1945","09","13",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,ESA035187,ESA035187,NA,NA,NA,NA,NA,Magnoliophyta,NA,(Vog.) Macbr.,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.63,-24.32,"718",2013-04-01 09:14:59-03,IPT,BCTW,"6696",S,Plantae,NA,Apuleia,leiocarpa,Apuleia leiocarpa,IPT,NA,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,Juquiá,-47.63,-24.32,NA,NA,NA,NA,NA,NA,NA,NA,Fazenda Poço Grande,Magnoliophyta,NA,(J.Vogel) J.F.Macbr.,NA,NA,NA,"32505",auto,NA,Magnoliopsida,NA,NA,NA,NA,JUQUIÁ,"3526100"
-46.63,-23.54,"731",2013-04-01 09:14:59-03,IPT,BCTW,"1320",S,Plantae,NA,Apuleia,leiocarpa,Apuleia leiocarpa,NA,NA,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,São Paulo,-46.63,-23.54,NA,NA,NA,NA,NA,NA,NA,NA,Horto Florestal,Magnoliophyta,NA,(J.Vogel) J.F.Macbr.,NA,NA,NA,"53584",auto,NA,Magnoliopsida,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.54,"759",2013-04-01 09:14:59-03,IPT,BCTW,"1319",S,Plantae,NA,Apuleia,leiocarpa,Apuleia leiocarpa,NA,NA,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,São Paulo,-46.63,-23.54,NA,NA,NA,NA,NA,NA,NA,NA,Horto Florestal,Magnoliophyta,NA,(J.Vogel) J.F.Macbr.,NA,NA,NA,"53584",auto,NA,Magnoliopsida,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.63,-23.54,"778",2013-04-01 09:14:59-03,IPT,BCTW,"12228",S,Plantae,NA,Apuleia,leiocarpa,Apuleia leiocarpa,NA,NA,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,São Paulo,-46.63,-23.54,NA,NA,NA,NA,NA,NA,NA,NA,Santo Amaro,Magnoliophyta,NA,(J.Vogel) J.F.Macbr.,NA,NA,NA,"53584",auto,NA,Magnoliopsida,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.060001373291,-23.9300003051758,"898",2020-12-21 16:25:21-03,MBM,MBM,"348251",PreservedSpecimen,Plantae,Fabaceae,Apuleia,leiocarpa,Apuleia leiocarpa,"et al.; Polisel, R.T.","2007","09","25","Polisel, R.T.","2007","09","15",Brazil,São Paulo,Juquitiba,-47.060001373291,-23.9300003051758,NA,NA,MBM348251,MBM348251,"444","700","700",Árvore de 12m. Flores brancas com 3 pétalas e estames. Na mata ciliar,"Sítio Canoar, bairro dos Carmos",NA,NA,(Vogel.) Macbr.,Southern America,NA,NA,"24559",auto,NA,NA,NA,NA,NA,NA,JUQUITIBA,"3526209"
-46.6300010681152,-23.5400009155273,"1629",2020-05-08 11:11:34-03,UEFS,HUEFS,"27129",PreservedSpecimen,Plantae,Leguminosae Subfam. Dialioideae,Apuleia,leiocarpa,Apuleia leiocarpa,NA,NA,NA,NA,"Bernacci, L.C.","1995","09","05",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,HUEFS0027129,HUEFS0027129,"2018",NA,NA,Floresta em espigão.,"Núbia, Fazenda Oroitê (Suiços).",Angiospermae,Fabales,(Vogel) J.F.Macbr.,NA,NA,NA,"53584",auto,NA,Rosanae,NA,NA,NA,NA,SÃO PAULO,"3550308"
-47.1,-23.966667,"1985",2021-03-04 15:43:01-03,IF,SPSF,"39125",PreservedSpecimen,Plantae,Caesalpinaceae,Apuleia,leiocarpa,Apuleia leiocarpa,N.M.Ivanaukas,"2007","09","25",R.T. Polisel,"2007","09","15",Brasil,SP,Juquitiba,-47.1,-23.966667,NA,NA,NA,NA,"444","700","700","COLETA: Árvore 12m, flores brancas; GEOGRAFIA: Sítio CANOAR;",Bairro dos Carmos,Magnoliophyta,Fabales,(Vogel) J.F.Macbr.,América do Sul,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,JUQUITIBA,"3526209"
-46.6300010681152,-23.5400009155273,"1994",2021-03-04 15:43:01-03,IF,SPSF,"03132",PreservedSpecimen,Plantae,Caesalpinaceae,Apuleia,leiocarpa,Apuleia leiocarpa,NA,NA,NA,NA,L.Teixeira,"1947","10","21",Brasil,SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;","arboreto de Vila Amalia,",Magnoliophyta,Fabales,NA,América do Sul,NA,NA,"53584",auto,NA,Magnoliopsida,NA,NA,NA,NA,SÃO PAULO,"3550308"
