X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,occurrenceRemarks,phylum,order,continentOcean,preparationType,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,fieldNumber,typeStatus,individualCount,sex,NM_MUNICIP,CD_GEOCMU
-46.369722,-23.395278,"143",2021-03-01 16:35:44-03,UNICAMP,UEC,"199140",S,Plantae,Monimiaceae,Mollinedia,blumenaviana,Mollinedia blumenaviana,Perkins,"Almeida-Scabbia, RJ","2012","11","29","Almeida-Scabbia, RJ; Rossi, L; Kameyama, C; Fortes, EP","2012","10","30",Brazil,São Paulo,Arujá,Imediações da rua Jujiro Nakayama.,-46.369722,-23.395278,"-46.369722","-23.395278","716","716",UEC160542,UEC160542,"797","Arbusto, ca. 1.20m alt., frutos verdes; Floresta com áreas de dosel relativamente preservado e algumas clareiras",Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARUJÁ,"3503901"
-45.183333,-23.4,"149",2021-03-01 16:35:44-03,UNICAMP,UEC,"200203",S,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,NA,NA,NA,NA,"Padgurschi, MCG; Belinello, R","2009",NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.183333,-23.4,"-45.183333","-23.4","990","1045",UEC177695,NA,M1260,Parcela M - Projeto Biota-FAPESP. Árvore com 11 metros de altura. Frequência da espécie na parcela: n=13,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NATIVIDADE DA SERRA,"3532306"
-46.5499992370605,-23.1100006103516,"164",2021-03-01 16:35:44-03,UNICAMP,UEC,"55175",S,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,"Lirio, EJ","2016",NA,NA,"Bernacci, LC; Grombone-Guaratini, MT; Leitão Filho, HF; Meira Neto, JAA; Tamashiro, JY","1987","05","04",Brazil,São Paulo,Atibaia,Fazenda Grota Funda,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,UEC128140,NA,s.n.,Arvoreta com 2m com frutos dentro da mata.,Magnoliopsida,NA,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.5499992370605,-23.1100006103516,"165",2021-03-01 16:35:44-03,UNICAMP,UEC,"55179",S,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,"Lirio, EJ","2016",NA,NA,"Grombone-Guaratini, MT; Bernacci, LC; Meira Neto, JAA; Tamashiro, JY; Leitão Filho, HF","1987","06","03",Brazil,São Paulo,Atibaia,Pico da Pedra Grande,-46.5499992370605,-23.1100006103516,NA,NA,NA,NA,UEC128143,NA,"21207","Arvoreta com 3m, caule cinza liso, frutos amduros negros com receptáculo verde.",Magnoliopsida,NA,NA,NA,"21675",auto,NA,NA,NA,NA,NA,NA,NA,ATIBAIA,"3504107"
-46.6300010681152,-23.5400009155273,"464",2020-12-21 16:35:42-03,MBM,MBM,"150927",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,"Peixoto, A.L.",NA,NA,NA,"Aguiar, O.T.",NA,NA,NA,Brazil,São Paulo,São Paulo,Serra da Cantareira,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM150927,MBM150927,"6463",NA,NA,NA,Southern America,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,SÃO PAULO,"3550308"
-46.8800010681152,-23.1800003051758,"552",2020-06-15 15:31:04-03,UNESP-RC,HRCB,"48420",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,NA,NA,NA,NA,Lombardi,"2007","09","17",Brasil,São Paulo,Jundiaí,NA,-46.8800010681152,-23.1800003051758,46º56'08.8W,"23º13'49,6S","850","850",NA,NA,"6870","borda da trilha e ao longo de córrego dentro da mata. Arbusto ca. 1 m, folhas herbáceas, flores creme",NA,NA,NA,NA,"17840",auto,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.918778,-23.230111,"553",2020-06-15 15:31:04-03,UNESP-RC,HRCB,"49657",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,NA,NA,NA,NA,Lombardi,"2008","03","25",Brasil,São Paulo,Jundiaí,NA,-46.918778,-23.230111,46º55'07.6W,"23º13'48,4S","960","960",NA,NA,"7375","Arbusto ca. 0,7 m, folhas herbáceas, frutos imaturos verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JUNDIAÍ,"3525904"
-46.6300010681152,-23.5400009155273,"572",2020-09-12 05:00:02-03,US,US,"2859955",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,blumenaviana,Mollinedia blumenaviana,Perkins,NA,NA,NA,NA,A. Gehrt,"1934","8","4",Brazil,São Paulo,São Paulo,Pinheiros,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,US01347507,US01347507_01,s.n.,NA,NA,Laurales,South America - Neotropics,NA,"53584",auto,Dicotyledonae,NA,NA,NA,NA,"1",NA,SÃO PAULO,"3550308"
-47.4500007629395,-23.5,"795",2019-10-03 10:04:05-03,UFSCar,SORO,"1333",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,clavigera,Mollinedia clavigera,Tul.,NA,NA,NA,NA,NA,"2008","04","28",Brasil,São Paulo,Sorocaba,Universidade Federal de São Carlos - campus Sorocaba,-47.4500007629395,-23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17154",auto,NA,NA,NA,NA,NA,NA,NA,SOROCABA,"3552205"
-46.5299987792969,-23.4599990844727,"833",2021-03-04 15:44:24-03,IF,SPSF,"53087",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,blumenaviana,Mollinedia blumenaviana,Perkins,R.J.Almeida-Scabbia,NA,NA,NA,R.J. Almeida-Scabbia et al.,"2012","10","26",Brasil,SP,Guarulhos,NA,-46.5299987792969,-23.4599990844727,NA,NA,NA,NA,NA,NA,"775","COLETA: Arvoreta com aprox. 2m de altura. Frutos imaturos verdes.; GEOGRAFIA: Floresta com grande diversidade. Muitas plântulas de diferentes famílias (Myrtaceae, Rubiaceae, Sapindaceae, Burseraceae, Melastomataceae).;",Magnoliophyta,Laurales,América do Sul,NA,"26398",auto,Magnoliopsida,NA,NA,NA,NA,NA,NA,GUARULHOS,"3518800"
