"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","class","order","individualCount","continentOcean","preparationType","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","10816","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","elongatum","Epidendrum elongatum","Jacq.","Robson dos Santos; Vanilde Citadini Zanette & Alexandre S. Klein","2001","10","24","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Rio do Boi.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI008587","CRI008587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:43-03","UNESC","CRI","3186","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","elongatum","Epidendrum elongatum","Jacq.","Robson dos Santos; Aurélio José de Aguiar","1993","05","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI005649","CRI005649","Vanilde Citadini- Zanette","117","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","10815","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","elongatum","Epidendrum elongatum","Jacq.","Robson dos Santos; Vanilde Citadini Zanette & Alexandre S. Klein","2001","01","19","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI005647","CRI005647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:43-03","UNESC","CRI","5106","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","elongatum","Epidendrum elongatum","Jacq.","V. Citadini-Zanette; V. Boff","1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S","CRI005643","CRI005643","V. C. Zanette","2259",NA,NA,"Habito: epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:43-03","UNESC","CRI","7405","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","elongatum","Epidendrum elongatum","Jacq.","Jader Lima Pereira","2006","07","25","Brasil",NA,"Brasil",NA,"-49.326111","-28.601667","49º19'34''W","28º36'6''S","CRI005646","CRI005646","Jader Lima Pereira",NA,"65","65",NA,"2006","07","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:44-03","UNESC","CRI","6521","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","Sabrina Keli Zanin","1999","10","15","Brasil","Santa Catarina","Cocal do Sul","Estação Cocal.","-49.323889","-28.599167","49º19'26''W","28º35'57''S","CRI005633","CRI005633","Sabrina Keli Zanin",NA,"65","65",NA,"1999","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:44-03","UNESC","CRI","13508","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","Robson dos Santos","2018","05","21","Brasil","Santa Catarina","Urubici",NA,"-49.591667","-28.015","49º35'30''W","28º0'54''S","CRI012115",NA,"Renato Colares",NA,NA,NA,"Flor roxa. Habito: Epífita","2018","05","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:50-03","UNESC","CRI","8728","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","Emiliane Biava Dalmolim","2010","03","20","Brasil","Santa Catarina","Nova Veneza",NA,"-49.500833","-28.636944","49º30'3''W","28º38'13''S","CRI005634","CRI005634","Emiliane Biava Dalmolim",NA,NA,NA,NA,"2010","09","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:50-03","UNESC","CRI","3708","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","Vanilde Citadini-Zanette; H. Hulse Neto","1996","08",NA,"Brasil","Santa Catarina","Içara",NA,"-49.300556","-28.713889","49º18'2''W","28º42'50''S","CRI005648","CRI005648","Vanilde Citadini-Zanette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:44-03","UNESC","CRI","12221","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","Guilherme Alves Elias; Peterson Teodoro Padilha; Robson dos Santos & Lucas Oliveira","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos.","-49.525","-28.511111","49º31'30''W","28º30'40''S","CRI010402",NA,"Guilherme Alves Elias & Peterson Teodoro Padilha",NA,NA,NA,"Habito: Epífita","2016","12","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
