"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","minimumElevationInMeters"
"1","2016-10-19 10:25:00-02","NY","NYBG","01212963","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","T. D. Pennington","G. Martinelli","6772","1980","06","03","South America","Brazil","Pará","Oriximiná","Estrada BR 163, próximo ao Rio Cuminá-Mirim, 75 Km de Oriximiná, terra firme. Crescendo em mata de transição de terra firme-várzea.","-55.8661","-1.76556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330931' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212963","NY01212963_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212961","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","T. D. Pennington","W. A. Egler","47673","1960","08","19","South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467389' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212961","NY01212961_01","Pires & T.D.Penn.",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212962","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","T. D. Pennington","H. S. Irwin","48041","1960","09","06","South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467399' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212962","NY01212962_01","Pires & T.D.Penn.",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01213024","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala",NA,"R. de Lemos Fróes","27699","1951","07","25","South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467412' target='other'> <mi>dwc_moreinfo</mi></a>","NY01213024","NY01213024_01","Pires & T.D.Penn.",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01212964","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","T. D. Pennington","R. de Lemos Fróes","27699","1951","07","25","South America","Brazil","Amapá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212964","NY01212964_01","Pires & T.D.Penn.",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:49:37-03","EAO","IAN","115992","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","Pennington, TD","Rodrigues, WA","s.n.","1961",NA,NA,"Southern America","Brasil","Amapá",NA,"Rio Araguarí. Q. 14. nº 138.","-52.916667","-0.916667",NA,NA,"IAN115992",NA,"Pires & T.D. Penn.","1994","06","-52.916667","-0.916667",NA,NA,NA
"7","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0138088","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","Sabatier D","Prévost M-F; Grenand P",NA,"1980","07","30","Southern America","French Guiana","Cayenne",NA,NA,"-52.9","2.2",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200138088 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0138088",NA,"Pires & T.D.Penn.",NA,NA,"-52.9","2.2","Magnoliopsidae",NA,NA
"8","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U 0138089","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","Sabatier D","Prévost M-F; Grenand P",NA,"1980","07","30","Southern America","French Guiana","Cayenne",NA,NA,"-52.9","2.2",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200138089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0138089",NA,"Pires & T.D.Penn.",NA,NA,"-52.9","2.2","Magnoliopsidae",NA,NA
"9","2014-10-29 11:03:00-02","MO","MOBOT","3417535","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala",NA,"W. Egler","Egler 47673","1960","8","19","South America","Brazil","Amapá",NA,"Disurbed forest. Boa Esperanca, opposite mouth of Riviere Camopi.","-52.31666","3.2",NA,NA,NA,NA,"Pires & T.D. Penn.",NA,NA,NA,NA,NA,NA,NA
"10","2009-11-04 20:15:00-02","MO","MOBOT","3420808","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala",NA,"Howard S. Irwin|et al.","Irwin 48041","1960","9","6","South America","Brazil","Amapá",NA,"Corr. Marica, about 1.5 km from confluence with Rio Oiapoque.","-53","2.11666",NA,NA,NA,NA,"Pires & T.D. Penn.",NA,NA,NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","3106529","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","Sabatier, D.","R. Oldeman","T 782","1970","5","21","South America - Neotropics","French Guiana",NA,NA,"Trois Sauts, Haut Oyapock","-52.88","2.25",NA,NA,NA,NA,"Pires & T.D. Penn.",NA,NA,NA,NA,"Dicotyledonae","1",NA
"12","2020-09-12 05:00:02-03","US","US","3285598","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala","Sabatier, D.","M.-F. Prévost & P. Grenand","899","1980","7","30","South America - Neotropics","French Guiana",NA,NA,"Haut Oyapock, pres de la crique Kulumulili a 1.5 km de Zidockville","-52.86","2.25",NA,NA,NA,NA,"Pires & T.D. Penn.",NA,NA,NA,NA,"Dicotyledonae","1",NA
"13","2020-09-12 05:00:02-03","US","US","3336066","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala",NA,"ex herb. RB & G. Martinelli","203620/6772","1980","6","3","South America - Neotropics","Brazil","Pará",NA,"Amazonica. Município de Oriximiná. Estrada BR-163, proximo, ao Rio Cuminá-Mirim, 75km de Oriximiná",NA,NA,NA,NA,"US02702503","US02702503_01","Pires & T.D. Penn.",NA,NA,NA,NA,"Dicotyledonae","1","60"
"14","2020-09-12 05:00:02-03","US","US","3103467","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","tenuisepala","Pouteria tenuisepala",NA,"R. Oldeman","T 932","1973","8","31","South America - Neotropics","French Guiana",NA,NA,"Bas-Camopi, rive droite, à environ 2.5 km de l'embouchure",NA,NA,NA,NA,NA,NA,"Pires & T.D. Penn.",NA,NA,NA,NA,"Dicotyledonae","1",NA
