"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","recordedBy","year","month","day","continentOcean","barcode","imagecode","identifiedBy","recordNumber","locality","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1205","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2008","05","08","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1240","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2008","05","08","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:12:05-03","NBC","NL-BOTANY","L.3737152","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3737152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","Buckup L","2003","12","22","Southern America","NL-L3737152","NL-L3737152",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-19 08:08:01-03","FPS","FPS","763","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2015","11","26","Brasil","Santa Catarina","São Bento do Sul","-49.309811","-26.311467",NA,NA,NA,NA,NA,"Schwirkowski, P.","2015","02","15",NA,"FPS00763,FURB48405","FPS00763_v01 FPS00763_v02 FPS00763_v03 FPS00763_v04 FURB48405","Romanini, R.P.","1022","Rio Vermelho. Trilhos, Próx. à URVE.","-49.309811","-26.311467","voucher","FURB 48405",NA,NA
"5","2019-12-19 08:08:01-03","FPS","FPS","1868","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2010","08","29","Brasil","Santa Catarina","São Bento do Sul","-49.276775","-26.362928",NA,NA,NA,NA,NA,"Schwirkowski, P.","2010","08","29",NA,"FPS01868","FPS01868_v01 FPS01868_v02","Schwirkowski, P.",NA,"Rio Natal - Trilha do Parque das Aves","-49.276775","-26.362928",NA,NA,NA,NA
"6","2019-12-19 08:08:01-03","FPS","FPS","258","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2015","11","26","Brasil","Santa Catarina","São Bento do Sul","-49.321661","-26.295227",NA,NA,NA,NA,NA,"Schwirkowski, P.","2014","10","18",NA,"FPS00258","FPS00258_v01 FPS00258_v02","Romanini, R.P.","467","Rio Vermelho - Trilhos próximo à URVE","-49.321661","-26.295227",NA,NA,NA,NA
"7","2019-12-19 08:08:01-03","FPS","FPS","2932","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2017","09","02","Brasil","Santa Catarina","São Bento do Sul","-49.304029","-26.341313",NA,NA,NA,NA,NA,"Schwirkowski, P.","2017","09","02",NA,"FPS02932,FURB55845","FPS02932_v01 FPS02932_v02 FPS02932_v03 FPS02932_v04 FPS02932_v05 FURB55845","Schwirkowski, P.","2359","Rio Natal. Linha férrea. Rabo do Macaco","-49.304029","-26.341313","voucher","FURB 55845",NA,NA
"8","2019-12-19 08:08:01-03","FPS","FPS","930","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2015","11","26","Brasil","Santa Catarina","São Bento do Sul","-49.306137","-26.341701",NA,NA,NA,NA,NA,"Schwirkowski, P.","2015","08","22",NA,"FPS00930,CESJ070892,FURB48559","FPS00930_v01 FPS00930_v02 FPS00930_v03 FPS00930_v04 FURB48559","Romanini, R.P.","1193","Rio Natal. Trilhos, Rabo do Macaco.","-49.306137","-26.341701","voucher","FURB 48559, CESJ 70892",NA,NA
"9","2019-08-27 13:25:13-03","IAP","PACA-AGP","29867","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2019","02",NA,"Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611","21601",NA,"VULNERÁVEL Habitat: in silva primaeva ad arbores Fenofase: fruto","auto","Liliatae","E. Friderichs","1945","05","21",NA,"PACA029867",NA,"Romanini, R.P.",NA,"Kappesberg",NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:00:04-03","FURB","FURB","55845","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","winkleri","Aechmea winkleri","Reitz","2017","09","02","Brasil","Santa Catarina","São Bento do Sul","-49.3041667","-26.3413889",NA,NA,"Flores amarelas. Interior da mata Habitat: CIófita Habito: Epífita",NA,NA,"Schwirkowski, P.","2017","09","02",NA,"FURB55845","FURB55845","Schwirkowski, P.","2359","Rio Natal. Linha férrea. Rabo do Macaco. Descendo os trilhos, sentido Igreja de Rio Natal.","-49.3041667","-26.3413889",NA,NA,"600","600"
