"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","class","order","coordinatePrecision","geoFlag","continentOcean","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","infraspecificEpithet","monthIdentified","dayIdentified","individualCount","fieldNumber","preparationType"
"1","2020-06-29 11:29:49-03","UFRJ","RFA","38521","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","N. C. Machado; T. U. P. Konno","118","2010","05","21","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba. Próximo a lagoa Catingosa. Poça 15 (próximo a casa abandonada)","-41.241944","-22.103611","41º14'31''W","22º6'13''S","Ervas aquáticas, submersas livres ou levemente aderida ao substrato por seus rizóides","RFA33516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:49-03","UFRJ","RFA","38552","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","N. C. Machado; T. U. P. Konno","149","2010","08","26","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba, próximo a lagoa Piri-piri. Poça 29 (fundo da lagoa)","-41.241944","-22.103611","41º14'31''W","22º6'13''S","Erva submersa livre, as vezes aderida ao substrato por rizóides","RFA33867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:49-03","UFRJ","RFA","38560","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","N. C. Machado; T. U. P. Konno","157","2010","08","26","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba. Próximo a lagoa Catingosa. Perto de uma população de cactos","-41.241944","-22.103611","41º14'31''W","22º6'13''S","Erva submersa livre, as vezes aderida ao substrato por rizóides","RFA33866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:49-03","UFRJ","RFA","38579","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","N. C. Machado; T. U. P. Konno","177","2010","05","21","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba, próximo a lagoa Piri-piri. Poça 29 (fundo da lagoa)","-41.241944","-22.103611","41º14'31''W","22º6'13''S","Erva submersa, livre ou fixa","RFA33865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:43:46-03","UNEB","HUNEB","4344","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","Fonseca, M.R.","1053","1998","05","25","Brasil","Bahia","Seabra","Ponto 01, povoado Pastinho.","-41.7703018188477","-12.4186000823975","41W48'105''","12S42'113''",NA,"HUNEB0004344","Angiospermae","Dicotyledoneae","Florideophycidae","57155","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:36:43-03","EAO","IAN","39510","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","Bartlett, HH","17294","1941","05","06","Haiti",NA,NA,"Vicinity of large springs at source of Rivieré Tissier. Grand'Anse Valey, near Mare Franc, 6km southeast of Jéremie, southern peninsula.",NA,NA,NA,NA,NA,"IAN039510","Dicotiledônea",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2013-07-03 10:37:51-03","EBDA","BAH","8090","S","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","S. Chowdhury",NA,"1959","11",NA,"India",NA,"Delhi","Najafgarh",NA,NA,NA,NA,"An aqatic herb. Rainfall 20-25",NA,NA,NA,NA,NA,NA,NA,"Self","610","610",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:07:35-03","CPAN-UFMS","COR","2159","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","Mauro, R. A.","27","1987","09","20","Brasil","Mato Grosso do Sul","Corumbá","Fazenda Primavera","-57.593611","-19.360278","57º35'37''W","19º21'37''S","Herbáceo submerso Habito: Herbáceo submerso",NA,NA,NA,NA,NA,NA,NA,NA,"89","89",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:07:35-03","CPAN-UFMS","COR","2107","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","Mendes, C. R.; Bueno, N. R.; Ishii, I. H. & Damasceno-Júnior, G. A.","52","1990","11","01","Brasil","Mato Grosso do Sul","Corumbá","Baía do Jacadigo","-57.827222","-19.203611","57º49'38''W","19º12'13''S","Aquática submersa Habito: Aquática submersa",NA,NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 21:31:57-03","UFBA","ALCB","13694","PreservedSpecimen","Plantae","Ceratophyllaceae","Ceratophyllum","demersum","Ceratophyllum demersum","L.","s.col.","PHs/n","1839","09",NA,"França",NA,"Paris","St. Denis",NA,NA,NA,NA,NA,"ALCB013923","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB013923",NA,NA,NA,NA,NA,NA,NA
