"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","occurrenceRemarks","phylum","order","yearIdentified","monthIdentified","dayIdentified","recordNumber","coordinatePrecision","individualCount","geoFlag","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus"
"1","2021-04-05 14:25:27-03","UNESC","CRI","4786","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","Daniel B. Falkenberg","V. Citadini-Zanette; A. Zanette","1996","04","30","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI003989","CRI003989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:38-03","UNESC","CRI","15125","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnel","Renato Colares","Renato Colares; Felipe Patel & Jader Lima Pereira","2016","08",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.454444","-28.5375","49º27'16''W","28º32'15''S","CRI014539","CRI014539","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:38-03","UNESC","CRI","15188","PreservedSpecimen","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A.St.-Hil.) Donnel","Renato Colares","Renato Colares; Jader Lima Pereira","2016","11",NA,"Brasil","Santa Catarina","Siderópolis","Lote 42.","-49.451944","-28.570833","49º27'7''W","28º34'15''S","CRI014603","CRI014603","Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3579","S","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A. St.Hil.) Donnel","Carlos A. Ferreira Jr.","Carlos Alberto Ferreira Júnior; Ana Claudia","2015","04","04","Brasil","Minas Gerais","Nova Lima","Corrego do Cardoso, Fundo do Condomínio Ouro Velho.","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"254","Magnoliophyta","Malvales","2015","04","06","CAF1543","29211","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2392","S","Plantae","Malvaceae","Callianthe","rufinerva","Callianthe rufinerva","(A. St.Hil.) Donnel","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandes, Juliana Ordones","2012","04","17","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 07S","43º 42' 05W",NA,NA,"254","Magnoliophyta","Malvales","2012","04","17","CAF498","26557","1","auto","1329","1329",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00942125","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.",NA,"A. P. Duarte","1962","02","16","Brazil","Minas Gerais","Carandaí",NA,"-43.8064","-20.9536",NA,NA,"NY00942125","NY00942125_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023724' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"6345",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00942118","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.",NA,"J. Ball","1882",NA,NA,"Brazil","Rio de Janeiro","Petrópolis",NA,"-43.1783","-22.505",NA,NA,"NY00942118","NY00942118_01 NY00942118_02","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023699' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","393905","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","P. A. Fryxell","L. de S. Leoni","1992","07",NA,"Brazil","Minas Gerais",NA,"Carangola - Serra da Araponga - Fazenda Nablina - Parque Estadual","-42.48","-20.72",NA,NA,"NY00393905","NY00393905_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249593' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"1898",NA,NA,NA,"1300","1300","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942117","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.","A. Krapovickas","H. S. Irwin","1971","01","16","Brazil","Minas Gerais",NA,"Serra do Espinhaço, middle slopes of Serra da Piedade, ca. 40 km E. of Belo Horizonte, BR-31","-43.67613","-19.82237",NA,NA,"NY00942117","NY00942117_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023692' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"30503",NA,NA,NA,"1800","1800","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00942119","PreservedSpecimen","Plantae","Malvaceae","Abutilon","rufinerve","Abutilon rufinerve","A.St.-Hil.",NA,"A. F. Regnell","1862","06",NA,"Brazil","Minas Gerais","Caldas",NA,"-46.3858","-21.9236",NA,NA,"NY00942119","NY00942119_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023702' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malvales",NA,NA,NA,"I.14",NA,NA,NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
