"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","individualCount","typeStatus","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01194873","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","J. G. Rohwer","I. L. do Amaral","282","1982","11","01","South America","Brazil","Amazonas","Maraã","Rio Japurá, margem direita.","-66.8767405","-1.8362477","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303103' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194873","NY01194873_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","472195","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","H. H. van der Werff","D. C. Daly","9711","1998","03","22","South America","Brazil","Acre","Brasiléia","Basin of Rio Purus, upper Rio Acre, left bank.","-69.02306","-10.98528","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472195","NY00472195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2012-02-01 09:24:00-02","MO","MOBOT","100285960","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","H. van der Werff (MO)","Manuel Rimachi Y.","Rimachi Y. 4112","1978","11","30","South America","Peru","San Martín","San Martín","Dtto. Tarapoto. Carretera de Tarapoto a Yurimaguas, km 9 to 13.",NA,NA,NA,NA,NA,NA,"685.80000000","1",NA,NA,NA,NA,NA,NA,NA
"4","2014-04-08 05:36:00-03","MO","MOBOT","1807031","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","J.G. Rohwer","Ieda L. do Amaral|C.A. Cid Ferreira|José Guedes|J. Lima","Amaral 338","1982","5","11","South America","Brazil","Amazonas",NA,"Município de Maraã, rio Japurá, margem di reita, Ati Paraná. Mata de várzea, solo argilo-arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","1807222","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","H. van der Werff (MO)","Douglas C. Daly","Daly 9711","1998","3","22","South America","Brazil","Acre",NA,"Mun. Brasiléia: Basin of Rio Purus, upper Rio Acre, left bank. Forest on low levees and backsloping terraces that are inundated supra-annually. Canopy discontinuous, understory with high density of Heliconia and Marantaceae.","-69.17638","-10.95694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-04-08 05:36:00-03","MO","MOBOT","1807228","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","J.G. Rohwer (HBG)","Ieda L. do Amaral|C.A. Cid Ferreira|José Guedes|J. Lima","Amaral 282","1982","11","1","South America","Brazil","Amazonas",NA,"Município de Maraã, rio Japurá, margem direita. Mata de várzea, solo argilo-arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-08-31 09:11:19-03","INPA","INPA","106721","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer",NA,"Amaral, IL do","338","1982","11","05","Southern America","Brasil","Amazonas","Maraã","Rio Japurá, Paraná, Rio Japurá, margem direita, Ati Paraná. Mata de váezea, solo argilo-arenoso.","-66.934922","-2.271169",NA,NA,"INPA0106721","INPA0106721 INPA0106721_e INPA0106721_nd",NA,NA,NA,"-66.934922","-2.271169",NA,NA,NA,NA
"8","2020-08-31 09:11:19-03","INPA","INPA","106664","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer","Rohwer, JG","Amaral, IL do","282","1982","11","01","Southern America","Brasil","Amazonas","Maraã","Rio Japurá, Rio Japura, margem direita. mata de varzea, solo argilo-arenoso.","-66.876741","-1.836248",NA,NA,"INPA0106664","INPA0106664 INPA0106664_e",NA,NA,NA,"-66.876741","-1.836248",NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3198845","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer",NA,"I. L. Amaral, C. A. Cid Ferreira, J. Guedes & J. Lima","338","1982","11","5","South America - Neotropics","Brazil","Amazonas","Maraã","Rio Japura, Margem di Reita, ati Parana.","-65.5811004638672","-1.85610997676849",NA,NA,"US00432977","US00432977_01",NA,"1","Isotype",NA,NA,"Dicotyledonae","297241","auto",NA
"10","2020-09-12 05:00:02-03","US","US","3198844","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","grisea","Nectandra grisea","Rohwer",NA,"I. L. Amaral, C. A. Cid Ferreira, J. Guedes & J. Lima","282","1982","11","1","South America - Neotropics","Brazil","Amazonas","Maraã","Rio Japurá, margem direita.","-65.5811004638672","-1.85610997676849",NA,NA,"US01321801","US01321801_01",NA,"1",NA,NA,NA,"Dicotyledonae","297241","auto",NA
