"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","locality","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","504054","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","A. F. M. Glaziou","786","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504054","NY00504054_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504048","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","G. Gardner","111","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504048","NY00504048_01","1836","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504053","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","M. Gay",NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504053","NY00504053_01","1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","822937","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","J. C. Lindeman","3262","South America","Brazil","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822937","NY00822937_01","1966","By Rodovia do café near Califórnia.","W. Punt","11","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617449","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","W. J. Burchell",NA,"South America","Brazil",NA,"sheet","Cat. Pl. Bras. trop. 31, 12, 25 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617449","NY00617449_01",NA,"Brasilia","L. C. M. Croizat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1039369","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","R. C. C. Reis","225","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485624' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039369","NY01039369_01","2002","Búzios, Bairro da Rasa. Sitio Tauá.","A. S. de Oliveira","01","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504049","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","M. Weddell","1843","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504049","NY00504049_01","1843","Environs de Rio-Janeiro",NA,NA,NA,"Rio de Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504042","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","J. P. P. Carauta","248","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734552' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504042","NY00504042_01","1965","Guanabara. Pao de Açúcar, Costao, na escarpa do 3o lance","G. L. Webster","01","31","Rio de Janeiro","-43.2075","-22.9031","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","822939","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","J. C. de Moraes Vasconcelos","2072","South America","Brazil","Paraíba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822939","NY00822939_01",NA,"Em regiões sêcas.","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504052","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","compressus","Croton compressus","Lam.","G. Gardner","111","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504052","NY00504052_01","1836",NA,NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
