"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","decimalLongitude","decimalLatitude","imagecode","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4189116","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","Y. E. J. Mexia","6514","1932","02","10","South America","Peru","Loreto","Maynas","Iquitos. Iquitos; road Gonzal-Vijil","110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518738' target='other'> <mi>dwc_moreinfo</mi></a>","NY04189116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4189126","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","R. S. Williams","437","1902","01","28","South America","Bolivia",NA,NA,"Jumupasa","549","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518748' target='other'> <mi>dwc_moreinfo</mi></a>","NY04189126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","440151","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","G. G. Hatschbach","35624","1974","12","13","South America","Brazil","Paraná","Morretes","Ilha do Malha",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440151","J. Fontella Pereira","-48.8342","-25.4769","NY00440151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440149","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","G. G. Hatschbach","58507","1993","01","08","South America","Brazil","Paraná","Guaratuba","Serra da Prata, encosta ocidental","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440149","J. Fontella Pereira","-48.5744","-25.8831","NY00440149_01","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4189125","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","B. A. Krukoff","11145","1939","10","08","South America","Bolivia","La Paz","Larecaja","Copacabana (about 10 km south of Mapiri)","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518747' target='other'> <mi>dwc_moreinfo</mi></a>","NY04189125",NA,NA,NA,NA,"950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440154","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","S. A. Mori","8901","1977","01","12","South America","French Guiana",NA,NA,"New Road to Brazil (Route de L'est). 16-20 kms S of the Bridge over the Compté River. 61-65 kms S of Cayenne",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440154","G. N. Morillo",NA,NA,"NY00440154_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4189134","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","A. H. Gentry","14322","1975","06","23","South America","Venezuela","Táchira",NA,"Between Quebrada Grande and El Nula, border with Apure","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518756' target='other'> <mi>dwc_moreinfo</mi></a>","NY04189134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440153","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","J. A. Steyermark","123262","1980","06","03","South America","Venezuela","Zulia",NA,"Cerro Los Manantiales, forested uppermost slopes and ridges, east of Río Guanare, west of Hacienda Los Manantiales, on property of professor Morales, 12 km west of Corpozulia Campamento Carichuano","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440153","W. D. Stevens","-72.3417","11.02",NA,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4189117","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","S. F. Smith","1443","1989","01","20","South America","Peru","Madre de Dios",NA,"Edge of Laguna Cocacocha, 5.2 km down the Main Trail. Explorer's Inn, near confluence of Rio Tambopata and Rio La Torre, 39 km SW of Puerto Moldonado",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4518739' target='other'> <mi>dwc_moreinfo</mi></a>","NY04189117",NA,"-69.33","-12.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02058060","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","S. E. Hoyos Gómez","2379","2013","05","08","South America","Colombia","Antioquia","Urrao","Camino entre Cruces y la escuela de Calles, márgen izquierda del río Calles, Parque Nacional Natural Las Orquídeas. Bosque perturbado al lado del camino.","960","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2165104' target='other'> <mi>dwc_moreinfo</mi></a>","NY02058060","J. F. Morales Quirós","-76.2928","6.4883","NY02058060_01","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01527988","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tassadia","obovata","Tassadia obovata","Decne.","J. Salick","7348","1986","04","01","South America","Peru","Pasco","Oxapampa","Central Selva, Palcazu Valley. Iscozacin along the Palcazu River above PEPP Project Camp",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=60564' target='other'> <mi>dwc_moreinfo</mi></a>","NY01527988","W. D. Stevens","-75.2","-10.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
