"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","locality","preparationType","occurrenceRemarks","imagecode","class","order","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-30 12:45:19-03","EAO","IAN","94153","PreservedSpecimen","Plantae","Dicotiledônea","Moraceae","Dorstenia","alberti","Dorstenia alberti","Carauta, C.Valente & Sucre","Carauta, JPP","1978","10","Glaziou, AFM","s.n.","Southern America","Brasil","IAN094153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:31:51-03","MN","R","39180","PreservedSpecimen","Plantae",NA,"Moraceae","Dorstenia","albertii","Dorstenia albertii","Carauta, C. Valente & Sucre","Vianna-Filho, M.D.M.","2011",NA,"Vidal, J.","69",NA,"Brasil",NA,"1924","12","13","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-08-01 11:40:09-03","MNHN","RECOLNAT_MNHN_P","P06828936","PreservedSpecimen",NA,NA,"Moraceae","Dorstenia","albertii","Dorstenia albertii","Carauta, C.Valente & Sucre",NA,NA,NA,"s.c.",NA,NA,"Brasil","P06828936","1822","12","1",NA,"Pr St Anna. Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06828936' target='other'> <mi>dwc_moreinfo</mi></a>","P06828936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-04 11:17:40-03","UEFS","HUEFS","163026","PreservedSpecimen","Plantae","Angiospermae","Moraceae","Dorstenia","alberti","Dorstenia alberti","Carauta, C Valente & Sucre",NA,NA,NA,"Machado, A.F.P.","879",NA,"Brasil","HUEFS0163026","2009","05",NA,"Espírito Santo","Entre Monte Cristo e Burarama Florestinha",NA,NA,"HUEFS0163026","Rosanae","Rosales","Alegre","-41.5331001281738","-20.763599395752","26101","auto",NA,NA,NA
"5","2021-03-04 11:17:40-03","UEFS","HUEFS","163025","PreservedSpecimen","Plantae","Angiospermae","Moraceae","Dorstenia","alberti","Dorstenia alberti","Carauta, C Valente & Sucre",NA,NA,NA,"Machado, A.F.P.","878",NA,"Brasil","HUEFS0163025","2009","05",NA,"Espírito Santo","Entre Monte Cristo e Burarama Florestinha",NA,NA,"HUEFS0163025","Rosanae","Rosales","Alegre","-41.5331001281738","-20.763599395752","26101","auto",NA,NA,NA
"6","2021-03-04 11:17:40-03","UEFS","HUEFS","163024","PreservedSpecimen","Plantae","Angiospermae","Moraceae","Dorstenia","alberti","Dorstenia alberti","Carauta, C Valente & Sucre",NA,NA,NA,"Machado, A.F.P.","877",NA,"Brasil","HUEFS0163024","2009","05",NA,"Espírito Santo","Entre Monte Cristo e Burarama Florestinha",NA,NA,"HUEFS0163024","Rosanae","Rosales","Alegre","-41.5331001281738","-20.763599395752","26101","auto",NA,NA,NA
"7","2021-03-04 11:17:40-03","UEFS","HUEFS","163023","PreservedSpecimen","Plantae","Angiospermae","Moraceae","Dorstenia","alberti","Dorstenia alberti","Carauta, C Valente & Sucre",NA,NA,NA,"Machado, A.F.P.","876",NA,"Brasil","HUEFS0163023","2009","05",NA,"Espírito Santo","Entre Monte Cristo e Burarama Florestinha",NA,NA,"HUEFS0163023","Rosanae","Rosales","Alegre","-41.5331001281738","-20.763599395752","26101","auto",NA,NA,NA
"8","2019-09-05 17:05:01-03","F","FMNH-SEEDPLANTS","V0064382F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Dorstenia","alberti","Dorstenia alberti",NA,NA,NA,NA,"J. P. P. Carauta","1667","South America","Brazil","V0064382F","1973","9","21","Rio de Janeiro",NA,NA,NA,"V0064382F_01","Dicotyledoneae",NA,"Guanabara","-43.1667","-22.8333",NA,NA,NA,NA,NA
"9","2020-07-23 12:15:03-03","CEPLAC","CEPEC","91363","PreservedSpecimen","Plantae",NA,"Moraceae","Dorstenia","albertii","Dorstenia albertii",NA,"R. M. de Castro",NA,NA,"W. W. Thomas","12745",NA,"Brasil",NA,"1975","11","05","Bahia","Faz Capitão, 7.9Km ao W da junção Rod. BA-001Itacaré/Ubaitaba.Maa ao longo do Riacho do Capitão.",NA,NA,NA,NA,NA,"ITACARÉ","-39.083333","-14.333333",NA,NA,"39W5'","14S20'","30/03/2004"
"10","2020-07-23 12:15:03-03","CEPLAC","CEPEC","8074","PreservedSpecimen","Plantae",NA,"Moraceae","Dorstenia","albertii","Dorstenia albertii",NA,"R. M. de Castro",NA,NA,"T. S. dos Santos","2154",NA,"Brasil",NA,"1971","11","16","Bahia","Barragem do Funil.",NA,NA,NA,NA,NA,"GONGOGI","-39.4646987915039","-14.3221998214722","25835","auto",NA,NA,"30/09/2005"
"11","2020-12-30 07:48:26-03","IBt","SP","430394","S","Plantae",NA,"Moraceae","Dorstenia","albertii","Dorstenia albertii","Carauta, C.Valente & Sucre",NA,NA,NA,"Vianna Filho, MDM","2004",NA,"Brasil",NA,"2009","09","25","Espírito Santo",NA,NA,NA,NA,NA,NA,"Mimoso do Sul","-41.3664016723633","-21.0641994476318","29430","auto",NA,NA,NA
