"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","occurrenceRemarks","phylum","monthIdentified","dayIdentified","coordinatePrecision","imagecode","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","continentOcean","typeStatus","fieldNumber","preparationType","previousCatalogNumber"
"1","2020-11-13 09:20:27-03","UFRJ","RFA","42899","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","thereziae","Capanemia thereziae","Barb.Rodr.","M.S. Wängler","2013","M.S. Wängler","1428","2013","08","11","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, estrada Palmares - Catete (MP)","-43.364722","-22.464722","43º21'53''W","22º27'53''S","RFA38904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:27-03","UFRJ","RFA","42897","PreservedSpecimen","Plantae","Orchidaceae","Capanemia","thereziae","Capanemia thereziae","Barb.Rodr.","M.S. Wängler","2013","M.S. Wängler","1334","2013","05","22","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares","-43.373333","-22.446944","43º22'24''W","22º26'49''S","RFA38899","Flores verde-amareladas, 2 lobos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:36-03","PUCPR","HUCP","17753","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.","Kersten, RA","2004","Kersten, RA","1145","2004","10","07","Brasil","Paraná","Antonina",NA,"-48.7118988037109","-25.4286003112793",NA,NA,"HUCP00002471",NA,"Monocotiledonea","10","07","38300","HUCP00002471","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:36-03","PUCPR","HUCP","19636","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.",NA,NA,"Kersten, RA","1297","2007","10","05","Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00002492",NA,"Monocotiledonea",NA,NA,"55154","HUCP00002492","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:36-03","PUCPR","HUCP","19832","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.","Kersten, RA",NA,"Kersten, RA","1316","2008","08","10","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00002483",NA,"Monocotiledonea",NA,NA,"25180","HUCP00002483","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:36-03","PUCPR","HUCP","1516","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.","Acra, LA","1986","Lohmann, L","008",NA,NA,NA,"Brasil","Paraná","Curitiba","Mercês","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00002458",NA,"Monocotiledonea","09","04","25180","HUCP00002458","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:36-03","PUCPR","HUCP","8618","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.","Jaszczerski, JC",NA,"Lohmann, L","008","1986","09","04","Brasil","Paraná","Curitiba","Mercês","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"Monocotiledonea",NA,NA,"25180",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:36-03","PUCPR","HUCP","20507","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.",NA,NA,"Kersten, RA","s.n.","2007","01",NA,"Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00002524",NA,"Monocotiledonea",NA,NA,"24916","HUCP00002524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:36-03","PUCPR","HUCP","24774","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.","Kersten, RA","2017","Kersten, RA","1720","2017","08","10","Brasil","Paraná","Piraquara","Parque Estadual do Marumbi, núcleo Cayuguava","-49.0633010864258","-25.4416999816895",NA,NA,"HUCP00024774","Ecótono FOM-FOD. Epífita, flores verdes. 1050m s.n.m.","Monocotiledonea","08","10","12577","HUCP00024774","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:36-03","PUCPR","HUCP","1515","S","Plantae","Orchidaceae","Capanemia","therezae","Capanemia therezae","Barb. Rodr.","Acra, LA","1986","Beger, I","003",NA,NA,NA,"Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00002503",NA,"Monocotiledonea","09","07","45291","HUCP00002503","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
