"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","class","order","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1076534","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.","isotype","P. D. Hegewald","7354","1973","09","16","South America","Peru","Cajamarca","Contumazá","Tunnel beim Cerro Ludén /Co. Nuden zw. Contumaza u. Cascas.","2400","2400","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210892' target='other'> <mi>dwc_moreinfo</mi></a>","NY01076534","NY01076534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-24 17:11:09-03","UTFPR","DVPR","2114","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Vieira, CF; et al.","01","2014","04","26",NA,"Brasil","Paraná","Dois Vizinhos","Parque Ecológico Jirau Alto","480","480",NA,"Epixílica","DVPR002114",NA,"Ristow, R; Peralta, DF","2014","05","26","-53.030196","-25.450905","-53.030196","-25.450905",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:27:07-03","UFBA","ALCB","119599","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Rodrigues, K","51","2015","01","18","Southern America","Brasil","Bahia","Itaberaba","Serra do Orobó, Fazenda Gameleira, após a Fazenda Monte Verde","100","752",NA,NA,NA,NA,"Vilas Bôas-Bastos, SB",NA,NA,NA,"-40.535833","-12.408333","-40.535833","-12.408333",NA,NA,NA,NA,NA,NA
"4","2021-02-08 21:33:33-03","UFBA","ALCB","96805","PreservedSpecimen","Plantae","Marchantiophyta","Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Reis, LC","515","2011","01","14","Southern America","Brasil","Bahia","Wenceslau Guimarães","Estação Ecológica Estadual de Wenceslau Guimarães, Ponto 77/76, Parcela 01",NA,NA,NA,"Corticícolo",NA,NA,NA,NA,NA,NA,"-39.706944","-13.578333","-39.706944","-13.578333",NA,NA,NA,NA,NA,NA
"5","2019-05-02 10:54:46-03","IBt","SP-BRYOPHYTA","181322","S","Plantae",NA,"Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","5828","1983","01","24","Southern America","BRASIL","Rio Grande do Sul","Caçapava do Sul","Praça Rosa Guedes","450","450",NA,"Sobre tronco vivo de Ligustrum sp.","SP082704",NA,NA,NA,NA,NA,"-53.491389","-30.512222","-53.491389","-30.512222",NA,NA,NA,NA,NA,NA
"6","2019-05-02 10:54:46-03","IBt","SP-BRYOPHYTA","181949","S","Plantae",NA,"Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Yano, O.; Pirani, J.R.","6874","1983","04","25","Southern America","BRASIL","Rio Grande do Sul","Camargo","Estrada Camargo-Candelaria","430","430",NA,"Sobre tronco vivo de Citrus sp.","SP083650",NA,NA,NA,NA,NA,"-52.201944","-28.587222","-52.201944","-28.587222",NA,NA,NA,NA,NA,NA
"7","2019-05-02 10:54:46-03","IBt","SP-BRYOPHYTA","181970","S","Plantae",NA,"Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Yano, O.; Pirani, J.R.","6895","1983","04","25","Southern America","BRASIL","Rio Grande do Sul","Venâncio Aires","Praça Matriz","50","50",NA,"Sobre tronco vivo de Ligustru sp.","SP083671",NA,NA,NA,NA,NA,"-52.191944","-29.606389","-52.191944","-29.606389",NA,NA,NA,NA,NA,NA
"8","2016-12-17 16:00:00-02","MO","MOBOT","100943736","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Julian A. Steyermark|Victor Carreño E.","Steyermark 111467","1975","3","22","South America","Venezuela","Yaracuy",NA,"Selva nublada, El Amparo, 7-11 km. al norte de Salom, Distrito Nirgua.","1200.00000000","1300.00000000",NA,NA,NA,NA,"D.P. Costa",NA,NA,NA,"-68.4666667","10.2166667",NA,NA,"1",NA,NA,NA,NA,NA
"9","2019-06-15 04:36:00-03","MO","MOBOT","90072572","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.","Holotype","Pirkko Hegewald|Eberhard Hegewald","Hegewald 7354","1973","9","16","South America","Peru","Cajamarca","Contumazá","Tunnel near Cerro Nuden zw. Cascas u. Contumazá. <7351-7374>","2000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-78.8166667","-7.4333333",NA,NA,"1","73-95",NA,NA,NA,NA
"10","2013-11-26 05:40:00-02","MO","MOBOT","90245725","PreservedSpecimen","Plantae",NA,"Metzgeriaceae","Metzgeria","hegewaldii","Metzgeria hegewaldii","Kuwah.",NA,"Reinaldo Lozano","Lozano 2958","2007","9","6","South America","Bolivia","Chuquisaca","Sud Cinti","Medio día de camino al nordeste de Orocoté. Cañón subhúmedo Bosque Tucumano-Boliviano, con Myrtáceas, Leguminosas. <2950-2970>","1184.00000000",NA,NA,NA,NA,NA,"D.P. Costa, Dic",NA,NA,NA,"-64.235","-20.77416",NA,NA,"3",NA,NA,NA,NA,NA
