"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1738378","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","B. S. Amorim; A. R. L. Lourenço",NA,"B. S. Amorim","2012","01",NA,"Brazil","Pernambuco",NA,"-35.7533","-8.3272",NA,NA,"NY01738378","NY01738378_01","Magnoliophyta","Myrtales","1338","South America","Camocim de São Félix. Fazenda Nossa Sra. de Nazaré.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2012975' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00907594","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","C. M. D. E. Legrand",NA,"H. S. Irwin","1966","03","08","Brazil","Goiás","Cristalina","-47.45932","-16.75",NA,NA,"NY00907594","NY00907594_01","Magnoliophyta","Myrtales","13770","South America","Serra dos Cristais, ca. 15 km E. of Cristalina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986706' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02629640","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.",NA,NA,"B. S. Amorim","2009","03","12","Brazil","Pernambuco","Igarassu","-34.9819","-7.7525",NA,NA,"NY02629640","NY02629640_01","Magnoliophyta","Myrtales","426","South America","Borda da mata, Mata de Vespas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2893109' target='other'> <mi>dwc_moreinfo</mi></a>","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1738168","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","A. R. L. Lourenço",NA,"P. da C. Gadelha Neto","2009","04","30","Brazil","Paraíba",NA,"-34.9808","-6.4958",NA,NA,"NY01738168","NY01738168_01","Magnoliophyta","Myrtales","2588","South America","Mataraca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1971117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02098344","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","A. R. L. Lourenço",NA,"P. da C. Gadelha Neto","2010","03","19","Brazil","Paraíba","João Pessoa","-34.8630981445312","-7.11499977111816",NA,NA,"NY02098344","NY02098344_01","Magnoliophyta","Myrtales","2763","South America","Parque Estadual do Jacarapé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2479672' target='other'> <mi>dwc_moreinfo</mi></a>","28",NA,"15975","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","519465","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","M. Sobral",NA,"A. M. V. de Carvalho","1994","03","16","Brazil","Bahia","Una","-39.0753","-15.2933",NA,NA,"NY00519465","NY00519465_01","Magnoliophyta","Myrtales","4432","South America","Ca. 5 km da entrada da Reserva Biológica de Una-IBAMA (entrada no km 46 da BA 001 Ilhéus/Una)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479419' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01197855","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","candolleana","Eugenia candolleana","DC.","B. S. Amorim",NA,"P. Fiaschi","2004","03","18","Brazil","Bahia","Uruçuca","-39.115","-14.4997",NA,NA,"NY01197855","NY01197855_01","Magnoliophyta","Myrtales","2063","South America","Estrada de Serra Grande para Uruçuca. Área do inventário do plano de manejo do Parque Estadual da Serra do Conduru. Mata da torre do celular","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105205' target='other'> <mi>dwc_moreinfo</mi></a>","380","380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","579824","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","christovana","Eugenia christovana","Kiaersk.","G. M. Barroso; E. F. Guimarães",NA,"A. P. Duarte","1961","10","15","Brazil","Rio de Janeiro",NA,"-43.274528","-22.95583",NA,NA,"NY00579824","NY00579824_01","Magnoliophyta","Myrtales","9884","South America","Estado da Guanabara, Matas da Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45754' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","579822","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","christovana","Eugenia christovana","Kiaersk.","J. Mattos",NA,"J. R. Mattos","1961","03","10","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00579822","NY00579822_01","Magnoliophyta","Myrtales","s.n.","South America","Ign. cultiv. in Sao Paulo.","sheet","Col. Ign. leg. in cult. J. Mattos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45758' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","579826","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","christovana","Eugenia christovana","Kiaersk.",NA,NA,"I. A. Rodrigues","1977","04","13","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9028",NA,NA,"NY00579826","NY00579826_01","Magnoliophyta","Myrtales","40","South America","Ampa da Praia Vermelha encostado ao morro do Pao de Açúcar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45759' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
