"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","579577","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.","L. R. Landrum","G. G. Hatschbach","30558","1972","10","26","South America","Brazil","Paraná","Antonina","Rio Copiuva","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579577","NY00579577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579579","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.","L. R. Landrum","R. Kummrow","1687","1982","01","19","South America","Brazil","Paraná","Cerro Azul","Sete Quedas","-49.2608","-24.8236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579579","NY00579579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579657","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.","L. R. Landrum","H. de F. Leitão Filho","13143","1981","11","07","South America","Brazil","São Paulo","Jundiaí","Nativo em mata na Serra do Japi.","-46.88","-23.1803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579657","NY00579657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579576","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.","L. R. Landrum","G. G. Hatschbach","61478","1994","12","08","South America","Brazil","Paraná","Doutor Ulysses","Rio Turvo","-49.4194","-24.5683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579576","NY00579576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579578","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.","L. R. Landrum","J. e. A. Simoes","31",NA,NA,NA,"South America","Brazil","São Paulo","Brotas","Fazenda N. F. da Gloria, Brotos.","-48.1197","-22.2803","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579578","NY00579578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","4723","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O. Berg) Nied.","Faria Jr., J.E.R.","Mira, J.R.R.","37","1974","10","06",NA,"Brasil","São Paulo","São Manuel",NA,NA,NA,NA,NA,"BOTU004723",NA,"2010","12","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","4722","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O. Berg) Nied.",NA,"Garcia, W.","29","1974","10","06",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,NA,"BOTU004722",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:09:32-03","UNESP-IBB","BOTU","25123","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O. Berg) Nied.",NA,"Pilla, M.A.C.","241","2004","10","10",NA,"Brasil","São Paulo","Natividade da Serra",NA,"-45.25","-23.416667",NA,NA,"BOTU025123",NA,NA,NA,"45°15'w","23°25's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:20-03","UFRJ","RFA","29935","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.",NA,"Flávio Brito Pereira","37/139","2002","01","06",NA,"Brasil","Rio de Janeiro","Rio Claro",NA,"-44.1356010437012","-22.7231006622314",NA,"Arbórea, 7m de altura, 17cm de DAP, folha verde e fruto amarelo.","RFA41958",NA,NA,NA,"44º8'70''E","22º51'93''S","27045","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:51-03","UTFPR","DVPR","374","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Nied.","Sobral, M","Torezan, JMD","1","1989","11","04",NA,"Brasil","São Paulo","Iporanga","Bairro Betari, estrada do Córrego Seco","-48.5900001525879","-24.5799999237061",NA,"Árvore 4 m, flores vistosas, alvas, odoríferas.","DVPR000374","DVPR000374","2009","07",NA,NA,"38740","auto","31",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:45:46-03","EAO","IAN","110670","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Campomanesia","neriiflora","Campomanesia neriiflora","(O.Berg) Legrand","Legrand, CDR","Rodrigues, WA","354","1956","12","15","Southern America","Brasil","Amazonas",NA,"Rio Urubu, roça Vista Alegre.",NA,NA,NA,"Árvore de 10m. de altura, flores alvas com pétalas externamente manchadas de róseo, aromáticas.","IAN110670",NA,"1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
