"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00878086","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","L. R. Noblick","E. P. Heringer","2377","1979","10","10","South America","Brazil","Goiás","Estrada Alto Paraiso-Teresina.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878086","NY00878086_01 NY00878086_02 NY00878086_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00878083","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"S. F. Glassman","13080","1976","08","31","South America","Brazil","Goiás","3 km. NE of Jataí.","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878083","NY00878083_01","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00878084","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"L. R. Noblick","5107","1996","02","06","South America","Brazil","Goiás","ca. 2 km. from first turnoff to Jataí on BR 060 across from COINBRA (factory) and CASEGO.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878084","NY00878084_01 NY00878084_02 NY00878084_03 NY00878084_04 NY00878084_05","Jataí","-51.7144","-17.8814","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00878082","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"S. F. Glassman","13080","1976","08","31","South America","Brazil","Goiás","3 km. NE of Jataí.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878082","NY00878082_01 NY00878082_02","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00878088","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"L. R. Noblick","4872","1992","05","10","South America","Brazil","Goiás","5 km. W of the entrance to the city and 5 km. E of Córrego Jataí, 8 km E of Rio Claro on BR-060, along the highway just S of Jataí.","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878088","NY00878088_01","Jataí","-51.7144","-17.8814","650","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00878090","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"S. F. Glassman","13082","1976","08","31","South America","Brazil","Goiás","3 km. NE of Jataí.","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878090","NY00878090_01","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00878087","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"L. R. Noblick","4872","1992","05","10","South America","Brazil","Goiás","5 km. W of the entrance to the city and 5 km. E of Córrego Jataí, 8 km E of Rio Claro on BR-060, along the highway just S of Jataí.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878087","NY00878087_01 NY00878087_02 NY00878087_03 NY00878087_04 NY00878087_05","Jataí","-51.7144","-17.8814","650","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00878089","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"S. F. Glassman","13082","1976","08","31","South America","Brazil","Goiás","3 km. NE of Jataí.","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878089","NY00878089_01 NY00878089_02 NY00878089_03 NY00878089_04","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00878085","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman",NA,"L. R. Noblick","5107","1996","02","06","South America","Brazil","Goiás","ca. 2 km. from first turnoff to Jataí on BR 060 across from COINBRA (factory) and CASEGO.","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=947716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878085","NY00878085_01","Jataí","-51.7144","-17.8814","690","690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:00:37-03","JBP","HPL","13196","S","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens",NA,NA,"A. Campos-Rocha","1436","2014","02","24",NA,"Brasil","SP","Coletado em cultivo no JBP.",NA,NA,NA,NA,"Nova Odessa","-47.29","-22.77",NA,NA,"8440","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-02-15 11:33:23-02","IPA","IPA","17507","S","Plantae","Plantae",NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Noblick, L.R.","Giulietti, A.M.","200","1968","10","02","Southern America","Brasil","Goiás","entre Jataí e Caiapônia, ca. 12km de Jataí. Fazenda do Sr. João Gouveia.",NA,"Cerradão.","IPA0017507",NA,NA,NA,NA,NA,NA,NA,NA,"1991",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:13:34-03","MBM","MBM","67132","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Butia","purpurascens","Butia purpurascens","Glassman","Glassman, S.","Krapovickas, A.; et al.; et al.","32582","1977","06","19","Southern America","Paraguay",NA,NA,NA,NA,"MBM067132","MBM067132 MBM067132_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
