"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","continentOcean"
"1","2020-11-04 12:17:39-03","ESALQ","ESA","13123","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Pleurothallis","carinifera","Pleurothallis carinifera","Cogn.","Udulutsch, R.G.","Moraes, P.L.R.","846.0","1993","01","01","Brasil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","ESA013123","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:04:22-03","FURB","FURB","31370","PreservedSpecimen","Plantae",NA,"Orchidaceae","Specklinia","carinifera","Specklinia carinifera","(Barb.Rodr.) Luer","Mancinelli, WS","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1747","2010","03","29","Brasil","Santa Catarina","Benedito Novo","-49.4977777","-26.9097222",NA,"FURB36373",NA,"2013","11","14","Fazenda Campo do Zinco.","-49.4977777","-26.9097222","788","788","Epífita IFFSC e689b (Acima de 4m), forófito 17. Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor branca, pintas rosas e labelo amarelo","FURB36373",NA
"3","2020-10-14 10:04:22-03","FURB","FURB","37332","PreservedSpecimen","Plantae",NA,"Orchidaceae","Specklinia","carinifera","Specklinia carinifera","(Barb.Rodr.) Luer","Caetano, JO","Caetano, J.O.",NA,"2011","10","12","Brasil","Santa Catarina","Benedito Novo","-49.4675","-26.8752778",NA,"FURB02871",NA,"2011","10","12","Sítio do Senhor Antonio Farias.","-49.4675000","-26.8752778","619","619",NA,"FURB02871",NA
"4","2020-12-21 16:38:44-03","MBM","MBM","29919","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","carinifera","Pleurothallis carinifera","Cogn.","Hatschbach, G.","Hatschbach, G.","8642","1962","11","05","Brazil","Paraná","Morretes","-48.834400177002","-25.476900100708","30514","MBM029919","auto",NA,NA,NA,"Pilão de Pedra",NA,NA,NA,NA,"Epífita.","MBM029919","Southern America"
"5","2020-12-21 16:38:44-03","MBM","MBM","29920","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","carinifera","Pleurothallis carinifera","Cogn.","Pabst, G.","Hatschbach, G.","2800","1951","03",NA,"Brazil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","MBM029920","auto",NA,NA,NA,"Matinhos",NA,NA,NA,NA,"Epífita.","MBM029920","Southern America"
"6","2020-12-21 16:38:44-03","MBM","MBM","34444","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","carinifera","Pleurothallis carinifera","Cogn.","Pabst, G.","Hatschbach, G.","35585","1974","12","08","Brazil","Paraná","Morretes","-48.834400177002","-25.476900100708","30514","MBM034444","auto",NA,NA,NA,"Alto da Serra",NA,NA,NA,NA,"Epífita.","MBM034444","Southern America"
"7","2021-02-11 17:21:00-03","UFPR","UPCB","93713","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","carinifera","Pabstiella carinifera","(Barb.Rodr.) Luer","N. Gutiérrez M.","Bolson, M. | Imig, D.C. | Caetano, J.O.","600","2016","02","04","Brasil","Santa Catarina","Benedito Novo","-49.3643989562988","-26.7828006744385","20912","UPCB0041845","auto","2018","10","10","Fazenda do Zinco/ Proprietário Egon. Coletada em Abril/ 2015 com Jader Caetano",NA,NA,NA,NA,"Amostra de DNA.. Epífita. Sépalas brancas com máculas marrom. Labelo amarelo. Flor cheirosa.","UPCB0041845",NA
"8","2021-03-25 13:53:06-03","UNIVILLE","JOI","14669","PreservedSpecimen","Plantae",NA,"Orchidaceae","Specklinia","carinifera","Specklinia carinifera","(Barb.Rodr.) Luer","Mancinelli, W. S.","Mancinelli, W.S.","1443","2010","11","20","Brasil","Santa Catarina","Joinville","-48.8456001281738","-26.3043994903564","37150","JOI014669","auto","2012","11","20","Morro da Tromba.",NA,NA,"750","750","; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Densa Montana",NA,NA
"9","2020-07-23 12:17:24-03","CEPLAC","CEPEC","127744","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","carinifera","Pabstiella carinifera",NA,"Sem Informação","Daneu, L.","332","2010","05","23","Brasil","Bahia","ALMADINA","-39.603333","-14.705833",NA,NA,NA,NA,NA,NA,"Serra do Corcovado. 9,8Km ao SW de Coarací na estrada para Almadina, daí N até a Fazenda São José. Proprietário Senhor Francisco. Parte alta da encosta.","39W36'12","14S42'21","800","800",NA,NA,NA
"10","2017-09-11 17:12:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","carinifera","Pleurothallis carinifera","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in sylvis humidis supra arbores ad Serra de Santa-Anna prov. Rio de Janeiro",NA,NA,NA,NA,"Floret Martio","P03P4N0113","Southern America"
