"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","dayIdentified","typeStatus","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","imagecode","order","preparationType","individualCount","class"
"1","2021-03-30 12:50:42-03","EAO","IAN","190257","PreservedSpecimen","Plantae","Dicotiledônea","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Shimizu, GH","2016","09","Santos, AA","3532","2011","09","05","Southern America","Brasil","Rondônia","Porto Velho","Margem esquerda do rio Mutumparaná.&nf;Ambiente: Antropizado&nf;Relevo: Plano&nf;Substrato: Solo com seixos","-64.937222","-9.615278","-64.937222","-9.615278","Fruto: Imaturos verde, maduros marrom.&nf;Árvore com 6 m de altura.&nf;Obeservação: Área de influência direta da UHE Jirau.","IAN190257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:50:42-03","EAO","IAN","74293","PreservedSpecimen","Plantae","Dicotiledônea","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Paula, JE de","1967","03","Black, GA; Cordeiro, E","14568","1952","05","26","Southern America","Brasil","Rondônia","Porto Velho","Fazenda Milagre.","-63.9039001464844","-8.76194000244141",NA,NA,"Árvore de 15 metros, folhas com verticilios, 5-8 ou mais, flor amarela, perfumada, caule algo vermelho.","IAN074293","02","holotipo","333357","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:50:42-03","EAO","IAN","77685","PreservedSpecimen","Plantae","Dicotiledônea","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula",NA,NA,NA,"Silva, JF da","14","1952","06","02","Southern America","Brasil","Rondônia","Porto Velho","Mata alta da terra firme, km 8.","-63.9039001464844","-8.76194000244141",NA,NA,"Árvore alta.","IAN077685",NA,"paratipo","333357","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:43:22-03","UNICAMP","UEC","202227","S","Plantae","Magnoliopsida","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Shimizu, GH","2018","06","Castro, W; Oliveira, EC; Alencar, MA; Lima, AS","1591","2016","06","04",NA,"Brazil","Rondônia","Porto Veho","Bacia do Rio Madeira, Reserva Extrativista do Lago do Cuniã, Margem esquerda (jusante) do Igarapé Cuniã.","-63.486389","-8.291389","-63.486389","-8.291389","Árvore 25m, cálice verde-claro e corola amarela.; Floresta Aluvial Primária com pulso inundação anual.","UEC170804","05",NA,NA,NA,"50","50","UEC170804",NA,NA,NA,NA
"5","2020-08-31 09:08:27-03","INPA","INPA","244359","S","Plantae","Dicotyledon Com-Clade","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Gonçalves, DJP; Shimizu, GH","2014","07","Amaral-Santos, A","3532","2011","09","05","Southern America","Brasil","Rondônia","Porto Velho","UHE Jirau, Margem esquerda do rio Mutumparaná.","-64.937222","-9.615278","-64.937222","-9.615278",NA,"INPA0244359",NA,NA,NA,NA,"86","86","INPA0244359 INPA0244359_e INPA0244359_num","Myrtales",NA,NA,NA
"6","2020-08-31 09:08:27-03","INPA","INPA","244545","S","Plantae","Dicotyledon Com-Clade","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Gonçalves, DJP; Shimizu, GH","2014","07","Pereira-Silva, G da","14999","2010","03","18","Southern America","Brasil","Rondônia","Porto Velho","UHE Jirau, Estrada de acesso ao porto Prainha (balsa da mineradora) próximo ao povoado Mutum Paraná.","-64.941944","-9.614722","-64.941944","-9.614722",NA,"INPA0244545",NA,NA,NA,NA,"100","100","INPA0244545 INPA0244545_e INPA0244545_num","Myrtales",NA,NA,NA
"7","2020-08-31 09:08:27-03","INPA","INPA","244847","S","Plantae","Dicotyledon Com-Clade","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Gonçalves, DJP; Shimizu, GH","2014","07","Pereira-Silva, G da","15544","2010","06","28","Southern America","Brasil","Rondônia","Porto Velho","UHE Jirau, Saída leste de Mutum Paraná, margem esquerda do rio Mutum Paraná.","-64.937222","-9.625556","-64.937222","-9.625556",NA,"INPA0244847",NA,NA,NA,NA,"90","90","INPA0244847 INPA0244847_e INPA0244847_num","Myrtales",NA,NA,NA
"8","2020-08-31 09:08:27-03","INPA","INPA","251308","S","Plantae","Dicotyledon Com-Clade","Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","Walter, BMT","2014","08","Simon, MF","1578","2012","06","26","Southern America","Brasil","Rondônia","Porto Velho","1 km E de Jaci Paraná, próximo à ponte.","-64.380833","-9.254167","-64.380833","-9.254167",NA,"INPA0251308",NA,NA,NA,NA,"88","88","INPA0251308 INPA0251308_e","Myrtales",NA,NA,NA
"9","2020-09-02 16:40:46-03","Cenargen","CEN","73479","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","D. J. P. Gonçalves & G. H. Shimizu","2014","07","Glocimar Pereira-Silva","14999","2010","03","18",NA,"Brasil","RO","PORTO VELHO","Estrada de acesso ao porto Prainha (balsa da mineradora) próximo ao povoado Mutum Paraná.","-64.941944","-9.6147222","-64.941944","-9.6147222","(Det. in dupl. HUEFS). Área de influência direta (lago).","CEN00073479",NA,NA,NA,NA,"100","100","CEN00073479",NA,"Exsicatas","8",NA
"10","2020-09-02 16:40:46-03","Cenargen","CEN","77565","PreservedSpecimen","Plantae",NA,"Vochysiaceae","Vochysia","fontellae","Vochysia fontellae","Paula","D. J. P. Gonçalves & G. H. Shimizu","2014","07","Glocimar Pereira-Silva","15544","2010","06","28",NA,"Brasil","RO","PORTO VELHO","Saída leste de Mutum Paraná, margem esquerda do rio Mutum Paraná.","-64.937222","-9.6255555","-64.937222","-9.6255555","(Det. in dupl. HUEFS). Área de influência direta (lago). Local antropizado.","CEN00077565",NA,NA,NA,NA,"90","90","CEN00077565",NA,"Exsicatas","8",NA
