"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","typeStatus","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","scientificNameAuthorship","stateProvince","county","decimalLongitude","decimalLatitude","infraspecificEpithet","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:36:11-03","E","E","100461","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","08","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109855","<a href=http://data.rbge.org.uk/herb/E00100461 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 12:25:00-03","NY","NYBG","297951","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","brevifolia","Aspidosperma brevifolia","R. S. Williams","1902","04","05","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=401061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297951","Magnoliophyta","Gentianales","type","255","Rio San Juan","1066.8","1066.8","NY00297951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","970567","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","A. F. Regnell","1847","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970567","Magnoliophyta","Gentianales",NA,"III870","Caldas.",NA,NA,"NY00970567_01","Müll.Arg.","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4177042","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","R. Guillén","1994","09","09","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500191' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177042","Magnoliophyta","Gentianales",NA,"2248","San Matias, Pantanal Boliviano. Estancia cascabel, a 7.800 m al E de la casa","100",NA,NA,"Müll.Arg.","Santa Cruz","Angel Sandoval","-58.475","-16.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 20:38:00-02","NY","NYBG","297956","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon genuinum","E. Hassler",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=109968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297956","Magnoliophyta","Gentianales","type","10590","Sierra de Amambay",NA,NA,"NY00297956_01","Hassl.",NA,NA,NA,NA,"genuinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","970563","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","M. G. da Silva","1977","07","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970563","Magnoliophyta","Gentianales",NA,"3295","Rio Juruana, estrada para Aripuanã, km 10.",NA,NA,"NY00970563_01 NY00970563_02 NY00970563_03","Müll.Arg.","Mato Grosso",NA,"-58.3062619","-9.8596213",NA,"A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970565","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","G. T. Prance","1964","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970565","Magnoliophyta","Gentianales",NA,"59461","Banks of Rio Claro, 40 km. south of Caiponia, road to Jatai. Serra do Caiapó.",NA,NA,"NY00970565_01","Müll.Arg.","Goiás","Caiapônia","-51.8103","-16.9569",NA,"F. Markgraf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4177064","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","R. Guillén","1996","08","20","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500213' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177064","Magnoliophyta","Gentianales",NA,"4525","Hacienda San Roque, parcela permanente de estudio Monte Verde, 15 km NO de la Hacienda","230",NA,NA,"Müll.Arg.","Santa Cruz","José Miguel de Velasco","-61.1283","-15.0103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","440251","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","R. C. Quevedo S.","1993","11","06","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=462475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440251","Magnoliophyta","Gentianales",NA,"2494","Parque Nacional Noel Kempff M. Campamiento Los Fierros","155",NA,NA,"Müll.Arg.","Santa Cruz","José Miguel de Velasco","-60.82","-14.5583",NA,"E. Gutierrez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","970568","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","A. F. Regnell","1847","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970568","Magnoliophyta","Gentianales",NA,"III870","Caldas.",NA,NA,"NY00970568_01","Müll.Arg.","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4177063","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","J. Guillen","1996","04","30","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500212' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177063","Magnoliophyta","Gentianales",NA,"57","Hacienda Acuario a 24 km de San Jose de Campamento, sobre el camino hacia al empalme de Piso Firme","300",NA,NA,"Müll.Arg.","Santa Cruz","José Miguel de Velasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4177046","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","cylindrocarpon","Aspidosperma cylindrocarpon","M. Saldías Paz","1989","10","10","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500195' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177046","Magnoliophyta","Gentianales",NA,"806","Jardín Botánico de Santa Cruz; 12 km E del centro de Sta. Cruz; sobre la carretera a Cotoca","375",NA,NA,"Müll.Arg.","Santa Cruz","Andrés Ibáñez","-63.07","-17.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
