"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","894955","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C.Holmes","W. C. Holmes","W. C. Holmes","5068","1990","06","14","South America","Brazil","Minas Gerais","Grão Mogol","Serra do Espinhaço, mountain to the west of town.","-42.8894","-16.5594","1030","1030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894955","NY00894955_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","230508","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C.Holmes",NA,"W. C. Holmes","5071","1990","06","14","South America","Brazil","Minas Gerais","Grão Mogol","Serra do Espinhaço, mountain to west of town","-42.8894","-16.5594","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=233350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230508","NY00230508_01","isotype",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894954","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C.Holmes",NA,"A. M. V. de Carvalho","6556","1998","08","02","South America","Brazil","Minas Gerais","Grão Mogol","Atrás da cidade. Trilha do Barão.","-42.88","-16.55",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894954","NY00894954_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:24:42-03","UNICAMP","UEC","177443","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C.Holmes","Semir, J","Simão-Bianchini, R; et al.","s.n.","1990","06","15",NA,"Brazil","Minas Gerais","Grão Mogol","Subida para o Morro Papo da Ema, para Jamneiro. ca. 850m alt.","-42.966667","-16.6",NA,NA,NA,"Subarbusto 70 cm alt., heliófilo, em solo arenoso entre rochas. Folhas opacas. Invólucro verde-claro, flores alvas","UEC033330","UEC033330",NA,"-42.966667","-16.6",NA,NA,NA,NA,NA
"5","2020-12-21 16:16:36-03","MBM","MBM","173091","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C. Holmes","Holmes, W.C.","Holmes, W.C.","5068","1990","06","14","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra do Espinhaço, Mountain to the west of town","-42.8897018432617","-16.5594005584717","1030","1030",NA,"Erect; fls. white; single to multistemmed at base, ca. 1 cm in diameter; in crevices in sandstone; ca. 12 plants in area; plants 0.5-1.5m tall; Erect; fls. white; single to multistemmed at base, ca. 1cm in diameter; 0,5-1,5 m tall.;","MBM173091","MBM173091","PARATYPE",NA,NA,"67219","auto",NA,NA,NA
"6","2020-12-21 16:16:36-03","MBM","MBM","173090","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C. Holmes",NA,"Holmes, W.C.","5071","1990","06","14","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra do Espinhaço, Mountain to the west of town.","-42.8897018432617","-16.5594005584717","1250","1250",NA,"Erect to ascending, single to multistemmed at base, 1-1.7m tall; stem ca. 1cm diameter at base. fls white, fragrant.; In crevices of sandstone.","MBM173090","MBM173090","HOLOTYPE",NA,NA,"67219","auto",NA,NA,NA
"7","2020-12-21 16:16:36-03","MBM","MBM","58543","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C. Holmes","Holmes, W.C.","Hatschbach, G.","41483","1978","07","23","Southern America","Brazil","Minas Gerais","Cristália","Cristália, arredores","-42.8622016906738","-16.8003005981445",NA,NA,NA,NA,"MBM058543","MBM058543",NA,NA,NA,"30029","auto",NA,NA,NA
"8","2020-12-21 16:16:36-03","MBM","MBM","227235","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C. Holmes","Holmes, W.C.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","68050","1998","07","19","Southern America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu, próximo a ponte da rodovia para Cristália","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM227235","MBM227235",NA,NA,NA,"67219","auto",NA,NA,NA
"9","2020-12-11 11:33:15-03","UFMG","BHCB","134333","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","hartbergii","Mikania hartbergii","W.C. Holmes",NA,"Hattori, EKO; Batista, JAN","1051","2009","11","03","Southern America","Brasil","Minas Gerais","Joaquim Felício","Parque Estadual da Serra do Cabral","-44.299722","-17.704417","1196","1196",NA,"Subarbusto, ca. 1m, brácteas involucrais verde-claros, flores creme ou senescentes marrons; Afloramento rochoso próximo a campo úmido","BHCB031840",NA,NA,"-44.299722","-17.704417",NA,NA,"2015","09",NA
"10","2019-06-10 10:10:19-03","FZB-BH","BHZB","10036","S","Plantae",NA,NA,"Asteraceae","Mikania Cf.","hartbergii","Mikania Cf. hartbergii",NA,NA,"Ordones, J. et al.","2137","2013","01","29",NA,"Brasil","MG","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais, Brumas","-43.717222","-19.033056","1355","1355",NA,"Ponto 103, 635004 7895005 1355 m Folha cerosa, azulada com margem avermelhada. Folhas coletadas para filogenia.Duplicata doada para Herbário SPF.",NA,NA,NA,"43W 43' 02","19S 01' 59",NA,NA,NA,NA,NA
